"Daily Weather Observations for Albury-Wodonga for October 2023"
"Prepared at 13:00 UTC on Wednesday 13 November 2024   IDCJDW2002.202310"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Albury airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Albury Airport AWS {station 072160}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-10-1,6.3,26.9,0,,,WNW,37,14:46,16.5,67,,SE,6,1010.4,26.5,37,,W,9,1009.9
,2023-10-2,4.6,27.8,0,,,NE,31,16:57,11.6,70,1,SE,7,1018.5,25.1,41,,SE,17,1013.8
,2023-10-3,11.6,20.3,0,,,NNE,72,00:02,19.6,73,4,S,6,1013.4,18.3,87,8,N,7,1012.6
,2023-10-4,12.8,14.4,34.4,,,WSW,43,22:44,12.9,95,7,WNW,2,1006.9,12.9,92,,S,11,1004.7
,2023-10-5,6.8,16.9,26.6,,,W,50,11:55,9.5,80,,W,30,1016.8,14.5,50,6,W,26,1019.4
,2023-10-6,9.5,18.1,1.4,,,SSE,35,22:47,12.0,87,8,WNW,6,1026.4,17.2,46,,ESE,20,1026.3
,2023-10-7,4.5,19.2,0,,,SE,33,23:01,10.8,65,,SE,9,1032.0,18.0,50,,SSW,11,1029.9
,2023-10-8,5.1,21.3,0,,,SE,20,12:48,16.1,69,,SE,7,1031.7,19.7,54,8,S,11,1028.5
,2023-10-9,5.8,22.4,0,,,NW,33,12:16,12.4,81,,NE,2,1027.2,22.1,48,,W,19,1023.9
,2023-10-10,5.6,21.9,0,,,W,28,14:21,12.5,80,,ENE,6,1023.7,20.6,57,,SE,9,1021.4
,2023-10-11,6.3,23.4,0,,,SW,24,13:05,13.2,81,,ESE,7,1024.5,22.7,45,,ESE,6,1021.7
,2023-10-12,7.5,21.7,0,,,W,46,17:02,17.3,68,,W,11,1013.0,14.7,71,,W,17,1012.6
,2023-10-13,6.4,15.9,2.8,,,W,35,11:40,10.6,77,,WSW,19,1021.1,14.1,68,8,W,24,1020.6
,2023-10-14,8.9,17.4,0,,,WNW,41,11:58,13.6,80,7,W,11,1019.5,16.8,59,8,WNW,19,1018.0
,2023-10-15,5.6,18.5,0,,,WSW,35,12:41,11.1,89,8, ,Calm,1018.5,16.6,59,6,W,19,1016.6
,2023-10-16,11.1,16.9,2.6,,,WSW,72,08:09,11.1,78,,W,19,1013.7,16.3,44,,SW,33,1017.3
,2023-10-17,2.6,19.5,0.2,,,SE,31,10:16,9.3,68,,SE,7,1029.9,18.8,45,,SSE,13,1028.4
,2023-10-18,6.1,22.6,0,,,SW,22,11:39,13.2,74,,ESE,6,1030.7,21.9,45,,ESE,9,1026.4
,2023-10-19,8.5,25.6,0,,,SE,19,11:00,15.4,76,,ENE,4,1024.5,24.0,48,1,SE,11,1019.7
,2023-10-20,9.9,27.5,0,,,E,22,13:44,16.9,73,, ,Calm,1019.1,26.6,44,,E,9,1015.4
,2023-10-21,10.7,30.5,0,,,W,50,16:35,18.1,77,1,ENE,7,1012.4,29.5,30,5,NW,22,1007.1
,2023-10-22,7.9,16.3,0,,,NW,30,17:28,10.9,68,6,W,15,1014.2,15.0,61,8,WNW,17,1013.0
,2023-10-23,6.5,20.3,0,,,WNW,30,14:33,14.6,57,,W,13,1016.6,20.1,52,,W,15,1014.2
,2023-10-24,6.8,27.5,0,,,W,50,19:54,14.8,79,,ESE,7,1014.5,26.6,26,,N,17,1009.2
,2023-10-25,8.6,17.3,0,,,WNW,46,11:10,12.0,51,,W,19,1016.8,15.1,36,2,W,26,1017.1
,2023-10-26,2.3,19.8,0,,,SSE,24,20:10,10.6,56,,SE,7,1025.9,17.6,38,,SSE,7,1023.8
,2023-10-27,4.9,20.1,0,,,SE,28,08:04,14.6,46,,SSE,13,1032.6,19.3,34,,SSE,11,1028.5
,2023-10-28,5.8,22.5,0,,,NE,30,23:01,10.7,81,, ,Calm,1029.0,21.2,31,,NNW,11,1024.0
,2023-10-29,6.0,29.8,0,,,NNW,50,14:28,15.1,65,,SE,7,1019.6,29.5,20,,WNW,26,1012.8
,2023-10-30,14.9,23.3,0,,,N,52,23:58,17.1,51,6,SSE,7,1010.1,20.3,34,5,NNW,13,1008.8
,2023-10-31,9.7,19.5,0,,,WSW,39,23:49,13.1,44,,WSW,20,1016.4,18.1,32,,SW,26,1017.6
