"Daily Weather Observations for Albury-Wodonga for December 2023"
"Prepared at 13:00 UTC on Monday 11 November 2024   IDCJDW2002.202312"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Albury airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Albury Airport AWS {station 072160}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-12-1,16.0,27.5,6.6,,,SSE,31,01:36,23.0,58,,SSE,15,1006.7,26.8,48,,E,4,1003.7
,2023-12-2,16.1,28.6,0,,,NW,39,14:20,21.5,71,,ENE,9,1007.6,25.1,56,1,SE,7,1006.1
,2023-12-3,12.5,28.0,2.0,,,E,24,07:31,20.5,58,,SE,13,1013.8,27.3,38,1,NE,7,1012.0
,2023-12-4,14.7,30.6,0,,,WNW,26,11:05,18.9,72,,SSE,7,1017.0,28.3,36,,NE,11,1014.7
,2023-12-5,14.7,36.1,0,,,W,33,12:56,22.0,65,,SE,9,1015.9,35.0,22,,WSW,17,1011.4
,2023-12-6,14.9,33.0,0,,,WSW,39,13:48,23.5,56,,ENE,4,1015.6,32.1,15,,W,22,1014.7
,2023-12-7,16.8,24.5,0,,,W,39,14:28,22.1,52,1,ENE,4,1017.2,22.6,61,,SE,9,1017.8
,2023-12-8,17.9,30.4,1.2,,,WSW,98,16:08,22.6,67,,E,9,1015.8,28.0,56,,S,22,1009.9
,2023-12-9,20.4,34.2,11.8,,,S,41,17:12,24.3,77,,S,9,1009.3,33.6,40,,S,13,1009.3
,2023-12-10,20.1,34.7,0.2,,,ESE,31,00:39,24.9,56,,SE,11,1014.5,34.0,37,,NNE,11,1011.8
,2023-12-11,20.2,32.7,8.2,,,NE,46,01:34,22.2,84,1,SE,9,1015.4,30.9,51,,ESE,11,1014.9
,2023-12-12,20.7,35.6,0.2,,,ENE,26,15:08,28.9,53,,SE,11,1016.2,35.1,36,,NE,11,1011.4
,2023-12-13,21.8,37.1,0,,,N,78,18:03,29.6,50,,NE,11,1011.6,35.9,23,,N,19,1006.2
,2023-12-14,21.1,28.2,4.0,,,NNE,52,23:55,22.9,57,,WNW,19,1007.0,27.7,34,,W,20,1006.1
,2023-12-15,14.1,28.8,0,,,NW,41,12:30,18.5,67,,SSE,6,1009.3,27.7,30,,W,24,1007.5
,2023-12-16,11.9,26.2,0,,,WNW,46,13:14,20.2,49,,W,20,1008.4,25.1,24,,WNW,28,1007.1
,2023-12-17,11.7,29.7,0,,,E,28,14:46,19.6,55,,SE,7,1014.1,27.3,28,,SE,15,1010.9
,2023-12-18,11.7,32.0,0,,,S,24,12:19,24.3,51,,S,7,1013.4,30.5,31,,SE,9,1010.3
,2023-12-19,19.3,33.4,0,,,WSW,44,15:41,26.3,49,,SSE,7,1009.1,31.7,29,,SW,15,1006.1
,2023-12-20,16.2,26.5,0,,,ESE,39,19:06,18.9,56,8,SE,19,1013.5,25.9,45,,SSE,19,1012.7
,2023-12-21,17.5,28.4,0,,,SE,35,19:31,21.6,48,,SE,22,1017.4,27.2,31,,SE,20,1014.7
,2023-12-22,13.6,28.8,0,,,SSE,41,04:48,19.4,46,,SE,17,1017.9,26.4,34,1,E,9,1012.8
,2023-12-23,13.8,30.3,0,,,WSW,52,13:59,22.2,50,,ESE,9,1011.9,27.8,31,,SE,9,1004.6
,2023-12-24,16.1,31.1,0.4,,,E,50,18:28,21.8,63,,N,7,1006.9,29.7,37,,S,11,1002.8
,2023-12-25,15.2,21.0,2.2,,,NW,50,11:06,18.9,74,8,SW,11,1001.6,16.8,93,8,SSW,9,1002.5
,2023-12-26,13.8,25.3,18.6,,,WNW,31,13:03,18.3,86,6,SE,2,1007.1,22.3,51,1,W,17,1007.0
,2023-12-27,14.6,29.1,0.4,,,SSE,37,15:42,22.5,61,,SSE,7,1010.0,27.8,40,,W,20,1007.1
,2023-12-28,16.0,30.9,0,,,W,37,14:27,22.6,69,,S,4,1011.6,29.9,42,,NW,15,1009.2
,2023-12-29,15.4,27.4,0,,,W,43,12:09,22.3,58,,NE,2,1011.4,25.2,42,,WNW,20,1010.2
,2023-12-30,11.6,26.0,0,,,WSW,41,13:59,17.1,57,,W,17,1012.3,24.9,35,,WSW,26,1010.9
,2023-12-31,13.1,29.4,0,,,SSE,28,07:00,21.2,46,,SE,19,1018.7,28.5,28,,S,9,1015.9
