"Daily Weather Observations for Albury-Wodonga for March 2024"
"Prepared at 13:00 UTC on Friday  8 November 2024   IDCJDW2002.202403"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Albury airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Albury Airport AWS {station 072160}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-03-1,16.1,35.4,0,,,W,37,13:02,20.5,65,, ,Calm,1015.0,35.1,23,3,W,20,1011.8
,2024-03-2,17.7,31.4,0,,,W,35,13:18,20.9,63,,WSW,9,1013.2,30.4,23,,WNW,20,1012.0
,2024-03-3,11.1,29.9,0,,,WSW,43,17:48,16.5,64,,S,7,1015.6,28.9,18,,W,24,1013.5
,2024-03-4,13.5,30.7,0,,,SE,26,01:57,17.1,41,,ESE,15,1020.8,29.6,15,,W,4,1018.5
,2024-03-5,11.9,32.7,0,,,NW,31,14:23,17.6,60,,SSE,6,1021.0,31.1,28,,WNW,9,1017.2
,2024-03-6,16.1,35.5,0,,,WNW,46,15:34,19.1,64,,S,6,1018.4,32.7,31,,S,15,1015.0
,2024-03-7,16.7,36.6,0,,,SE,22,08:53,23.3,51,,SE,2,1020.0,35.0,19,,SSW,15,1017.6
,2024-03-8,19.7,35.2,0,,,N,28,10:31,23.2,62,,ESE,7,1022.8,34.1,29,,NNW,19,1019.7
,2024-03-9,18.7,36.6,0,,,NE,31,11:19,23.5,64,,SE,2,1023.7,34.9,27,,NNE,17,1020.6
,2024-03-10,18.0,34.9,0,,,ENE,22,11:31,22.9,65,,SSE,2,1026.4,33.2,28,,ESE,9,1023.2
,2024-03-11,16.3,34.0,0,,,N,24,10:41,20.8,73,,SSE,7,1025.7,33.2,28,,NW,9,1020.6
,2024-03-12,16.8,36.1,0,,,SW,31,15:26,22.1,66,,ESE,4,1019.4,35.3,23,,WSW,9,1015.4
,2024-03-13,19.5,34.3,0,,,SSE,22,14:56,22.9,64,,SSW,4,1015.8,32.5,30,,SE,11,1012.1
,2024-03-14,20.6,27.7,0.4,,,W,30,15:23,21.6,80,,NNW,7,1011.2,26.8,57,,W,20,1010.5
,2024-03-15,17.5,30.4,0.8,,,SE,35,23:37,21.2,50,,SE,17,1018.6,29.3,27,,SSW,9,1016.4
,2024-03-16,12.7,28.8,0,,,NNE,35,10:58,18.2,59,,ENE,9,1021.5,27.7,24,,NNE,9,1016.6
,2024-03-17,14.9,29.9,0,,,SE,28,18:44,18.6,60,,S,6,1015.9,28.1,32,1,NE,13,1011.8
,2024-03-18,14.0,31.0,0,,,NNE,30,11:57,19.2,68,,SSE,9,1015.1,29.1,36,1,ESE,9,1012.1
,2024-03-19,17.9,33.7,0,,,WSW,54,17:06,22.8,61,,SE,6,1015.0,31.6,36,2,N,20,1010.2
,2024-03-20,15.2,22.7,21.0,,,WSW,46,13:01,15.4,69,,WSW,20,1019.0,21.6,30,,WSW,28,1020.6
,2024-03-21,10.4,24.8,0,,,SE,35,23:46,13.2,54,,SSE,9,1028.9,23.0,28,,ESE,11,1024.9
,2024-03-22,8.6,26.3,0,,,SW,22,14:39,13.2,71,,ESE,2,1025.5,25.2,31,,N,7,1021.5
,2024-03-23,11.0,27.9,0,,,WSW,26,16:06,16.6,66,,SSE,11,1022.9,26.2,28,,W,11,1019.9
,2024-03-24,8.7,26.9,0,,,WNW,33,14:40,14.3,71,,E,6,1021.2,25.8,25,,WNW,22,1018.7
,2024-03-25,9.1,27.6,0,,,W,30,13:21,13.1,75,,S,4,1021.2,26.8,30,,WNW,19,1018.0
,2024-03-26,10.0,30.1,0,,,WSW,33,14:20,15.2,69,, ,Calm,1021.3,29.2,21,,WNW,17,1018.5
,2024-03-27,10.2,29.3,0,,,WNW,30,17:07,13.9,72,,SE,7,1022.9,28.1,23,,WSW,9,1020.8
,2024-03-28,8.3,30.0,0,,,NE,39,11:29,15.1,69,,SE,6,1024.1,29.0,29,,WNW,9,1021.6
,2024-03-29,11.9,31.0,0,,,NNE,22,01:27,16.6,66,, ,Calm,1026.5,29.3,37,,SE,7,1023.1
,2024-03-30,13.0,33.1,0,,,WNW,28,15:01,17.8,72,,SSW,4,1025.9,30.9,28,1,SW,17,1022.6
,2024-03-31,14.5,32.6,0,,,SW,28,16:34,18.6,65,,ESE,4,1022.6,30.8,23,,SSW,9,1017.8
