"Daily Weather Observations for Albury-Wodonga for April 2024"
"Prepared at 16:00 UTC on Thursday  7 November 2024   IDCJDW2002.202404"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Albury airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Albury Airport AWS {station 072160}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-04-1,11.2,33.1,0,,,N,37,22:10,16.4,62,,SSE,2,1019.0,32.0,23,,N,13,1011.8
,2024-04-2,16.4,21.7,11.2,,,W,50,06:44,17.1,82,8,W,28,1011.1,21.1,46,1,NW,24,1012.3
,2024-04-3,10.9,22.0,0.2,,,WSW,26,10:50,13.9,79,, ,Calm,1019.8,20.9,38,,WNW,11,1019.6
,2024-04-4,8.2,25.5,0,,,ENE,24,13:19,12.3,84,, ,Calm,1024.2,23.7,43,1,SE,9,1021.6
,2024-04-5,12.2,22.6,0,,,ESE,26,15:30,16.0,73,1,S,6,1026.5,21.6,54,,SSE,15,1023.0
,2024-04-6,15.1,20.8,17.2,,,SE,35,07:39,16.8,78,8,SE,26,1016.9,18.9,74,5,ESE,15,1014.0
,2024-04-7,14.0,24.3,3.0,,,W,26,18:12,16.7,88,8, ,Calm,1012.5,23.6,55,8,WSW,15,1009.6
,2024-04-8,11.9,23.8,0,,,NNW,31,13:48,17.3,87,,S,7,1012.1,22.6,50,,WNW,15,1008.7
,2024-04-9,12.1,20.2,0,,,SSW,37,14:22,14.1,68,4,SE,15,1013.6,17.9,38,,SSE,13,1013.8
,2024-04-10,4.8,20.6,0,,,SW,24,13:25,10.7,69,,S,7,1020.9,19.9,40,,NNW,11,1017.8
,2024-04-11,6.8,22.5,0,,,WNW,20,16:19,13.9,75,,SSE,4,1021.5,20.5,39,,SSW,7,1020.2
,2024-04-12,6.9,23.0,0,,,WNW,24,12:45,16.2,69,,SE,7,1022.3,22.7,37,,NW,13,1018.9
,2024-04-13,5.9,22.2,0,,,NW,20,13:26,12.4,81,, ,Calm,1023.0,21.2,43,,SW,11,1020.3
,2024-04-14,6.2,22.6,0,,,SW,20,15:44,12.7,78,, ,Calm,1024.3,21.8,41,,WSW,11,1021.4
,2024-04-15,6.4,23.7,0,,,WNW,20,12:10,14.0,76,, ,Calm,1025.0,23.1,37,,ENE,7,1021.5
,2024-04-16,6.8,24.1,0,,,WSW,31,14:42,13.6,77,, ,Calm,1025.4,23.2,36,6,WSW,15,1021.9
,2024-04-17,7.3,22.6,0,,,W,28,14:12,12.1,80,1, ,Calm,1025.5,21.9,31,,WSW,9,1021.1
,2024-04-18,5.4,21.6,0,,,WSW,37,16:41,11.4,79,,SE,4,1020.7,20.1,36,1,W,20,1016.5
,2024-04-19,8.4,21.2,0,,,SE,31,20:20,14.1,67,,SE,7,1019.3,20.5,35,,SE,15,1018.5
,2024-04-20,7.9,22.9,0,,,S,50,19:57,16.4,54,,E,11,1027.6,21.6,33,,SSE,7,1025.6
,2024-04-21,4.9,23.9,0,,,W,22,14:01,11.7,74,,SSW,4,1031.1,23.3,35,,W,11,1026.5
,2024-04-22,6.0,24.3,0,,,SSE,17,14:53,12.0,78,, ,Calm,1029.5,24.2,34,,SSE,11,1024.9
,2024-04-23,5.2,26.1,0,,,N,30,15:08,16.1,65,,SE,7,1024.9,25.0,33,,WNW,15,1019.3
,2024-04-24,11.8,19.9,0,,,W,54,01:50,13.8,59,,W,22,1019.9,18.1,30,,WSW,28,1019.0
,2024-04-25,2.7,19.6,0,,,WSW,35,13:55,10.0,70,,SE,2,1023.8,19.3,40,3,WSW,20,1021.1
,2024-04-26,3.8,20.3,0,,,WSW,20,14:17,10.4,69,, ,Calm,1025.5,18.5,39,,NW,6,1023.7
,2024-04-27,3.9,21.5,0,,,SE,19,13:43,13.4,65,,ESE,4,1028.0,20.7,39,,S,13,1024.0
,2024-04-28,5.5,22.4,0,,,SSE,20,15:23,11.5,76,,NE,6,1026.7,21.9,47,4,SE,11,1021.8
,2024-04-29,9.7,23.7,0,,,SW,26,14:57,15.3,73,, ,Calm,1023.2,22.6,27,,SW,15,1021.3
,2024-04-30,5.9,20.4,0,,,SSE,33,09:40,14.8,59,,SE,19,1026.3,19.9,40,,SE,17,1024.8
