"Daily Weather Observations for Albury-Wodonga for May 2024"
"Prepared at 13:00 UTC on Wednesday  6 November 2024   IDCJDW2002.202405"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Albury airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Albury Airport AWS {station 072160}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-05-1,4.0,20.2,0,,,SE,30,10:28,14.6,50,,SE,19,1032.1,19.6,31,,ESE,11,1028.5
,2024-05-2,3.7,20.6,0,,,SSE,28,14:49,14.6,57,,ESE,11,1032.4,19.9,31,,ESE,6,1028.6
,2024-05-3,5.4,21.5,0,,,SE,20,15:14,14.1,61,,SSE,9,1029.9,20.7,38,,E,6,1025.4
,2024-05-4,8.1,18.7,0,,,SSE,24,09:07,13.2,66,7,SSE,11,1025.5,18.1,48,,SSE,9,1022.6
,2024-05-5,8.8,22.4,0,,,SE,24,10:46,15.2,61,,SSE,4,1024.8,21.6,29,,SE,13,1023.1
,2024-05-6,6.4,22.1,0,,,SE,28,09:44,11.5,76,, ,Calm,1030.3,21.5,31,,S,9,1028.5
,2024-05-7,4.9,22.0,0,,,SSE,15,10:12,11.7,72,,SW,6,1032.9,20.9,35,,E,7,1029.0
,2024-05-8,8.0,21.4,0,,,SE,22,11:01,16.9,55,,S,9,1032.1,20.8,38,,SE,7,1028.6
,2024-05-9,11.7,21.3,0,,,SSE,24,13:09,14.6,68,5, ,Calm,1031.6,20.6,48,,SE,13,1028.5
,2024-05-10,13.2,21.4,0.4,,,E,39,16:15,14.9,82,6, ,Calm,1030.3,20.2,51,8,SE,9,1026.2
,2024-05-11,12.2,20.8,0,,,SE,35,14:46,16.5,61,,ESE,9,1026.2,18.9,54,8,SE,22,1023.9
,2024-05-12,10.5,23.1,0,,,ESE,24,10:55,17.9,58,,SE,15,1023.8,22.8,39,7,ESE,11,1020.9
,2024-05-13,5.8,22.8,0,,,WNW,30,13:14,11.4,80,,S,6,1024.3,21.9,39,,W,19,1021.4
,2024-05-14,4.3,19.2,0,,,W,37,12:52,9.5,94,8,ENE,6,1027.7,18.4,38,,SW,9,1026.0
,2024-05-15,2.7,19.6,0,,,S,17,14:22,9.8,82,,ESE,6,1030.8,18.8,50,,N,6,1028.3
,2024-05-16,4.0,21.2,0,,,E,13,10:52,10.5,80,, ,Calm,1030.0,20.5,34,,SSE,4,1026.4
,2024-05-17,2.1,21.0,0,,,WSW,39,18:56,9.2,80,, ,Calm,1027.1,20.3,41,,W,22,1023.5
,2024-05-18,0.7,15.9,0,,,ESE,41,12:17,8.8,58,,W,9,1029.4,15.2,35,,SE,20,1027.6
,2024-05-19,-1.1,15.1,0,,,WSW,28,16:28,3.3,79,2,SE,6,1026.5,14.0,47,,NNE,9,1023.6
,2024-05-20,3.3,17.8,0,,,S,28,13:10,8.5,90,,SE,4,1026.3,17.3,43,,S,11,1024.7
,2024-05-21,1.5,18.4,0,,,SW,24,14:03,8.2,69,, ,Calm,1030.0,17.5,37,,SW,13,1027.0
,2024-05-22,0.6,17.9,0,,,W,20,14:26,6.9,79,, ,Calm,1029.1,16.7,42,,W,15,1025.5
,2024-05-23,0.1,17.8,0,,,NNW,13,13:20,10.3,72,,E,2,1029.3,16.4,43,,SSW,6,1026.3
,2024-05-24,0.3,17.5,0,,,SW,17,13:46,8.6,79,,WNW,2,1028.8,16.2,43,,SSE,6,1025.6
,2024-05-25,3.3,19.1,0,,,ESE,13,15:29,6.1,88,, ,Calm,1028.4,18.5,44,,ENE,7,1025.4
,2024-05-26,1.0,19.6,0,,,SW,19,16:04,7.2,83,, ,Calm,1027.6,18.8,45,,W,9,1024.6
,2024-05-27,0.2,18.7,0,,,WSW,15,13:32,5.9,95,8, ,Calm,1027.6,17.9,41,,WNW,9,1025.3
,2024-05-28,-0.7,18.6,0,,,N,48,09:56,6.2,88,, ,Calm,1030.0,17.9,32,,E,4,1026.5
,2024-05-29,0.2,22.4,0,,,NW,26,14:37,6.9,76,, ,Calm,1029.4,21.4,37,,NNW,19,1024.7
,2024-05-30,6.9,22.3,0,,,NNE,52,18:38,18.0,54,7,N,22,1022.4,21.3,48,1,N,28,1016.4
,2024-05-31,11.7,17.7,31.6,,,N,52,02:18,13.8,88,,N,7,1016.7,16.8,56,1,WSW,13,1016.6
