"Daily Weather Observations for Albury-Wodonga for July 2024"
"Prepared at 13:00 UTC on Monday  4 November 2024   IDCJDW2002.202407"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Albury airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Albury Airport AWS {station 072160}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-07-1,-1.2,13.2,0,,,SE,22,11:11,3.3,83,, ,Calm,1026.9,12.2,43,,SSE,7,1026.2
,2024-07-2,0.9,14.2,0.2,,,ESE,24,11:31,5.7,74,,S,4,1032.7,13.7,43,,ESE,9,1030.8
,2024-07-3,-1.2,15.0,0,,,ESE,20,15:08,5.8,74,, ,Calm,1036.4,14.8,38,,SE,13,1034.0
,2024-07-4,1.3,17.1,0,,,SE,28,12:14,7.6,74,,SSE,2,1037.6,16.9,40,,ESE,11,1034.8
,2024-07-5,0.1,16.6,0,,,SE,13,12:45,5.5,87,, ,Calm,1039.6,15.8,42,,SSE,6,1037.1
,2024-07-6,-1.1,14.1,0,,,SE,17,13:16,4.0,82,, ,Calm,1040.8,13.1,58,,SE,7,1036.8
,2024-07-7,-2.1,15.3,0.2,,,SE,20,10:53,4.0,82,,WSW,2,1035.7,14.3,49,,SSE,6,1029.3
,2024-07-8,3.3,13.1,0,,,NE,22,16:48,8.7,86,,N,4,1025.3,12.7,75,,SE,6,1021.1
,2024-07-9,7.5,13.0,13.8,,,NE,17,07:21,11.3,94,8,NNE,7,1019.3,12.4,95,8,SSE,7,1018.8
,2024-07-10,7.9,12.4,3.8,,,NW,20,13:36,9.9,95,8,NNW,6,1022.3,11.0,86,8,WNW,17,1021.8
,2024-07-11,2.5,11.1,0.2,,,NE,20,12:21,7.6,94,,NE,7,1023.4,10.8,73,,NE,11,1018.9
,2024-07-12,6.7,9.9,2.0,,,ESE,11,06:59,8.3,94,8, ,Calm,1016.9,9.8,93,,SE,7,1015.2
,2024-07-13,5.3,13.5,0.6,,,WSW,30,15:58,6.4,97,8,SW,2,1017.0,12.7,71,,WNW,17,1014.3
,2024-07-14,-0.5,12.4,0,,,W,39,14:40,4.5,92,, ,Calm,1015.2,9.4,79,7,WSW,13,1011.8
,2024-07-15,2.0,10.1,0.6,,,WNW,46,20:21,5.6,89,8,WNW,17,1009.8,9.9,72,7,NW,19,1006.1
,2024-07-16,5.6,12.8,7.2,,,WNW,48,00:39,9.2,94,,SE,7,1003.7,12.5,80,5,W,11,1003.9
,2024-07-17,3.2,15.3,0.4,,,WNW,17,16:06,6.1,98,,N,4,1011.4,14.4,55,, ,Calm,1010.2
,2024-07-18,-0.1,13.6,0,,,W,31,15:23,6.8,93,, ,Calm,1016.2,10.7,61,,W,19,1015.3
,2024-07-19,5.0,10.8,0,,,NNE,37,20:10,7.7,79,8,N,4,1017.9,10.2,68,7,N,22,1012.0
,2024-07-20,7.2,10.9,17.2,,,WNW,65,06:39,7.3,89,8,WNW,24,1003.4,8.1,89,8,NW,20,1005.9
,2024-07-21,2.8,14.2,4.4,,,WNW,43,00:05,6.7,85,8, ,Calm,1021.2,12.8,69,8,W,13,1021.4
,2024-07-22,6.0,14.5,1.6,,,NNE,19,09:50,9.7,93,8,NNE,7,1026.7,13.7,77,8,SSE,9,1025.6
,2024-07-23,6.4,16.9,0.2,,,NNW,24,13:33,13.1,78,,E,6,1028.7,15.7,49,,NNW,15,1025.6
,2024-07-24,2.4,15.5,0.2,,,NE,26,13:10,7.5,94,, ,Calm,1024.8,15.1,58,2,N,15,1020.5
,2024-07-25,7.5,14.0,0,,,NE,39,14:41,11.6,69,8,NW,2,1015.1,13.1,73,6,NE,20,1012.4
,2024-07-26,4.3,15.0,2.6,,,N,22,12:11,8.4,96,7,NE,2,1021.7,13.6,61,4,N,9,1020.5
,2024-07-27,1.2,15.9,0,,,W,54,18:28,8.2,89,,ESE,7,1020.4,14.8,60,,NNW,13,1017.9
,2024-07-28,2.4,12.6,5.2,,,SW,46,15:07,5.4,81,,W,15,1023.0,10.3,59,,W,26,1022.3
,2024-07-29,-1.4,13.4,0,,,WSW,24,01:55,3.3,83,,SSE,6,1030.8,12.8,47,,NW,11,1030.0
,2024-07-30,-3.3,13.5,0.2,,,W,17,14:24,6.0,71,,SE,4,1037.5,12.8,36,,WSW,9,1034.7
,2024-07-31,-2.4,14.7,0,,,E,15,12:43,4.0,78,,NW,2,1037.8,14.2,41,,W,7,1034.8
