"Daily Weather Observations for Albury-Wodonga for August 2024"
"Prepared at 13:00 UTC on Tuesday 12 August 2025   IDCJDW2002.202408"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Albury airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Albury Airport AWS {station 072160}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-08-1,-1.9,14.8,0,,,WSW,17,14:40,4.4,82,,ESE,4,1036.2,14.3,41,,W,7,1031.7
,2024-08-2,-1.7,15.8,0,,,E,17,13:14,5.7,84,, ,Calm,1033.1,15.7,46,2,NNW,7,1028.9
,2024-08-3,1.2,14.8,0,,,ESE,17,12:57,6.4,85,, ,Calm,1031.1,14.3,56,,ESE,7,1028.5
,2024-08-4,0.2,14.7,0,,,E,15,10:32,6.6,90,, ,Calm,1030.4,14.3,59,,E,7,1026.5
,2024-08-5,5.4,10.4,0.6,,,SSE,19,14:14,7.3,95,8,SSE,6,1026.3,10.3,85,8,SSW,6,1023.2
,2024-08-6,3.2,14.9,0.6,,,W,33,14:03,4.8,97,8,SE,6,1026.3,14.6,58,8,WNW,17,1024.3
,2024-08-7,4.8,16.5,0.2,,,W,30,13:18,8.0,92,8,ESE,7,1028.4,15.3,46,,W,13,1026.5
,2024-08-8,0.6,15.4,0,,,NE,24,13:53,8.4,77,,ENE,7,1028.1,14.5,56,,N,15,1023.7
,2024-08-9,3.8,15.0,0,,,NE,48,07:24,7.9,91,8, ,Calm,1027.9,14.8,61,8,SE,9,1026.1
,2024-08-10,2.2,17.0,0,,,ESE,13,12:22,7.3,93,, ,Calm,1030.4,16.1,56,,SSE,6,1028.2
,2024-08-11,1.4,19.1,0,,,S,15,14:12,8.1,87,,ESE,2,1032.5,18.1,48,,SSE,6,1029.8
,2024-08-12,2.3,19.7,0,,,E,15,12:44,12.4,72,,NE,2,1032.5,19.2,48,,ESE,7,1028.5
,2024-08-13,4.4,18.8,0,,,ESE,19,14:06,11.2,79,1,ENE,2,1028.7,17.8,64,8,SSE,13,1023.8
,2024-08-14,7.0,20.2,0,,,E,17,13:10,11.9,86,8,NE,2,1022.9,19.4,51,,SE,7,1018.4
,2024-08-15,3.6,20.3,0,,,E,15,10:31,11.5,83,, ,Calm,1020.7,19.6,54,,SSW,6,1016.6
,2024-08-16,5.8,15.4,0,,,WNW,30,13:28,11.0,90,8,NE,2,1014.9,14.8,77,8,NW,17,1010.5
,2024-08-17,7.1,12.2,19.6,,,SW,43,00:50,10.2,89,8,NNW,9,1008.6,12.0,87,7,NNW,6,1007.5
,2024-08-18,6.8,18.3,2.8,,,WSW,19,16:20,7.7,97,8,SSE,7,1017.3,17.0,57,1,ESE,6,1016.9
,2024-08-19,6.5,17.8,0,,,ESE,24,13:29,10.2,85,7,ESE,7,1025.0,17.2,60,8,ENE,7,1022.0
,2024-08-20,5.3,17.3,0,,,N,39,21:23,11.0,88,1,ENE,9,1021.6,16.4,63,4,NE,22,1015.1
,2024-08-21,10.6,14.5,0,,,NW,24,10:20,12.1,93,8,N,11,1016.4,13.9,81,8,NNW,13,1016.4
,2024-08-22,7.0,18.2,4.2,,,WNW,31,13:45,11.3,89,6,SE,6,1020.1,17.2,55,2,WNW,17,1019.3
,2024-08-23,4.1,19.1,0,,,NNE,28,14:16,11.2,92,,NNE,6,1025.2,17.4,55,,N,11,1020.7
,2024-08-24,8.4,22.6,3.0,,,NNW,31,14:18,16.4,68,,NE,15,1015.7,22.0,51,,N,15,1013.0
,2024-08-25,9.4,20.7,0.2,,,NW,63,20:06,13.5,86,,SE,9,1012.8,19.2,78,8,NW,22,1009.7
,2024-08-26,10.2,14.5,19.6,,,WNW,46,01:43,10.9,84,8,NNW,13,1018.6,14.0,73,8,NNW,17,1019.4
,2024-08-27,9.4,19.4,0.2,,,NNW,43,12:54,15.2,70,,N,7,1021.7,17.4,59,,N,22,1014.4
,2024-08-28,12.4,17.7,0.2,,,NW,57,05:12,15.5,53,1,WNW,22,1009.9,16.0,50,,WNW,26,1010.0
,2024-08-29,7.1,16.7,0,,,W,31,02:54,10.9,75,8,WNW,13,1016.9,15.2,55,8,WNW,9,1012.6
,2024-08-30,10.8,20.7,0,,,W,50,14:20,16.3,53,6,NW,19,1002.2,19.3,35,,W,30,1000.6
,2024-08-31,10.3,18.7,0.2,,,NW,52,14:45,12.5,70,8,WNW,20,1008.8,17.6,49,1,NNW,28,1008.3
