"Daily Weather Observations for Albury-Wodonga for February 2025"
"Prepared at 13:00 UTC on Wednesday 20 August 2025   IDCJDW2002.202502"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Albury airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Albury Airport AWS {station 072160}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-02-1,18.2,36.9,0,,,NNE,31,21:45,25.1,55,,ESE,9,1018.7,35.3,22,,E,17,1014.4
,2025-02-2,21.8,38.2,0,,,NNE,33,23:47,25.8,49,,NE,15,1018.3,36.3,21,,SSW,11,1013.5
,2025-02-3,22.0,37.8,0,,,NNE,31,08:02,26.1,49,,S,4,1014.9,36.3,21,,WSW,11,1011.8
,2025-02-4,19.4,39.6,0,,,ENE,41,01:44,23.5,54,,SE,4,1011.8,37.1,23,,WSW,17,1007.6
,2025-02-5,20.2,38.4,0,,,SSE,41,17:06,27.1,52,,SE,9,1009.7,33.6,36,,NNE,26,1005.3
,2025-02-6,19.4,37.0,0,,,N,31,14:55,25.9,57,,SE,9,1013.5,34.8,30,,N,13,1009.9
,2025-02-7,23.1,37.5,0,,,WNW,72,14:31,29.5,45,,NNE,22,1009.5,30.4,53,1,NNE,17,1004.8
,2025-02-8,19.7,29.5,20.8,,,E,28,14:37,21.6,83,,SSE,6,1007.6,27.6,59,1,NE,15,1006.3
,2025-02-9,20.4,31.7,0.8,,,SSE,63,19:10,21.9,73,,SSE,9,1008.9,30.1,44,,SE,11,1007.1
,2025-02-10,17.0,31.1,7.6,,,,,,22.4,63,,SE,13,1011.1,28.2,36,,SE,15,1009.1
,2025-02-11,,31.8,,,,,,,,,,,,1012.0,30.4,33,,NE,6,1008.6
,2025-02-12,18.8,33.6,,,,NNE,37,21:58,25.4,58,,SE,11,1012.0,32.3,31,,SSE,11,1007.9
,2025-02-13,22.7,34.7,0,,,N,43,11:59,26.3,50,,NE,22,1009.0,31.9,34,1,N,17,1004.9
,2025-02-14,19.9,30.1,1.6,,,W,44,15:39,19.9,76,8,WSW,13,1005.6,26.5,40,7,NW,15,1002.9
,2025-02-15,13.5,23.3,0.8,,,WSW,50,15:37,15.8,56,,W,20,1006.8,20.5,35,3,WSW,26,1006.0
,2025-02-16,8.1,22.9,0,,,WSW,33,23:23,12.9,50,,WSW,15,1014.0,20.2,27,,SE,13,1014.1
,2025-02-17,10.5,26.8,0,,,SSE,31,07:53,13.3,52,,SE,9,1019.8,23.6,17,,W,7,1017.5
,2025-02-18,13.1,30.5,0,,,WSW,46,19:33,19.8,50,,ENE,6,1015.5,29.0,19,,NW,20,1011.3
,2025-02-19,10.6,29.1,0,,,WNW,31,19:56,14.7,74,, ,Calm,1014.2,26.6,32,,SE,9,1012.2
,2025-02-20,14.8,29.2,0,,,SSE,31,08:50,19.1,47,,ESE,17,1018.7,27.1,29,,SE,13,1017.7
,2025-02-21,13.4,32.0,0,,,ENE,28,15:11,19.7,58,,SE,9,1023.5,30.1,28,,ENE,17,1019.5
,2025-02-22,16.8,34.9,0,,,ENE,43,15:55,22.0,54,,ESE,9,1021.3,31.4,36,1,NNE,17,1016.7
,2025-02-23,18.8,34.5,2.4,,,N,48,14:16,22.5,83,8,E,4,1017.6,33.6,30,,N,31,1009.4
,2025-02-24,13.3,33.2,,,,,,,19.6,58,,NNE,2,1017.6,32.4,22,,WNW,17,1016.7
,2025-02-25,14.9,34.0,0,,,SSW,24,14:53,21.2,59,,SSE,11,1022.4,33.5,21,,SSW,13,1018.4
,2025-02-26,15.1,36.4,0,,,NW,37,10:17,25.0,55,,ESE,9,1019.7,33.8,30,,NNW,15,1014.9
,2025-02-27,16.9,38.5,0,,,WNW,54,14:05,26.3,51,,SE,9,1015.5,37.6,13,,WSW,24,1010.7
,2025-02-28,20.2,33.7,0,,,WNW,35,12:52,26.3,37,,ESE,2,1014.0,30.9,34,,WNW,22,1013.3
