"Daily Weather Observations for Albury-Wodonga for June 2025"
"Prepared at 16:00 UTC on Saturday 16 August 2025   IDCJDW2002.202506"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Albury airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Albury Airport AWS {station 072160}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-06-1,0.2,17.4,0,,,E,13,10:44,7.1,89,, ,Calm,1028.1,16.0,50,,ESE,7,1023.7
,2025-06-2,1.5,14.2,0,,,ENE,13,11:04,5.8,92,, ,Calm,1021.5,13.8,61,1,ESE,7,1015.6
,2025-06-3,1.8,16.5,0.2,,,WSW,31,18:09,7.6,87,3,NNE,6,1014.3,15.9,56,8,W,17,1011.4
,2025-06-4,-0.7,14.6,0,,,SE,22,14:42,1.4,84,,NNW,2,1020.7,14.1,38,,S,11,1021.2
,2025-06-5,-1.5,14.8,0,,,N,24,13:35,4.2,73,, ,Calm,1027.0,13.8,37,,NNW,6,1024.2
,2025-06-6,2.5,15.3,0,,,NE,31,14:08,5.4,83,,SW,6,1021.9,13.4,45,,N,19,1015.0
,2025-06-7,5.3,11.1,7.4,,,NW,43,10:47,9.3,85,8,NW,20,1009.9,9.8,86,,NNW,11,1008.1
,2025-06-8,6.7,8.3,18.0,,,NW,39,06:06,7.5,89,,WNW,19,1004.2,7.6,89,,WNW,17,1003.4
,2025-06-9,3.2,10.1,3.0,,,W,22,12:30,6.1,96,8,W,13,1006.0,9.7,86,,W,15,1005.4
,2025-06-10,2.0,7.9,0.2,,,NNE,15,10:57,5.7,98,8,ENE,2,1012.6,6.9,93,,ESE,4,1012.1
,2025-06-11,5.5,12.1,0,,,SE,17,09:27,7.9,84,8,SSW,2,1016.6,11.1,67,,W,9,1015.6
,2025-06-12,2.2,13.5,0,,,ENE,11,10:27,5.5,94,,ENE,2,1022.1,12.7,54,, ,Calm,1020.7
,2025-06-13,0.6,14.6,0.2,,,NNE,13,10:32,5.4,95,, ,Calm,1026.4,14.0,51,,ENE,6,1024.2
,2025-06-14,-0.9,13.6,0.2,,,ESE,15,12:49,4.3,97,1, ,Calm,1025.5,13.0,62,,SE,9,1021.6
,2025-06-15,3.2,8.7,5.6,,,WNW,15,01:38,6.2,95,8,E,6,1022.5,8.3,96,,SE,9,1022.1
,2025-06-16,5.1,12.4,3.0,,,WNW,35,23:38,8.7,93,8, ,Calm,1025.1,12.1,67,8,N,15,1021.7
,2025-06-17,3.2,12.9,1.4,,,WNW,33,16:15,7.7,93,8,WNW,15,1023.3,11.7,64,8,WNW,20,1021.7
,2025-06-18,1.0,10.8,0.6,,,NE,13,12:19,4.7,98,8,ESE,6,1029.3,10.2,69,6,WSW,9,1027.6
,2025-06-19,0.5,,0,,,,,,3.8,95,, ,Calm,1029.7,,,,,,
,2025-06-20,-0.1,11.2,0,,,ENE,13,10:32,3.7,99,,SSE,2,1031.2,10.6,65,,E,4,1028.9
,2025-06-21,-0.4,13.0,0.2,,,E,15,05:14,4.3,94,,NE,6,1033.0,12.6,54,,E,6,1030.2
,2025-06-22,-2.7,12.6,0,,,ESE,17,13:07,2.5,87,, ,Calm,1031.1,11.3,56,,ESE,9,1026.2
,2025-06-23,1.0,19.5,0.2,,,NNE,59,21:54,10.8,74,,SW,4,1020.0,18.4,57,,NNE,17,1014.7
,2025-06-24,7.7,14.0,8.6,,,N,59,01:50,13.7,76,,NNW,22,1005.3,12.6,60,,NNW,24,1003.6
,2025-06-25,6.3,11.0,7.4,,,NW,65,00:18,6.4,91,8,WNW,9,1005.6,8.8,67,,W,28,1009.9
,2025-06-26,-1.1,12.3,1.8,,,WSW,28,00:02,2.7,90,, ,Calm,1028.7,11.9,55,1, ,Calm,1028.9
,2025-06-27,-1.0,13.1,0.2,,,SSE,13,13:58,3.2,94,,NNW,4,1033.3,12.5,56,,SE,7,1030.4
,2025-06-28,-1.4,14.3,0,,,SSE,39,17:12,4.5,95,, ,Calm,1030.1,13.2,56,,ESE,6,1026.9
,2025-06-29,0.1,12.6,0.2,,,ENE,15,13:33,3.8,99,8,SSE,6,1027.3,12.3,60,,ENE,6,1025.6
,2025-06-30,-0.6,14.0,0,,,ENE,13,11:34,2.8,99,8,E,6,1028.5,13.2,49,,NE,7,1025.7
