"Daily Weather Observations for Albury-Wodonga for July 2025"
"Prepared at 13:00 UTC on Thursday 21 August 2025   IDCJDW2002.202507"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Albury airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Albury Airport AWS {station 072160}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-07-1,-1.0,12.2,0.2,,,SW,17,15:31,4.9,82,,SW,6,1022.0,11.7,65,, ,Calm,1016.7
,2025-07-2,1.7,18.8,0,,,S,28,13:56,6.2,93,, ,Calm,1012.0,18.7,43,3,SW,17,1010.1
,2025-07-3,3.8,,0,,,,,,7.8,90,, ,Calm,1015.7,15.5,55,,WNW,13,1014.8
,2025-07-4,0.8,15.0,0,,,ENE,19,13:41,6.3,93,, ,Calm,1021.9,13.7,68,,N,7,1019.6
,2025-07-5,-0.1,14.6,0,,,E,20,14:50,5.2,99,5,NNW,2,1023.4,14.1,61,,E,17,1019.2
,2025-07-6,3.8,14.3,0,,,SE,37,12:42,8.3,82,2,NNW,2,1016.2,12.0,81,,E,20,1013.5
,2025-07-7,3.8,9.8,4.6,,,N,15,16:07,6.8,99,8, ,Calm,1018.6,9.6,90,8,N,9,1017.3
,2025-07-8,5.8,13.4,0,,,N,52,14:32,10.4,81,,NE,13,1011.0,12.7,66,,N,26,1006.4
,2025-07-9,0.6,11.7,3.8,,,NNE,26,13:51,5.3,99,8,ENE,4,1010.1,10.8,65,8,NNE,15,1006.3
,2025-07-10,5.3,10.2,7.4,,,W,48,11:20,7.1,91,8,NW,17,1001.8,9.0,83,8,W,24,1006.3
,2025-07-11,6.8,11.9,5.4,,,W,30,15:24,8.8,93,7,WNW,9,1019.7,10.6,92,8,WNW,13,1019.4
,2025-07-12,5.1,13.8,1.4,,,WNW,30,14:10,7.9,99,8,SSW,6,1026.6,12.1,58,,WSW,15,1025.6
,2025-07-13,1.1,13.1,0,,,WNW,33,22:42,4.4,99,8, ,Calm,1022.7,12.8,72,,N,15,1013.6
,2025-07-14,2.4,12.5,1.2,,,WNW,37,00:29,7.6,85,1,WNW,7,1016.0,11.9,57,,NW,13,1013.5
,2025-07-15,5.1,12.8,0,,,WSW,26,12:55,7.4,86,8,NNW,4,1012.6,11.3,57,7,W,17,1012.4
,2025-07-16,2.5,13.4,0,,,WSW,26,14:13,5.8,93,8, ,Calm,1020.2,12.1,66,8,WNW,13,1019.3
,2025-07-17,5.8,14.6,0,,,W,26,14:15,8.1,95,8, ,Calm,1019.8,14.4,54,,WNW,15,1017.1
,2025-07-18,1.6,13.8,0,,,W,17,15:40,4.4,99,8, ,Calm,1021.4,13.7,59,,WNW,4,1019.0
,2025-07-19,-1.3,13.0,0,,,N,26,13:48,1.9,99,8,SSE,6,1021.6,11.7,53,,N,13,1018.4
,2025-07-20,1.8,14.7,0.2,,,ESE,19,11:46,7.7,83,, ,Calm,1024.1,13.9,52,,NNE,7,1022.0
,2025-07-21,1.5,17.6,0,,,N,30,14:37,6.2,90,, ,Calm,1023.6,17.3,45,,NE,19,1017.7
,2025-07-22,6.2,15.9,0.8,,,NNE,56,07:51,13.7,71,5,NE,28,1011.8,12.7,88,8,NNE,35,1007.1
,2025-07-23,3.5,11.3,9.0,,,NNW,50,17:11,8.4,78,,W,7,1015.4,10.6,70,3,NW,11,1015.1
,2025-07-24,0.0,12.7,0.2,,,WSW,26,14:14,3.5,99,8, ,Calm,1023.6,12.4,58,,W,13,1021.7
,2025-07-25,0.5,11.3,0,,,NNE,48,00:00,6.4,88,,ESE,6,1022.1,10.9,53,,NE,13,1015.2
,2025-07-26,5.0,13.0,15.6,,,NE,54,00:28,11.3,84,8,NNE,20,1005.4,11.2,88,8,N,20,1002.6
,2025-07-27,9.7,12.2,7.4,,,NW,35,21:09,9.9,92,,NW,13,1003.3,11.1,85,,WNW,17,1001.6
,2025-07-28,9.2,14.1,13.4,,,WNW,39,04:10,9.8,90,8,WNW,11,1008.1,12.4,73,5,WNW,20,1008.8
,2025-07-29,5.8,12.7,0,,,W,19,01:38,6.5,95,8,NNE,4,1016.6,10.9,73,,W,9,1014.1
,2025-07-30,3.1,13.6,0.2,,,SE,30,10:48,7.8,74,,SE,9,1016.0,13.0,51,,SSE,11,1016.1
,2025-07-31,0.7,15.5,0,,,SSE,31,19:03,6.6,74,,S,7,1023.7,15.1,48,8,S,9,1021.8
