"Daily Weather Observations for Badgerys Creek, New South Wales for October 2023"
"Prepared at 13:00 UTC on Wednesday 13 November 2024   IDCJDW2005.202310"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Badgerys Creek AWS {station 067108}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-10-1,11.2,36.4,0,,,WNW,70,12:26,20.2,59,,NNE,11,1013.3,35.6,11,,W,39,1008.3
,2023-10-2,13.2,26.8,0,,,ESE,30,14:55,20.8,54,,NNW,7,1024.0,25.5,43,,E,11,1019.2
,2023-10-3,13.2,36.8,0,,,N,56,14:06,20.7,65,, ,Calm,1016.8,36.0,15,,N,35,1011.1
,2023-10-4,20.3,25.1,0,,,NNE,48,15:13,24.3,37,,N,20,1011.1,23.6,50,,NNE,22,1008.1
,2023-10-5,10.5,21.0,15.4,,,W,54,03:26,15.4,43,,WNW,28,1014.4,20.3,26,,WSW,30,1016.3
,2023-10-6,6.5,23.0,0,,,SE,30,14:26,15.6,52,,SW,7,1024.7,15.4,66,,SE,15,1025.7
,2023-10-7,10.8,21.0,3.2,,,SE,28,15:43,11.4,64,,SW,13,1031.4,18.2,47,,SE,15,1029.3
,2023-10-8,8.4,23.2,0,,,ENE,31,15:30,14.3,74,,SE,4,1032.8,22.6,34,,NNW,6,1028.4
,2023-10-9,7.2,28.2,,,,,,,21.0,44,,NE,9,1025.7,27.9,17,,WSW,11,1020.2
,2023-10-10,10.9,25.3,0,,,E,33,16:01,17.0,69,,SW,9,1023.8,22.7,50,,E,20,1020.2
,2023-10-11,14.3,27.9,0,,,E,30,16:34,19.3,67,,NE,6,1024.7,26.5,39,,NNE,15,1021.3
,2023-10-12,10.3,34.0,0,,,WSW,69,20:10,17.2,73,,E,4,1018.0,33.5,16,,NNW,28,1009.3
,2023-10-13,9.9,25.5,0.8,,,SW,46,12:21,15.6,47,,SW,13,1018.0,24.2,25,,SSW,24,1014.8
,2023-10-14,8.1,28.8,0.2,,,W,46,12:20,17.9,49,,NNW,7,1017.9,26.9,25,,WNW,28,1012.0
,2023-10-15,12.0,28.9,0,,,WSW,33,23:55,21.1,39,,N,7,1018.0,27.0,30,,NE,9,1012.0
,2023-10-16,9.4,26.2,0,,,W,87,13:27,18.2,56,, ,Calm,1011.6,21.4,38,,W,31,1010.7
,2023-10-17,9.8,19.1,0.2,,,S,48,14:34,13.7,55,,SSW,30,1026.7,17.9,52,,S,24,1028.0
,2023-10-18,10.5,23.2,1.0,,,E,28,14:33,16.1,73,,SW,6,1030.9,21.6,44,,E,11,1028.2
,2023-10-19,11.3,24.6,0,,,E,31,17:59,19.7,54,,NW,7,1025.2,23.5,39,,NNE,11,1020.5
,2023-10-20,9.2,30.4,0,,,NE,33,13:53,18.0,64,,NE,4,1020.0,29.4,30,,E,15,1014.4
,2023-10-21,13.0,30.4,0,,,ESE,31,14:24,19.3,75,,SSE,6,1017.2,29.1,42,,E,22,1011.6
,2023-10-22,14.1,30.9,0,,,NW,52,12:37,22.4,49,,SW,7,1009.7,28.6,13,,W,31,1007.7
,2023-10-23,9.5,30.1,0,,,ESE,31,17:19,19.0,38,,SW,11,1014.1,29.6,20,,WSW,6,1009.7
,2023-10-24,10.5,34.8,0,,,NE,30,14:14,20.4,44,,S,6,1014.9,32.7,15,,NNE,15,1008.2
,2023-10-25,14.3,28.4,0,,,SSW,35,07:33,22.8,32,,SSW,22,1011.4,25.1,47,,ESE,17,1009.6
,2023-10-26,11.3,18.0,0,,,SE,37,16:39,13.9,55,,SSW,17,1022.6,15.2,48,,SSE,22,1023.1
,2023-10-27,10.6,20.5,1.6,,,S,43,10:18,14.6,64,,SSW,24,1030.4,14.2,72,,S,20,1030.0
,2023-10-28,8.7,22.7,0.8,,,ENE,30,15:03,17.8,47,,SE,9,1030.0,20.5,36,,E,9,1027.1
,2023-10-29,6.5,29.3,0,,,ENE,30,16:35,15.9,61,,NE,4,1021.6,28.1,19,,NNE,9,1015.5
,2023-10-30,9.3,35.6,0,,,WNW,65,17:14,28.5,26,,N,11,1011.1,32.9,14,,WNW,37,1005.4
,2023-10-31,18.3,28.7,0,,,WNW,104,01:52,26.0,23,,W,24,1009.4,28.0,9,,SW,30,1011.7
