"Daily Weather Observations for Badgerys Creek, New South Wales for May 2024"
"Prepared at 13:00 UTC on Wednesday  6 November 2024   IDCJDW2005.202405"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Badgerys Creek AWS {station 067108}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-05-1,13.1,21.1,0,,,SSW,31,08:58,16.3,61,,SSW,22,1030.8,19.8,51,,SSE,17,1028.7
,2024-05-2,12.6,20.7,0,,,ESE,24,15:41,16.1,70,,SW,4,1032.1,18.4,66,,WNW,4,1029.3
,2024-05-3,11.1,19.0,0.2,,,SSW,26,12:37,15.5,83,,SW,11,1030.2,15.2,95,,SSW,7,1027.4
,2024-05-4,12.3,20.1,2.8,,,SSE,20,13:00,15.0,95,,WSW,7,1025.8,18.9,67,,ESE,7,1022.1
,2024-05-5,13.9,16.5,4.8,,,SSW,39,12:13,15.3,97,,SW,7,1022.7,15.1,87,,SSW,19,1021.5
,2024-05-6,13.4,20.4,4.8,,,SSW,44,04:04,16.4,83,,SW,22,1027.7,18.9,57,,SSE,20,1028.3
,2024-05-7,12.3,20.0,3.4,,,S,31,16:07,17.9,80,,WSW,9,1031.3,17.6,83,,SW,9,1029.2
,2024-05-8,12.5,18.8,2.2,,,SE,22,14:09,13.9,99,,ENE,4,1031.8,16.3,100,,SE,4,1029.1
,2024-05-9,12.2,21.0,9.0,,,ENE,24,12:57,18.3,85,,SSE,2,1032.2,18.9,77,,SSW,7,1029.9
,2024-05-10,13.8,21.1,1.6,,,SE,15,00:12,17.3,87,,SSW,6,1030.8,16.6,92,,E,4,1027.9
,2024-05-11,14.4,17.0,3.8,,,SE,24,15:22,15.4,100,,SW,7,1027.1,16.5,100,,ESE,7,1024.0
,2024-05-12,13.8,21.2,16.6,,,SSW,35,14:10,17.0,82,,SW,11,1021.1,17.0,77,,SSW,19,1018.5
,2024-05-13,14.8,22.0,1.0,,,SW,41,09:06,19.4,70,,SSW,22,1020.3,21.7,64,,SW,17,1019.5
,2024-05-14,8.1,23.2,0,,,S,20,14:40,14.2,93,, ,Calm,1025.6,21.8,46,,S,7,1024.3
,2024-05-15,12.4,22.1,0,,,NNE,19,11:59,16.5,78,,WSW,6,1029.8,21.5,59,,NNE,7,1025.8
,2024-05-16,10.2,22.6,0,,,N,15,15:01,17.6,78,,WSW,7,1030.0,19.5,63,,N,9,1026.6
,2024-05-17,9.7,24.2,0,,,SW,13,21:00,13.4,100,,W,6,1025.5,23.1,49,,WSW,4,1020.2
,2024-05-18,11.1,16.1,0,,,SW,50,10:23,12.3,55,,SW,22,1024.0,15.1,54,,SSW,26,1023.1
,2024-05-19,7.2,17.9,0,,,SW,31,09:49,12.1,56,,SW,22,1023.0,17.5,41,,SW,9,1019.5
,2024-05-20,5.0,19.5,0,,,SSW,30,10:27,12.6,59,,SW,17,1023.5,16.8,53,,S,11,1022.9
,2024-05-21,10.2,,0,,,,,,14.7,61,,WSW,17,1027.8,18.9,53,,SE,9,1025.1
,2024-05-22,8.4,18.9,,,,SW,26,10:05,15.0,60,,SW,15,1027.4,18.4,45,,SW,9,1024.0
,2024-05-23,4.8,21.1,0.2,,,E,15,17:52,11.0,84,,SW,6,1027.9,19.7,43,,W,6,1025.8
,2024-05-24,5.9,20.6,0,,,ESE,13,16:53,14.6,72,, ,Calm,1027.6,18.9,53,,NE,4,1025.1
,2024-05-25,7.0,18.4,0,,,S,9,04:35,11.8,100,,SSE,2,1028.9,16.1,73,, ,Calm,1025.7
,2024-05-26,6.5,21.5,0,,,WSW,24,13:48,11.8,100,,NW,2,1026.2,21.1,44,,SSW,9,1022.6
,2024-05-27,5.8,21.0,0,,,SW,24,13:15,14.9,74,,SW,4,1025.8,19.0,46,,S,4,1024.2
,2024-05-28,4.6,21.6,0,,,WSW,11,21:45,9.7,100,,S,4,1029.0,20.6,49,,NE,7,1026.1
,2024-05-29,3.8,21.4,0,,,NE,13,13:00,9.3,100,, ,Calm,1029.6,20.9,48,,NE,4,1025.6
,2024-05-30,4.7,23.0,0,,,NNE,22,14:28,10.4,100,,WSW,2,1026.8,21.3,56,,NNE,6,1022.8
,2024-05-31,10.3,20.3,0,,,NNE,30,08:57,18.4,66,,NNE,22,1017.4,20.0,69,,NNW,7,1014.7
