"Daily Weather Observations for Badgerys Creek, New South Wales for June 2024"
"Prepared at 13:00 UTC on Tuesday  5 November 2024   IDCJDW2005.202406"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Badgerys Creek AWS {station 067108}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-06-1,12.1,16.0,0.2,,,SW,30,19:50,14.6,70,,SW,15,1020.2,13.6,100,,NW,4,1019.5
,2024-06-2,11.4,16.4,26.6,,,SW,43,10:12,13.8,61,,WSW,20,1017.6,15.5,58,,WSW,22,1014.8
,2024-06-3,4.9,18.4,0.2,,,WNW,30,12:15,11.8,77,,NE,4,1012.6,16.3,44,,NW,20,1010.2
,2024-06-4,3.9,16.7,0,,,S,15,16:11,9.3,86,,WNW,2,1015.9,16.1,59,,SW,6,1014.9
,2024-06-5,6.7,15.2,0,,,SSW,24,15:13,12.5,74,, ,Calm,1019.4,14.5,78,,SW,13,1017.8
,2024-06-6,10.4,15.5,8.4,,,SSW,46,23:39,14.4,93,,WSW,6,1019.2,13.9,100,,SSW,9,1017.4
,2024-06-7,12.2,17.4,40.2,,,,,,14.3,83,,WSW,17,1014.0,17.0,81,,SSW,9,1012.0
,2024-06-8,11.5,20.1,0.6,,,W,33,14:04,13.8,78,,WSW,9,1012.9,18.7,61,,W,22,1010.5
,2024-06-9,6.0,21.0,0,,,SW,26,18:24,12.6,95,, ,Calm,1017.4,19.4,50,,NNE,6,1015.7
,2024-06-10,5.4,17.5,0,,,WSW,35,11:33,10.1,79,,WSW,11,1021.4,16.9,50,,WSW,19,1020.7
,2024-06-11,2.9,16.6,0,,,W,54,21:57,7.1,99,, ,Calm,1020.5,12.5,73,,NE,2,1014.5
,2024-06-12,7.1,18.1,0,,,SW,67,13:39,10.0,73,,SW,6,1008.7,16.8,41,,WSW,35,1009.4
,2024-06-13,5.4,15.6,0,,,SW,33,10:06,10.6,60,,WSW,20,1021.0,13.7,58,,WSW,9,1020.0
,2024-06-14,7.0,14.6,0,,,WSW,17,12:29,9.1,79,,SW,7,1020.2,13.6,71,,WSW,7,1017.9
,2024-06-15,9.9,15.4,7.2,,,SW,33,10:12,12.9,83,,SSW,15,1018.3,14.0,69,,S,13,1016.0
,2024-06-16,6.0,15.2,0,,,SSW,39,11:46,12.2,55,,WSW,22,1016.3,14.9,50,,WSW,20,1013.6
,2024-06-17,8.6,17.3,0,,,SW,43,11:42,14.9,54,,SW,20,1015.1,16.3,55,,SW,17,1014.2
,2024-06-18,6.1,17.0,0,,,WSW,28,10:43,12.6,61,,WSW,11,1017.5,16.1,46,,WSW,19,1014.5
,2024-06-19,2.2,16.7,0,,,W,24,12:54,7.3,82,,WSW,6,1017.6,15.3,43,,SSW,4,1014.6
,2024-06-20,0.1,16.3,0.2,,,WNW,15,02:02,8.0,88,,NNE,2,1018.3,14.8,36,,NE,7,1015.8
,2024-06-21,3.0,17.6,0,,,SW,26,14:42,13.0,70,,SW,7,1018.8,15.0,57,,SW,7,1018.1
,2024-06-22,6.5,15.5,4.0,,,SSW,33,12:44,9.2,94,,WSW,4,1025.4,14.7,61,,S,15,1024.6
,2024-06-23,10.0,17.4,0.2,,,SW,31,10:15,11.9,71,,SSW,15,1025.3,16.4,58,,WSW,11,1022.2
,2024-06-24,2.8,17.3,0,,,NNE,11,12:21,7.1,100,, ,Calm,1020.8,14.6,55,,N,6,1018.0
,2024-06-25,0.8,18.4,0,,,NE,13,13:33,6.5,100,, ,Calm,1022.7,16.4,53,,ESE,4,1019.7
,2024-06-26,2.7,20.7,0,,,W,28,18:41,8.0,100,,W,2,1020.9,18.9,62,,W,6,1016.8
,2024-06-27,5.9,19.0,0,,,W,22,06:47,11.8,63,,WNW,7,1023.0,18.8,39,,W,11,1020.4
,2024-06-28,1.5,19.3,0,,,SW,20,11:41,11.6,72,,W,2,1027.2,17.3,42,,N,6,1023.5
,2024-06-29,1.2,18.2,0,,,NNE,17,12:03,2.6,99,,W,4,1020.9,17.1,56,,ENE,6,1016.3
,2024-06-30,5.1,14.7,10.2,,,SW,35,02:46,12.7,100,,W,2,1014.1,11.4,88,,SSW,19,1015.0
