"Daily Weather Observations for Bathurst, New South Wales for November 2023"
"Prepared at 13:00 UTC on Tuesday 12 November 2024   IDCJDW2012.202311"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Bathurst, but some from Bathurst Airport."
"Temperature, humidity, cloud, evaporation and rainfall observations are from Bathurst Agricultural Station {station 063005}"
"Wind and pressure observations are from Bathurst Airport AWS {station 063291}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-11-1,,22.4,0,,,SSE,30,18:27,,,,SW,9,1020.0,,,,SW,11,1016.1
,2023-11-2,5.5,25.0,0,6.0,,ENE,30,20:53,13.6,77,0,SSW,2,1019.8,23.6,37,3,WSW,13,1016.4
,2023-11-3,8.2,,0,7.0,,ENE,35,19:40,17.0,67,5,N,9,1017.9,23.6,41,7,SSW,19,1014.1
,2023-11-4,,,,,,SE,59,12:34,,,,ENE,17,1019.2,,,,NE,19,1018.3
,2023-11-5,,19.8,,,,ENE,43,18:22,,,,E,17,1023.2,,,,E,22,1022.3
,2023-11-6,7.5,23.7,8.4,,,ENE,33,02:44,15.0,69,1,NE,13,1024.2,23.5,40,4,W,11,1020.1
,2023-11-7,5.2,26.4,0,7.0,,NW,30,09:57,15.0,72,0,N,4,1021.9,,,,N,6,1017.1
,2023-11-8,10.3,22.7,0,5.0,,W,44,13:22,18.0,62,7,N,20,1018.9,15.1,99,8,WSW,22,1017.2
,2023-11-9,9.0,,3.4,2.0,,WSW,56,11:49,19.0,70,4,N,7,1017.0,17.0,91,8,E,9,1015.4
,2023-11-10,,,,,,,,,,,,WNW,4,1018.2,27.2,34,4,NW,15,1015.3
,2023-11-11,,,,,,NNW,35,09:39,,,,NW,2,1019.5,,,,NW,20,1016.4
,2023-11-12,,32.2,,,,W,48,12:13,,,,N,20,1017.9,,,,WNW,24,1014.6
,2023-11-13,4.0,28.6,5.2,13.2,,WSW,31,15:33,15.5,65,2,NNE,6,1016.6,28.0,28,0,SSW,11,1013.7
,2023-11-14,7.1,29.2,0,8.0,,SW,43,13:30,16.2,79,1,SSW,6,1014.6,,,,SW,31,1012.8
,2023-11-15,11.8,27.7,0,8.0,,WNW,52,13:33,18.3,63,4,NNW,11,1012.5,26.6,30,4,W,33,1009.9
,2023-11-16,7.8,27.3,0,9.0,,,,,20.0,47,4,NNW,6,1010.7,26.2,24,7,W,28,1007.8
,2023-11-17,6.5,,2.4,7.4,,ESE,30,17:33,15.5,73,4,SW,7,1014.5,24.5,26,2,SSW,9,1013.8
,2023-11-18,,,0,,,WNW,30,11:59,,,,N,9,1019.9,,,,W,13,1016.8
,2023-11-19,,30.1,0,,,NW,35,12:30,,,,WSW,4,1019.9,,,,NNW,9,1017.2
,2023-11-20,16.0,22.5,0,8.0,,N,35,12:40,20.0,65,8,N,7,1020.2,21.8,54,7,NE,17,1018.3
,2023-11-21,9.0,,0,4.0,,W,37,14:37,17.8,69,0,SE,9,1019.1,,,,SW,13,1015.6
,2023-11-22,,,,,,SW,50,13:03,,,,S,4,1019.8,,,,SSE,26,1019.2
,2023-11-23,13.0,23.2,10.6,,,ESE,37,17:43,17.0,84,7,NE,9,1022.0,22.8,58,6,E,22,1020.1
,2023-11-24,15.6,,0,,,ESE,30,23:01,18.8,70,6,ENE,15,1020.2,,,,NNE,11,1018.3
,2023-11-25,,,,,,NNW,35,13:32,,,,N,11,1014.8,,,,N,26,1011.0
,2023-11-26,,25.6,,,,WSW,44,13:57,,,,NNW,13,1012.6,,,,WNW,13,1010.6
,2023-11-27,9.2,28.6,7.0,,,WNW,56,12:24,18.0,72,0, ,Calm,1012.9,27.7,31,0,W,26,1010.0
,2023-11-28,14.0,25.0,0,8.0,,ENE,37,19:04,18.0,81,8,SW,2,1014.5,,,,ESE,4,1010.8
,2023-11-29,15.5,22.8,32.2,4.2,,N,59,12:01,18.0,88,7,N,24,1004.6,16.0,100,6,N,17,1002.4
,2023-11-30,13.0,22.0,28.8,1.2,,WNW,46,11:31,16.5,88,7,WNW,19,1003.6,18.8,74,8,WSW,31,1002.8
