"Daily Weather Observations for Bathurst, New South Wales for April 2024"
"Prepared at 16:00 UTC on Thursday  7 November 2024   IDCJDW2012.202404"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Bathurst, but some from Bathurst Airport."
"Temperature, humidity, cloud, evaporation and rainfall observations are from Bathurst Agricultural Station {station 063005}"
"Wind and pressure observations are from Bathurst Airport AWS {station 063291}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-04-1,,,,,,NNE,26,16:31,,,, ,Calm,1020.7,,,,ESE,2,1018.0
,2024-04-2,,22.7,,,,WNW,48,13:35,,,,N,17,1014.4,,,,W,31,1012.3
,2024-04-3,6.2,22.7,26.8,,,WNW,20,12:29,12.0,82,2,WSW,6,1019.8,20.6,47,4,WNW,9,1018.8
,2024-04-4,11.8,17.2,0,1.0,,ESE,31,13:11,15.6,78,7,SE,17,1022.7,17.0,75,7,SE,22,1021.9
,2024-04-5,13.5,,20.0,0.2,,E,44,13:24,14.5,96,8,ESE,15,1023.3,15.6,94,8,ESE,20,1019.4
,2024-04-6,,21.0,,,,NNW,37,12:48,,,,N,7,1016.7,,,,N,17,1014.3
,2024-04-7,13.0,21.0,50.0,,,NW,37,11:13,15.0,94,6,NNW,13,1013.8,,,,WNW,24,1010.8
,2024-04-8,10.6,22.0,9.0,,,SW,26,14:22,15.0,90,6,WSW,9,1013.1,21.5,44,8,SW,20,1010.5
,2024-04-9,8.2,16.0,0,1.0,,SSW,44,16:34,14.0,66,6,WSW,11,1011.5,,,,WSW,28,1009.7
,2024-04-10,3.5,17.0,1.6,1.6,,SSW,33,13:28,12.5,61,,SSW,13,1017.3,,,,SSW,24,1015.9
,2024-04-11,1.5,21.0,0,,,NW,17,12:19,11.5,76,0,W,6,1020.6,,,,W,9,1018.9
,2024-04-12,5.0,22.0,0,0.0,,ENE,24,01:34,16.5,66,0,W,6,1022.4,,,,W,9,1018.8
,2024-04-13,4.0,,0,5.0,,NW,22,14:17,15.0,69,0,WSW,6,1022.6,,,,WNW,9,1019.8
,2024-04-14,,23.0,0,,,WNW,28,13:02,,,, ,Calm,1024.1,,,,WNW,13,1021.4
,2024-04-15,2.5,23.0,0,4.0,,NW,30,13:48,16.5,52,2, ,Calm,1025.1,,,,NW,17,1021.7
,2024-04-16,2.0,23.0,0,3.0,,WNW,20,13:39,15.0,59,0,SW,7,1025.0,,,,SW,15,1021.2
,2024-04-17,4.0,22.6,0,3.0,,NW,28,12:49,16.0,80,2,SW,4,1024.7,,,,WNW,13,1021.4
,2024-04-18,7.8,19.5,0.2,3.8,,SW,37,13:57,11.4,90,6,W,6,1019.9,,,,WSW,24,1015.8
,2024-04-19,2.0,16.6,0,3.0,,SSW,20,11:45,13.0,83,6,WSW,2,1017.6,,,,NE,9,1016.9
,2024-04-20,10.2,18.0,0,3.0,,ESE,37,10:50,14.1,72,7,SE,20,1024.0,,,,SE,20,1024.5
,2024-04-21,8.5,21.2,0,1.0,,SE,24,03:04,13.6,76,1,WNW,6,1028.6,,,,SSE,15,1025.9
,2024-04-22,3.3,21.7,0,1.2,,N,20,11:53,11.2,92,0,NNW,2,1029.3,21.0,64,2,ENE,4,1025.8
,2024-04-23,3.0,22.2,0,2.2,,WNW,30,15:35,9.2,95,0,SW,6,1026.5,21.5,40,0,N,9,1021.3
,2024-04-24,5.8,,0,3.0,,SW,39,11:27,14.5,65,4,WNW,15,1018.7,18.8,43,4,WSW,22,1017.5
,2024-04-25,,17.3,0,,,WSW,30,14:23,,,,SW,6,1021.0,,,,WSW,19,1018.6
,2024-04-26,-0.5,19.5,0,3.0,,SW,17,15:26,,,0,SW,6,1023.6,,,,SW,9,1021.4
,2024-04-27,2.0,,0,2.4,,NNW,20,12:13,13.0,72,0,WSW,6,1027.4,,,,N,11,1024.6
,2024-04-28,,21.6,0,,,N,22,12:40,,,,NNE,4,1028.1,,,,NNW,7,1023.8
,2024-04-29,4.0,22.0,0,,,NNW,33,13:05,10.6,81,4,WSW,2,1025.9,18.8,55,6,WNW,11,1022.5
,2024-04-30,10.4,17.2,2.2,2.2,,WSW,26,02:17,12.2,95,7,S,7,1025.2,,,,ENE,15,1023.7
