"Daily Weather Observations for Bathurst, New South Wales for May 2024"
"Prepared at 13:00 UTC on Wednesday  6 November 2024   IDCJDW2012.202405"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Bathurst, but some from Bathurst Airport."
"Temperature, humidity, cloud, evaporation and rainfall observations are from Bathurst Agricultural Station {station 063005}"
"Wind and pressure observations are from Bathurst Airport AWS {station 063291}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-05-1,9.0,17.5,1.6,1.6,,SE,33,07:14,12.4,75,7,ESE,20,1029.2,15.8,55,6,ESE,17,1028.6
,2024-05-2,8.2,17.0,0,0.4,,ESE,31,03:24,13.5,68,6,ESE,11,1031.6,14.3,64,7,ENE,19,1029.4
,2024-05-3,6.5,,0,1.2,,ENE,33,11:08,10.0,87,3,ENE,13,1029.8,,,,NE,17,1025.9
,2024-05-4,,,16.8,0.2,,E,30,01:28,11.4,93,7,E,15,1025.0,,,,W,9,1022.6
,2024-05-5,,,,,,SE,31,14:44,,,,SSE,9,1022.6,,,,SE,19,1021.7
,2024-05-6,,17.1,4.8,0.4,,ESE,44,10:37,14.5,45,6,SE,19,1027.3,15.0,69,6,ESE,24,1027.8
,2024-05-7,11.3,18.5,0,0.2,,NE,35,10:22,14.2,69,6,ESE,20,1030.9,,,,ESE,22,1028.6
,2024-05-8,7.8,18.0,0.2,0.2,,ENE,30,14:20,14.0,69,1,SE,9,1031.7,,,,ENE,13,1028.7
,2024-05-9,7.5,,0,1.2,,ENE,31,21:54,13.5,73,0,ENE,17,1031.9,14.5,81,8,ENE,13,1029.7
,2024-05-10,,,,,,ENE,37,10:02,,,,ENE,22,1030.8,,,,ENE,19,1027.4
,2024-05-11,,,,,,ENE,31,04:07,,,,ESE,6,1026.2,,,,ENE,13,1023.2
,2024-05-12,,17.8,20.6,,,SW,30,15:05,,,,SE,7,1022.1,,,,SW,24,1019.4
,2024-05-13,9.5,19.0,0.2,0.2,,SSW,33,14:03,14.2,74,6,S,7,1022.7,,,,SSW,20,1021.7
,2024-05-14,1.8,18.0,0,1.0,,WSW,26,14:34,9.0,97,0, ,Calm,1027.9,,,,WSW,17,1026.3
,2024-05-15,0.8,19.5,0,0.4,,NNW,24,11:56,5.5,100,8, ,Calm,1030.9,19.0,52,2,NW,15,1027.8
,2024-05-16,3.9,,0,1.0,,N,20,14:35,9.6,90,4,S,4,1030.5,18.6,50,7,NW,11,1027.6
,2024-05-17,,,0,,,SW,26,13:39,,,, ,Calm,1027.6,,,,WSW,13,1023.2
,2024-05-18,,,0,,,SSE,41,12:08,,,,SSE,22,1023.6,,,,SSE,26,1023.2
,2024-05-19,,18.0,0,,,WSW,28,14:42,,,,NE,7,1024.5,,,,WSW,20,1021.3
,2024-05-20,-3.5,15.6,0,,,SE,20,16:44,4.0,92,3,SW,9,1024.4,14.0,48,6,S,2,1022.7
,2024-05-21,-0.8,17.7,0,1.0,,SSW,20,12:17,8.7,78,0,W,4,1028.2,,,,WSW,9,1025.3
,2024-05-22,-1.0,15.2,0,1.0,,SW,19,16:15,3.5,100,8, ,Calm,1028.3,14.0,48,0,SW,9,1024.6
,2024-05-23,-2.0,,0,1.0,,W,15,12:26,4.6,87,1, ,Calm,1029.0,,,,W,7,1026.1
,2024-05-24,,,0,,,E,17,19:14,,,,SW,4,1028.3,,,,WSW,4,1025.6
,2024-05-25,,,0,,,SSE,17,08:00,,,,WSW,7,1029.0,,,,W,2,1025.9
,2024-05-26,,15.8,0,,,SSW,13,18:47,,,,SE,6,1027.8,,,,N,6,1024.8
,2024-05-27,-2.0,16.5,0,,,SSW,13,06:52,3.0,92,8, ,Calm,1027.1,15.5,50,0,WSW,7,1025.0
,2024-05-28,-2.8,18.9,0,1.0,,SSW,17,00:18,2.0,74,0,SW,7,1030.0,,,,SW,6,1027.2
,2024-05-29,-1.5,19.5,0,1.0,,NW,20,15:15,4.5,80,0, ,Calm,1031.3,18.2,47,2,WSW,2,1027.6
,2024-05-30,-0.8,18.2,0,1.2,,N,31,12:23,6.0,85,1, ,Calm,1028.6,16.7,61,7,N,17,1023.6
,2024-05-31,,14.0,1.2,2.2,,N,54,02:41,14.0,85,8,NNW,28,1019.9,13.5,89,8,NNW,22,1017.9
