"Daily Weather Observations for Bathurst, New South Wales for March 2025"
"Prepared at 13:00 UTC on Tuesday 19 August 2025   IDCJDW2012.202503"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Bathurst, but some from Bathurst Airport."
"Temperature, humidity, cloud, evaporation and rainfall observations are from Bathurst Agricultural Station {station 063005}"
"Wind and pressure observations are from Bathurst Airport AWS {station 063291}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-03-1,,,0,,,SSW,35,13:58,,,, ,Calm,1015.8,,,,SW,17,1013.3
,2025-03-2,,33.0,0,,,SW,46,13:49,,,, ,Calm,1014.5,,,,SW,33,1012.2
,2025-03-3,15.5,,0,,,SSE,35,14:35,19.3,79,5,ENE,11,1017.4,27.8,50,2,SSW,24,1015.1
,2025-03-4,,28.0,0,,,ESE,41,10:10,,,,ESE,24,1019.6,,,,ESE,24,1019.9
,2025-03-5,14.8,27.0,0,8.0,,E,46,10:51,19.2,67,5,ESE,17,1020.0,,,,ESE,20,1017.5
,2025-03-6,14.0,26.2,0,5.6,,ESE,43,10:38,18.0,78,0,SE,15,1018.4,24.0,61,7,SSE,26,1017.9
,2025-03-7,13.5,,0,1.4,,ESE,48,12:14,17.3,83,7,ESE,24,1019.2,22.2,68,6,ESE,22,1018.2
,2025-03-8,,,0,,,ENE,50,12:27,,,,ESE,20,1020.6,,,,ESE,22,1019.8
,2025-03-9,,29.0,0,,,ENE,44,08:59,,,,E,24,1021.8,,,,NE,13,1018.7
,2025-03-10,13.7,,0,,,NE,33,16:12,20.3,79,7,ESE,6,1019.8,,,,NE,17,1017.2
,2025-03-11,,28.2,0,,,SE,33,14:32,,,,S,7,1019.5,,,,ESE,13,1017.9
,2025-03-12,15.0,27.0,0,4.1,,E,24,07:46,19.1,79,6,E,17,1021.8,25.2,61,7,ENE,7,1017.8
,2025-03-13,,,0,4.0,,SSW,28,15:01,17.1,79,0, ,Calm,1020.6,,,,SSW,6,1017.9
,2025-03-14,,,0,,,WSW,37,14:17,,,,W,4,1021.5,,,,W,19,1018.7
,2025-03-15,,,0,,,NW,35,12:35,,,, ,Calm,1021.4,,,,WNW,20,1017.2
,2025-03-16,,32.4,0,,,NNW,54,15:35,,,,N,24,1015.8,,,,NW,31,1009.8
,2025-03-17,7.2,,0,,,WSW,46,01:39,12.1,74,0,S,13,1017.2,23.2,37,1,SSE,28,1015.6
,2025-03-18,,24.8,0,,,E,35,09:50,,,,ENE,19,1022.2,,,,NNE,17,1019.6
,2025-03-19,8.5,29.9,0,4.0,,NNW,33,09:56,15.0,90,4, ,Calm,1022.0,29.0,54,6,WNW,13,1018.5
,2025-03-20,14.5,30.3,2.2,4.2,,NNW,33,14:54,19.0,82,4, ,Calm,1020.5,30.0,44,4,NNW,22,1015.9
,2025-03-21,13.5,,10.2,6.2,,WSW,39,04:51,15.8,100,8,N,11,1016.1,,,,W,15,1013.8
,2025-03-22,,,,,,W,20,12:06,,,,W,6,1017.1,,,,W,9,1015.2
,2025-03-23,,25.7,,,,ENE,35,16:12,,,,ENE,15,1019.7,,,,ENE,20,1017.5
,2025-03-24,15.5,,2.0,,,NNE,30,15:30,18.4,92,7,SSE,2,1019.8,25.8,64,4,NE,20,1016.6
,2025-03-25,,27.6,0,,,NE,37,09:34,,,,SE,6,1022.0,,,,ENE,19,1019.4
,2025-03-26,14.0,27.0,0,5.0,,ENE,28,01:55,18.0,82,7,ENE,13,1021.9,,,,NE,13,1019.2
,2025-03-27,12.1,,0,3.8,,ENE,41,15:58,16.2,91,7,SSE,11,1022.0,,,,ENE,19,1020.8
,2025-03-28,,21.5,,,,ENE,48,09:05,,,,ENE,20,1020.2,,,,NE,22,1018.0
,2025-03-29,14.0,,9.2,2.0,,ENE,43,00:24,15.8,99,8,SSE,11,1010.9,,,,ESE,2,1007.2
,2025-03-30,,,0,,,SSW,41,12:32,,,,SSW,20,1009.9,,,,S,22,1008.3
,2025-03-31,,23.0,0,,,SSE,41,13:54,,,,S,19,1011.9,,,,SSE,20,1011.0
