"Daily Weather Observations for Bathurst, New South Wales for August 2025"
"Prepared at 13:00 UTC on Monday  1 September 2025   IDCJDW2012.202508"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Bathurst, but some from Bathurst Airport."
"Temperature, humidity, cloud, evaporation and rainfall observations are from Bathurst Agricultural Station {station 063005}"
"Wind and pressure observations are from Bathurst Airport AWS {station 063291}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-08-1,,,0,,,ESE,30,16:30,,,,SE,19,1024.0,,,,E,13,1020.8
,2025-08-2,,,0,,,SE,46,15:06,,,,ESE,24,1020.0,,,,SSE,28,1017.5
,2025-08-3,,16.6,0,,,ESE,50,10:43,,,,SE,28,1021.9,,,,SSE,24,1021.8
,2025-08-4,5.4,17.1,0,,,NNE,28,13:44,10.3,90,5,SE,7,1024.0,,,,N,17,1021.1
,2025-08-5,1.8,17.2,0,1.6,,WNW,35,14:58,6.2,97,8,NNW,6,1020.8,16.0,53,6,WNW,20,1018.0
,2025-08-6,,12.8,0,,,S,43,12:08,,,, ,Calm,1023.5,,,,WSW,24,1022.0
,2025-08-7,-2.5,13.5,0,1.8,,ESE,28,19:12,5.0,85,0,SW,7,1028.5,11.5,70,7,SE,13,1027.7
,2025-08-8,5.0,,0.4,1.4,,ENE,43,10:21,10.0,70,7,E,20,1032.4,11.5,60,7,E,20,1031.0
,2025-08-9,,,0,,,E,37,11:49,,,,E,17,1032.8,,,,ESE,15,1029.2
,2025-08-10,,15.4,0,,,E,33,03:10,,,,SE,13,1029.8,,,,SE,20,1026.7
,2025-08-11,3.4,14.9,0,1.4,,ESE,24,08:46,9.5,71,0,SE,15,1028.3,14.0,52,3,SE,9,1025.2
,2025-08-12,1.0,15.5,0,1.8,,SSW,22,12:30,5.0,89,0,SSW,2,1027.3,,,,NNE,6,1024.3
,2025-08-13,-1.8,11.8,0,1.6,,WSW,22,15:48,3.5,92,7,WSW,6,1027.4,,,,WSW,15,1025.1
,2025-08-14,1.0,,0.6,0.7,,SE,28,15:27,8.4,75,3,SSW,11,1027.1,,,,ESE,17,1024.4
,2025-08-15,,,0,,,WNW,24,12:09,,,,W,7,1023.2,,,,NW,13,1017.5
,2025-08-16,,,0,,,WSW,48,17:32,,,,WNW,9,1015.3,,,,W,22,1014.0
,2025-08-17,,9.8,0,,,W,33,15:00,,,,WNW,7,1020.5,,,,W,20,1018.9
,2025-08-18,-4.3,,0,,,SE,31,14:56,3.0,92,0,SSW,9,1025.8,,,,ESE,19,1025.4
,2025-08-19,,,,,,ESE,37,09:22,,,,ESE,24,1031.2,,,,SE,6,1028.7
,2025-08-20,,12.3,2.2,,,E,46,23:20,8.7,78,7,E,15,1031.1,9.5,79,8,ESE,20,1027.6
,2025-08-21,,10.2,,,,N,35,08:54,,,,N,20,1027.3,9.5,93,8,SE,15,1024.0
,2025-08-22,1.6,,5.0,1.8,,SW,20,19:59,,,5,SSE,9,1024.8,,,,NNE,6,1020.7
,2025-08-23,,,0,,,SSW,39,10:52,,,,SW,13,1022.2,,,,SW,24,1020.7
,2025-08-24,,15.0,0,,,WSW,30,15:07,,,,SSW,4,1023.9,,,,SW,15,1020.1
,2025-08-25,1.8,19.8,0,1.6,,SSE,17,09:46,10.6,81,7,SW,7,1022.2,,,,NW,2,1018.3
,2025-08-26,2.5,20.7,0,2.2,,NNW,41,23:24,8.0,100,8, ,Calm,1019.1,,,,NNW,24,1012.7
,2025-08-27,7.5,13.2,0.6,2.4,,WNW,50,05:22,10.6,94,8,NW,15,1007.9,10.7,68,6,NW,33,1005.9
,2025-08-28,4.5,,4.8,2.7,,WNW,52,14:55,8.0,62,7,NW,9,1011.3,,,,WNW,39,1009.4
,2025-08-29,,,,,,WNW,76,20:53,,,,NW,24,1012.1,,,,NW,43,1008.1
,2025-08-30,,,,,,W,57,03:00,,,,WNW,22,1011.9,,,,WSW,30,1018.7
,2025-08-31,,12.7,,,,W,28,13:38,,,,WSW,2,1028.1,,,,WSW,20,1024.7
