"Daily Weather Observations for Bellambi, New South Wales for November 2023"
"Prepared at 13:00 UTC on Tuesday 12 November 2024   IDCJDW2014.202311"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Bellambi AWS {station 068228}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-11-1,13.6,19.5,0.2,,,SSE,39,11:03,17.0,67,,S,22,,18.4,58,,SSE,24,
,2023-11-2,13.5,20.9,0,,,SSW,31,23:49,17.8,54,,SSW,15,,20.0,55,,SE,15,
,2023-11-3,15.0,20.9,8.2,,,SE,41,21:09,16.7,84,,WSW,9,,20.3,71,,SE,13,
,2023-11-4,15.7,17.8,19.4,,,SSW,35,12:28,16.3,91,,SW,17,,17.2,85,,S,22,
,2023-11-5,15.0,19.8,154.8,,,SE,50,03:20,17.5,72,,SE,33,,17.8,64,,ESE,24,
,2023-11-6,14.8,20.5,0.6,,,NE,35,17:20,16.9,70,,WSW,6,,19.3,60,,NE,22,
,2023-11-7,15.5,22.6,0,,,NE,48,16:34,20.3,62,,N,13,,20.5,68,,NE,35,
,2023-11-8,15.9,22.7,0,,,NE,41,14:24,21.1,73,,NE,13,,21.8,76,,NE,30,
,2023-11-9,17.0,22.7,0,,,SW,52,14:18,20.9,79,,NNE,9,,20.3,84,,NNE,20,
,2023-11-10,16.2,22.4,9.2,,,NE,50,13:04,20.8,72,,NNW,13,,21.5,82,,NE,37,
,2023-11-11,16.6,22.2,0,,,NE,50,15:32,20.8,82,,NE,15,,21.6,79,,N,19,
,2023-11-12,16.3,21.7,0,,,SSW,56,22:09,20.1,75,,SE,9,,20.9,75,,ESE,7,
,2023-11-13,16.6,21.1,0,,,S,39,23:03,18.1,69,,S,26,,20.1,61,,SE,15,
,2023-11-14,16.8,22.8,0,,,N,31,05:50,20.8,71,,NNE,15,,21.0,77,,ENE,9,
,2023-11-15,18.4,21.8,0,,,S,43,11:56,19.9,81,,S,20,,19.8,83,,S,31,
,2023-11-16,18.3,23.0,0,,,,,,21.6,80,,SE,11,,21.3,77,,SSE,35,
,2023-11-17,14.8,20.5,8.8,,,SSW,54,08:17,17.3,64,,SSW,39,,19.4,65,,S,41,
,2023-11-18,14.9,22.3,0,,,NE,54,15:46,20.5,60,,N,17,,20.9,63,,NE,39,
,2023-11-19,16.6,22.4,0,,,NE,54,15:37,21.0,67,,NNE,22,,21.9,71,,NE,35,
,2023-11-20,17.3,23.2,0,,,NE,20,14:46,21.1,79,,SE,6,,22.9,80,,NE,11,
,2023-11-21,17.9,22.1,0,,,S,39,18:15,18.5,89,,E,28,,20.7,57,,SSE,15,
,2023-11-22,17.0,23.0,1.8,,,S,48,11:25,21.8,67,,SSW,30,,22.5,72,,S,37,
,2023-11-23,18.2,22.6,0.4,,,S,50,19:50,20.3,55,,SSW,19,,21.5,42,,S,37,
,2023-11-24,18.6,22.4,8.0,,,S,39,23:56,21.0,45,,S,7,,21.6,62,,NNE,9,
,2023-11-25,18.8,25.2,5.4,,,NE,41,17:18,19.6,67,,N,28,,20.2,68,,NE,28,
,2023-11-26,19.0,25.5,2.6,,,NE,39,17:17,24.6,61,,E,11,,23.1,77,,NNE,13,
,2023-11-27,20.0,23.7,0,,,SSW,43,02:06,20.9,80,,S,24,,23.1,75,,ESE,13,
,2023-11-28,19.7,20.3,1.4,,,ENE,56,22:43,20.1,84,,ENE,26,,19.6,86,,ENE,26,
,2023-11-29,18.8,21.8,38.2,,,ENE,61,00:16,19.3,92,,NNE,20,,20.3,88,,ENE,26,
,2023-11-30,15.8,25.1,30.2,,,SSW,35,18:07,19.6,79,,ENE,9,,22.1,78,,SSW,17,
