"Daily Weather Observations for Bellambi, New South Wales for January 2024"
"Prepared at 13:00 UTC on Sunday 10 November 2024   IDCJDW2014.202401"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Bellambi AWS {station 068228}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-01-1,17.2,24.3,7.2,,,NNE,39,13:50,19.2,92,,SSW,9,,21.6,80,,NE,31,
,2024-01-2,19.2,25.1,0,,,NE,46,11:36,24.2,78,, ,Calm,,24.5,81,,NE,33,
,2024-01-3,20.7,25.4,0,,,NE,35,11:34,23.6,80,,NE,19,,23.6,83,,NE,20,
,2024-01-4,20.7,25.1,1.2,,,S,54,11:41,23.8,83,,S,13,,22.9,79,,S,35,
,2024-01-5,19.7,24.2,0,,,SSE,39,01:20,22.0,74,,S,24,,23.2,65,,SSE,17,
,2024-01-6,17.3,24.3,0,,,NE,35,20:31,21.2,67,,S,11,,23.7,63,,SSE,7,
,2024-01-7,19.9,24.9,0,,,NE,46,17:11,23.2,66,,NNE,19,,23.6,77,,NE,35,
,2024-01-8,20.6,24.2,0,,,NE,33,14:20,21.3,82,,NE,17,,22.9,85,,NNE,19,
,2024-01-9,20.8,23.0,3.6,,,SSW,43,08:04,21.7,77,,SSW,30,,22.2,79,,S,9,
,2024-01-10,20.0,25.2,0,,,NE,31,16:28,21.7,86,, ,Calm,,24.3,81,,N,17,
,2024-01-11,20.4,25.9,0,,,S,26,09:55,22.7,94,,SSW,7,,25.2,85,,SSE,15,
,2024-01-12,21.0,27.1,1.2,,,NE,24,23:28,22.4,92,,SSW,9,,26.0,78,,NE,15,
,2024-01-13,21.0,26.4,0,,,SSW,59,20:35,24.1,80,,NE,13,,25.6,79,,NNE,13,
,2024-01-14,20.5,24.3,0,,,SSE,54,22:21,22.2,77,,SW,24,,22.8,83,,S,31,
,2024-01-15,19.0,21.6,5.2,,,SE,56,02:30,19.7,76,,SSE,39,,20.7,76,,SSE,33,
,2024-01-16,17.9,24.2,19.4,,,E,39,03:11,20.7,89,,W,9,,22.9,79,,NNE,13,
,2024-01-17,20.4,26.7,0,,,NE,35,12:18,23.8,82,,NNE,11,,23.4,87,,NE,28,
,2024-01-18,21.7,25.5,19.2,,,S,33,08:09,22.7,85,,SSE,26,,25.0,80,,ESE,9,
,2024-01-19,19.2,26.3,0,,,W,52,03:46,23.2,41,,W,24,,24.4,52,,ESE,17,
,2024-01-20,21.3,24.7,0,,,NE,44,12:01,23.7,71,,NNE,19,,23.4,77,,NE,35,
,2024-01-21,20.8,34.5,0,,,SSW,76,20:46,24.1,82,,NNE,9,,28.5,60,,ENE,17,
,2024-01-22,20.4,23.2,0,,,SSW,50,23:05,20.9,67,,S,31,,22.3,66,,S,31,
,2024-01-23,18.2,25.1,0.4,,,ESE,33,23:45,20.3,82,,SSW,13,,24.0,67,,SE,13,
,2024-01-24,19.9,29.9,0,,,NNW,41,06:16,23.5,63,,N,15,,23.6,82,,NNE,20,
,2024-01-25,22.9,34.1,0.2,,,NNW,43,22:56,23.5,84,,S,11,,23.6,78,,SSW,9,
,2024-01-26,22.8,35.9,0,,,S,65,12:19,32.5,36,,NNW,20,,23.1,83,,SSE,26,
,2024-01-27,19.4,22.2,0,,,NNE,30,16:23,20.6,80,,WSW,7,,20.8,83,,NNE,7,
,2024-01-28,19.1,26.0,0.2,,,SSW,37,07:46,22.2,78,,SSW,28,,25.0,63,,SE,17,
,2024-01-29,20.4,26.5,0,,,NE,39,12:12,25.0,68,,NNE,17,,26.1,76,,NE,24,
,2024-01-30,21.9,24.2,0.2,,,S,46,09:00,22.6,85,,SSW,26,,23.1,78,,S,28,
,2024-01-31,21.3,22.9,0.2,,,S,39,15:18,22.2,83,,SSW,22,,21.5,84,,S,30,
