"Daily Weather Observations for Bellambi, New South Wales for March 2024"
"Prepared at 13:00 UTC on Friday  8 November 2024   IDCJDW2014.202403"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Bellambi AWS {station 068228}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-03-1,20.5,25.7,0.6,,,SSW,48,23:13,22.1,85,,WSW,4,,23.6,82,,N,11,
,2024-03-2,22.1,22.9,0,,,S,56,08:57,22.8,87,,S,41,,20.9,85,,SSW,30,
,2024-03-3,18.2,28.0,0.8,,,SE,44,22:39,22.1,80,,ENE,7,,25.3,78,,NE,26,
,2024-03-4,18.3,22.3,0.6,,,S,57,02:42,19.0,59,,SSW,31,,21.6,60,,S,30,
,2024-03-5,17.2,23.9,0,,,NE,37,17:18,19.8,67,,WSW,7,,23.6,60,,NE,19,
,2024-03-6,19.2,26.0,0,,,NNW,39,08:05,22.8,68,,NW,20,,25.1,74,,NNE,22,
,2024-03-7,20.1,25.3,0,,,S,54,11:53,23.6,80,,SSW,7,,23.2,79,,SSW,43,
,2024-03-8,20.9,26.9,0,,,NE,52,14:14,21.9,83,, ,Calm,,25.6,73,,NE,11,
,2024-03-9,20.5,26.8,0,,,NE,39,14:37,24.2,70,,N,11,,26.1,70,,NE,31,
,2024-03-10,20.2,27.9,0,,,NE,41,12:35,23.7,71,,N,17,,25.8,68,,NE,35,
,2024-03-11,20.7,27.0,0,,,NE,39,12:14,23.9,68,,N,20,,25.1,70,,NE,30,
,2024-03-12,19.5,27.1,0,,,,,,23.6,67,,NW,6,,24.5,77,,N,11,
,2024-03-13,20.6,26.3,,,,SSW,28,00:51,24.2,81,, ,Calm,,25.5,80,,ESE,9,
,2024-03-14,20.9,26.5,0,,,S,63,19:36,24.8,62,,N,2,,24.5,81,,S,24,
,2024-03-15,17.0,23.9,10.0,,,S,48,00:36,21.6,67,,SSE,31,,22.1,64,,SE,28,
,2024-03-16,17.5,22.5,0,,,SE,35,00:09,19.8,69,,SSW,13,,20.7,77,,S,13,
,2024-03-17,17.5,20.8,25.8,,,N,33,00:04,18.1,91,,SSE,11,,20.2,82,,ENE,24,
,2024-03-18,17.3,24.5,16.6,,,NNE,31,19:12,19.3,92,,WNW,4,,23.8,75,,ESE,9,
,2024-03-19,19.3,25.5,7.4,,,NE,37,16:53,20.8,90,,SW,6,,24.2,77,,NNE,17,
,2024-03-20,20.7,26.1,0.2,,,S,57,12:48,22.7,88,, ,Calm,,20.8,83,,S,37,
,2024-03-21,13.8,20.6,0.2,,,S,65,23:50,16.8,60,,SW,26,,18.8,68,,S,33,
,2024-03-22,14.8,22.4,0,,,N,30,20:47,18.5,72,,SW,9,,21.2,65,,E,6,
,2024-03-23,16.9,23.4,0,,,N,37,00:27,20.0,72,,SSW,13,,21.8,74,,SSE,26,
,2024-03-24,17.8,24.3,0.8,,,NNE,22,15:33,20.3,84,, ,Calm,,22.1,75,,NE,15,
,2024-03-25,15.9,29.1,0.2,,,NNW,35,10:21,20.7,60,,W,6,,25.1,66,,E,20,
,2024-03-26,16.1,24.0,0,,,SSE,22,16:33,20.4,78,,SSW,7,,22.9,72,,E,11,
,2024-03-27,18.9,23.9,0,,,SSE,28,06:19,21.8,74,,SSE,20,,23.4,66,,ESE,13,
,2024-03-28,19.1,23.9,0,,,SE,28,16:37,21.3,80,,S,17,,21.9,72,,SE,20,
,2024-03-29,18.8,24.2,0,,,NE,19,12:45,21.1,75,,ESE,9,,23.7,64,,NE,15,
,2024-03-30,18.0,25.3,0,,,N,28,01:33,22.0,69,,NNW,9,,24.8,73,,NNE,13,
,2024-03-31,16.8,24.7,0,,,NE,24,17:58,20.6,85,, ,Calm,,24.0,72,,NE,11,
