"Daily Weather Observations for Bellambi, New South Wales for July 2024"
"Prepared at 13:00 UTC on Monday  4 November 2024   IDCJDW2014.202407"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Bellambi AWS {station 068228}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-07-1,7.9,14.6,1.8,,,S,41,11:24,11.6,60,,SW,20,,13.7,65,,SSW,31,
,2024-07-2,9.8,14.9,8.8,,,S,39,14:19,11.3,80,,SW,17,,13.7,72,,S,31,
,2024-07-3,10.2,16.2,8.2,,,SSW,39,10:30,12.8,79,,SW,24,,14.5,67,,SSW,31,
,2024-07-4,11.3,16.7,12.4,,,SSE,41,08:54,16.0,59,,SSE,33,,14.6,77,,SSW,20,
,2024-07-5,11.4,16.0,13.6,,,SE,37,01:22,12.8,85,,SW,19,,15.4,63,,S,13,
,2024-07-6,12.1,16.0,0.4,,,S,35,13:39,13.5,65,,SW,15,,12.7,80,,SSW,19,
,2024-07-7,10.9,16.1,0.2,,,SSW,26,08:10,12.7,80,,SW,13,,15.5,80,,S,15,
,2024-07-8,12.6,18.0,4.2,,,N,33,21:29,13.9,93,,NW,7,,16.7,75,,NNE,17,
,2024-07-9,13.8,18.7,0.4,,,NNW,35,05:40,14.1,83,,NW,15,,17.3,77,,ENE,19,
,2024-07-10,12.9,20.2,0,,,W,35,01:43,14.5,63,,WNW,20,,18.0,51,,WSW,17,
,2024-07-11,9.4,17.1,0,,,WSW,24,01:36,14.4,58,,N,6,,16.1,54,,NNW,17,
,2024-07-12,10.5,17.4,0,,,S,35,16:06,14.5,47,,W,9,,15.7,53,,S,26,
,2024-07-13,12.0,16.8,0,,,SSW,41,11:00,13.5,58,,SW,20,,16.7,43,,WSW,17,
,2024-07-14,10.1,16.2,0,,,WNW,39,20:00,12.5,55,,W,17,,15.5,41,,W,19,
,2024-07-15,8.0,14.4,0,,,WNW,50,11:10,10.1,50,,WSW,20,,13.5,40,,WNW,9,
,2024-07-16,10.0,16.6,0,,,NW,35,03:07,11.9,52,,W,17,,15.5,49,,W,20,
,2024-07-17,11.8,18.3,0,,,W,28,01:21,14.9,51,,W,17,,16.6,58,,SSW,20,
,2024-07-18,9.4,17.9,0,,,SW,28,12:01,13.4,57,,W,13,,16.3,40,,WSW,19,
,2024-07-19,8.1,15.4,0,,,W,26,00:17,10.5,47,,W,17,,13.4,41,,NNW,9,
,2024-07-20,10.3,16.3,0,,,N,26,00:06,14.3,54,,NNW,2,,14.3,41,, ,Calm,
,2024-07-21,10.7,17.7,0,,,W,63,10:56,13.3,45,,WSW,9,,17.2,33,,SW,17,
,2024-07-22,11.5,19.8,0,,,,,,15.2,55,,W,15,,19.6,42,,,,
,2024-07-23,10.3,17.7,0,,,,,,15.2,55,,,,,16.8,60,,,,
,2024-07-24,12.1,19.2,0,,,,,,13.8,55,,,,,18.3,57,,,,
,2024-07-25,11.6,22.2,0,,,,,,14.7,63,,,,,21.3,49,,,,
,2024-07-26,13.1,19.5,1.4,,,,,,14.6,58,,,,,17.5,54,,,,
,2024-07-27,10.7,18.0,1.8,,,,,,13.3,82,,,,,16.5,76,,,,
,2024-07-28,9.7,13.9,0.6,,,,,,10.2,50,,,,,12.9,38,,,,
,2024-07-29,9.0,14.3,0,,,,,,10.1,42,,,,,14.1,49,,,,
,2024-07-30,9.4,15.5,0,,,,,,11.6,58,,,,,14.5,57,,,,
,2024-07-31,10.3,15.3,0,,,,,,12.6,65,,,,,14.7,59,,,,
