"Daily Weather Observations for Bellambi, New South Wales for December 2024"
"Prepared at 13:00 UTC on Friday  8 August 2025   IDCJDW2014.202412"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Bellambi AWS {station 068228}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-12-1,18.4,27.3,2.6,,,NE,44,12:31,24.9,71,,NW,9,,19.9,82,,SE,24,
,2024-12-2,,30.3,9.6,,,WNW,43,07:22,26.3,57,,WNW,31,,23.3,75,,N,13,
,2024-12-3,19.1,29.5,0.2,,,NNW,56,13:34,22.8,74,,NNE,13,,28.9,50,,NNW,33,
,2024-12-4,19.7,23.3,0,,,S,63,02:45,20.8,75,,S,24,,22.8,74,,S,13,
,2024-12-5,19.3,23.3,0,,,NE,35,17:44,20.8,85,,NE,7,,21.9,86,,N,13,
,2024-12-6,20.3,25.0,0,,,N,28,01:38,22.8,87,,E,11,,21.6,94,,N,7,
,2024-12-7,20.4,,2.6,,,,,,21.6,91,,NNE,15,,,,,,,
,2024-12-8,,,,,,,,,,,,,,,,,,,,
,2024-12-9,,,,,,,,,,,,,,,,,,,,
,2024-12-10,,,,,,,,,,,,,,,,,,,,
,2024-12-11,,,,,,,,,,,,,,,,,,,,
,2024-12-12,,,,,,,,,,,,,,,,,,,,
,2024-12-13,,,,,,,,,,,,,,,,,,,,
,2024-12-14,,,,,,,,,,,,,,,,,,,,
,2024-12-15,,,,,,,,,,,,,,,,,,,,
,2024-12-16,,,,,,,,,,,,,,,,,,,,
,2024-12-17,,,,,,,,,,,,,,,,,,,,
,2024-12-18,,,,,,,,,,,,,,,,,,,,
,2024-12-19,,,,,,,,,,,,,,,22.5,61,,SSE,28,
,2024-12-20,16.8,23.6,,,,SSW,28,07:08,21.2,58,,SSW,19,,23.2,57,,SE,19,
,2024-12-21,17.3,25.8,0,,,SSE,46,17:37,23.4,67,,ENE,15,,24.6,68,,SSE,20,
,2024-12-22,19.1,25.2,0,,,NE,28,15:46,21.9,66,, ,Calm,,24.9,61,,NNE,19,
,2024-12-23,20.0,27.2,0,,,SSE,74,11:42,25.2,28,,WSW,31,,20.7,63,,SSE,31,
,2024-12-24,14.9,23.0,0,,,SE,44,11:12,20.7,43,,SSW,20,,22.0,39,,SSE,13,
,2024-12-25,17.5,25.9,0,,,WNW,28,05:14,22.7,53,,WNW,17,,24.8,60,,NE,20,
,2024-12-26,18.5,26.4,0,,,NNE,56,13:46,23.9,71,,NE,26,,24.3,76,,NE,44,
,2024-12-27,20.6,36.0,0,,,NW,85,09:29,26.0,53,,WNW,46,,28.1,62,,ENE,24,
,2024-12-28,17.8,25.6,1.0,,,S,43,23:04,21.7,70,,S,15,,23.3,63,,NE,26,
,2024-12-29,18.4,26.6,0.2,,,SE,31,12:16,25.5,44,,S,11,,22.8,71,, ,Calm,
,2024-12-30,17.9,25.4,0,,,NE,41,14:58,22.7,64,,SSE,9,,25.0,61,,NE,24,
,2024-12-31,19.2,26.5,0,,,NNW,37,00:43,22.5,79,,S,24,,25.0,71,,NE,19,
