"Daily Weather Observations for Bellambi, New South Wales for August 2025"
"Prepared at 13:00 UTC on Monday  1 September 2025   IDCJDW2014.202508"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Bellambi AWS {station 068228}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-08-1,9.7,15.4,,,,S,52,12:03,12.7,74,,SSW,28,,13.8,80,,S,43,
,2025-08-2,10.8,17.0,,,,SE,78,18:13,12.7,83,,ENE,24,,14.6,86,,SSE,39,
,2025-08-3,12.5,17.3,,,,SE,69,00:03,16.9,73,,SSE,41,,15.1,93,,S,39,
,2025-08-4,12.0,16.9,,,,S,35,00:05,15.3,85,,SSW,15,,16.3,85,,SE,6,
,2025-08-5,11.2,21.3,,,,,,,15.8,71,, ,Calm,,20.8,56,,NW,15,
,2025-08-6,11.5,18.4,,,,W,37,00:05,14.4,45,,WSW,19,,18.2,36,,WSW,17,
,2025-08-7,11.1,15.3,0,,,S,44,10:48,13.8,73,,SSW,26,,14.7,66,,S,28,
,2025-08-8,11.0,16.0,0,,,S,43,17:26,14.1,68,,SSW,22,,14.6,66,,S,28,
,2025-08-9,11.4,15.1,5.8,,,SSE,48,20:49,12.6,90,,SSW,17,,12.8,89,,SE,15,
,2025-08-10,10.7,15.5,29.6,,,S,50,14:22,12.5,89,,SW,13,,12.3,90,,SW,22,
,2025-08-11,9.9,15.7,22.2,,,S,43,17:35,13.7,74,,SSW,19,,14.2,69,,S,28,
,2025-08-12,9.1,16.5,0,,,SSE,33,12:46,14.1,70,,SSW,17,,15.5,70,,S,24,
,2025-08-13,9.4,17.8,0,,,S,46,21:01,15.3,70,,W,7,,16.9,54,,SSE,7,
,2025-08-14,11.3,15.6,0.6,,,SSW,52,12:19,13.3,64,,SSW,26,,15.1,77,,SSW,31,
,2025-08-15,10.7,19.3,7.0,,,NNW,37,11:39,14.6,87,,NNW,13,,18.4,66,,NNE,17,
,2025-08-16,12.4,18.4,0,,,WNW,57,19:36,15.6,54,,W,11,,17.7,31,,W,24,
,2025-08-17,7.5,15.3,0,,,WSW,35,00:05,12.4,44,,SW,15,,15.2,50,,SSE,17,
,2025-08-18,8.1,12.5,0.6,,,SE,59,14:07,9.2,79,,SW,20,,11.3,86,,SW,9,
,2025-08-19,9.1,14.8,38.0,,,SSW,44,08:57,12.5,85,,SSW,31,,13.5,79,,SSW,24,
,2025-08-20,10.6,15.6,18.2,,,ENE,46,23:11,12.0,92,,SW,13,,13.1,87,,NNE,24,
,2025-08-21,11.9,16.8,89.0,,,ENE,63,10:47,13.5,95,,WSW,9,,15.9,85,,NE,37,
,2025-08-22,12.4,17.7,25.4,,,S,24,20:24,15.3,90,,SSW,9,,16.4,89,,ENE,9,
,2025-08-23,12.9,19.3,4.8,,,S,65,12:46,17.6,64,,SW,30,,18.1,63,,S,31,
,2025-08-24,11.0,17.9,0.2,,,S,59,01:47,14.8,55,,SW,24,,17.3,57,,SSW,24,
,2025-08-25,13.9,20.9,0,,,SSE,37,16:13,17.1,74,,SSW,22,,19.1,81,,SSE,24,
,2025-08-26,15.4,20.6,0.2,,,NE,48,15:01,18.0,76,,NE,20,,19.6,80,,NE,37,
,2025-08-27,16.8,20.6,0,,,W,100,23:53,18.6,66,,NW,7,,18.6,45,,W,24,
,2025-08-28,12.0,18.9,0,,,WNW,93,13:14,15.2,45,,SW,20,,18.3,34,,W,46,
,2025-08-29,10.2,20.1,0,,,WNW,102,21:50,16.3,46,,WNW,30,,20.1,32,,WNW,20,
,2025-08-30,9.6,18.3,0,,,WNW,87,05:12,13.2,46,,W,39,,17.6,39,,SW,28,
,2025-08-31,8.3,17.9,0,,,WSW,30,22:25,15.8,51,,NNW,6,,17.5,50,,NE,13,
