"Daily Weather Observations for Cobar, New South Wales for October 2023"
"Prepared at 13:00 UTC on Wednesday 13 November 2024   IDCJDW2029.202310"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Cobar MO {station 048027}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-10-1,15.3,37.4,0,,,W,56,11:53,25.6,13,,N,13,1014.7,35.2,6,8,W,22,1010.8
,2023-10-2,19.1,38.1,0,,,NW,67,17:20,27.0,22,,N,17,1016.3,36.9,9,8,WNW,24,1013.9
,2023-10-3,22.8,32.7,0,,,NNW,57,16:46,27.7,16,4,N,28,1015.6,31.2,12,7,NNW,24,1011.6
,2023-10-4,18.8,19.3,0.6,,,WSW,61,13:42,19.3,68,7,W,22,1005.7,16.2,56,6,W,31,1008.9
,2023-10-5,7.0,18.9,4.0,,,SSW,39,15:49,10.8,66,,SSW,19,1022.7,18.2,27,1,SW,20,1021.8
,2023-10-6,6.8,23.3,0,,,SW,35,13:47,14.6,61,,S,19,1027.1,22.3,33,8,SSW,20,1024.3
,2023-10-7,8.5,25.3,0,,,SSE,30,00:25,15.3,54,,E,19,1028.0,24.0,26,1,ESE,13,1024.5
,2023-10-8,11.1,27.1,0,,,ENE,33,07:26,17.4,43,,ENE,24,1028.5,26.0,23,,W,9,1024.2
,2023-10-9,12.8,29.6,0,,,NE,31,10:13,19.3,31,1,NE,20,1024.6,28.1,18,,S,9,1020.5
,2023-10-10,18.2,24.9,0,,,SSW,24,11:40,20.0,51,8,SSW,9,1022.0,24.7,33,8,WNW,9,1020.3
,2023-10-11,13.4,31.8,0,,,E,26,13:31,22.4,19,,ENE,13,1023.1,30.8,12,,N,13,1019.9
,2023-10-12,15.6,34.5,0,,,NW,69,11:22,26.0,21,,N,19,1017.6,33.4,12,6,WNW,31,1011.7
,2023-10-13,9.8,24.1,0,,,SSW,35,12:56,16.6,36,,S,19,1024.0,22.3,19,,SW,20,1020.9
,2023-10-14,9.5,28.1,0,,,WSW,35,16:15,17.4,47,,SSE,9,1022.6,27.3,22,,WSW,20,1017.6
,2023-10-15,12.2,29.9,0,,,W,48,15:27,20.8,36,,NE,11,1019.7,28.9,18,,SW,20,1015.7
,2023-10-16,11.3,25.0,0,,,SW,54,14:09,17.1,50,,SSW,22,1018.0,23.7,25,1,SW,28,1017.1
,2023-10-17,8.5,24.8,0,,,ESE,37,09:46,13.2,40,,SE,17,1026.4,23.4,13,,SE,13,1023.2
,2023-10-18,12.2,27.6,0,,,ENE,35,03:10,16.4,48,,E,19,1026.0,26.3,20,,N,9,1021.2
,2023-10-19,14.3,32.0,0,,,ENE,33,06:55,20.0,38,,NE,24,1021.3,31.1,14,,ENE,7,1016.6
,2023-10-20,15.3,35.1,0,,,WSW,41,13:56,27.9,22,,N,19,1017.1,33.5,10,,WSW,15,1013.1
,2023-10-21,20.5,38.2,0,,,W,59,15:28,27.9,19,,N,24,1012.2,37.7,4,,WNW,24,1007.8
,2023-10-22,13.7,24.6,0,,,SSW,39,23:04,15.9,36,,S,17,1016.9,22.7,12,,WSW,17,1014.6
,2023-10-23,8.4,27.1,0,,,WSW,39,13:01,16.8,43,,SSE,13,1017.7,26.4,11,,SSW,13,1013.2
,2023-10-24,13.0,34.5,0,,,SW,37,21:25,23.5,18,,NNE,17,1013.8,33.2,6,,W,17,1010.6
,2023-10-25,14.5,22.4,0,,,S,46,03:48,15.7,39,,S,24,1017.7,21.1,15,,SSW,22,1016.3
,2023-10-26,10.1,19.2,0,,,SSE,63,11:37,12.3,37,2,S,19,1024.9,17.1,18,7,SSW,28,1022.6
,2023-10-27,7.2,24.9,0,,,ESE,41,10:51,15.8,41,,ESE,20,1028.2,24.1,11,,ESE,15,1023.6
,2023-10-28,11.4,26.7,0,,,NE,44,07:07,19.3,34,,NE,22,1027.0,25.4,15,,ENE,6,1022.9
,2023-10-29,13.9,32.1,0,,,NW,37,16:17,22.5,19,,N,19,1020.0,29.1,9,4,NW,7,1014.8
,2023-10-30,17.8,36.6,0,,,WNW,61,13:31,24.5,17,1,N,20,1012.1,33.5,7,7,W,31,1008.8
,2023-10-31,15.3,26.0,0,,,SSW,46,04:05,18.2,33,,S,24,1017.6,24.2,16,,SSW,17,1015.8
