"Daily Weather Observations for Cobar, New South Wales for December 2023"
"Prepared at 13:00 UTC on Monday 11 November 2024   IDCJDW2029.202312"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Cobar MO {station 048027}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-12-1,14.8,27.0,0,,,W,31,11:39,21.9,55,,SSW,9,1007.7,25.6,37,8,W,17,1005.9
,2023-12-2,17.6,31.9,0,,,WSW,54,15:12,23.9,47,,W,17,1009.6,31.0,23,3,W,26,1007.6
,2023-12-3,13.9,31.9,0,,,SW,33,11:12,22.8,37,,SW,13,1013.2,30.2,16,,SSW,17,1011.5
,2023-12-4,16.9,34.5,0,,,S,28,12:12,26.5,25,,E,13,1016.1,33.0,7,,SW,11,1013.6
,2023-12-5,21.4,40.1,0,,,NNE,26,08:19,33.0,14,,N,19,1016.4,38.9,9,,SSE,11,1013.1
,2023-12-6,23.4,42.8,0,,,WSW,48,18:39,34.7,20,,NNW,17,1015.6,41.5,9,,SW,19,1012.6
,2023-12-7,27.1,43.7,0,,,E,44,09:02,34.2,19,,E,22,1014.8,39.2,13,6,NW,15,1011.1
,2023-12-8,25.7,42.3,0.8,,,NNW,54,13:13,31.7,32,1,NNW,22,1014.9,40.5,13,,NW,28,1010.7
,2023-12-9,25.9,43.7,0,,,NW,56,12:38,36.1,14,,NNW,28,1011.1,42.5,8,,WNW,28,1008.3
,2023-12-10,26.4,42.5,0,,,NE,44,15:31,34.8,24,,N,20,1010.5,41.3,14,,NNE,17,1007.9
,2023-12-11,24.9,39.2,0,,,NE,44,09:03,33.7,25,,NNE,22,1012.4,38.0,12,,N,19,1010.0
,2023-12-12,23.3,39.7,0,,,NE,50,12:13,32.0,24,7,NNE,19,1013.2,38.7,12,,ENE,17,1008.7
,2023-12-13,25.8,39.9,0,,,NW,54,15:34,32.2,33,6,N,22,1010.7,33.7,32,,N,31,1006.9
,2023-12-14,22.1,37.6,0.8,,,WSW,54,15:22,26.8,48,,SSW,15,1008.8,36.6,15,,W,20,1005.6
,2023-12-15,19.1,35.6,0,,,W,48,13:26,26.6,34,,SE,13,1010.0,34.8,12,,WNW,20,1006.8
,2023-12-16,16.0,33.4,0,,,WSW,43,13:35,25.5,18,,SSW,13,1009.2,31.4,11,,SW,20,1007.2
,2023-12-17,16.5,34.7,0,,,SSE,28,12:50,25.5,19,,E,15,1012.7,33.1,8,,NE,9,1009.1
,2023-12-18,19.3,40.6,0,,,NNW,41,12:18,29.1,19,,ENE,24,1011.4,38.8,4,,WSW,19,1007.6
,2023-12-19,26.8,39.3,0,,,WNW,54,13:12,32.3,26,2,NW,24,1008.0,34.0,21,4,NW,24,1006.8
,2023-12-20,17.4,30.4,0,,,WSW,37,14:43,18.0,61,8,SSW,15,1012.2,28.1,29,,SW,19,1009.9
,2023-12-21,17.9,33.4,0,,,E,35,22:54,22.9,56,,ESE,15,1012.7,31.6,17,,SSE,13,1009.6
,2023-12-22,19.3,31.9,0,,,N,41,15:19,24.0,48,1,E,20,1013.1,31.2,28,1,ENE,17,1009.1
,2023-12-23,18.5,33.5,1.6,,,SW,54,12:06,25.3,44,8,NE,17,1009.1,22.9,58,7,E,33,1004.4
,2023-12-24,16.5,34.9,1.0,,,SSW,35,18:30,23.8,63,,NW,4,1004.4,33.0,18,,WSW,11,1002.2
,2023-12-25,18.9,29.4,0,,,WNW,46,14:44,20.4,51,,SW,22,1002.0,27.7,18,,W,24,1002.4
,2023-12-26,13.7,27.4,0,,,WNW,44,13:24,19.8,48,,W,13,1007.0,25.9,30,6,W,24,1006.0
,2023-12-27,16.1,31.8,0,,,WSW,44,13:02,23.9,39,,WSW,9,1010.6,31.3,22,,SW,20,1008.1
,2023-12-28,18.3,35.9,0,,,W,65,10:39,27.6,28,,NW,6,1012.6,33.7,13,,SSW,22,1010.4
,2023-12-29,19.9,30.9,0,,,N,50,21:26,29.1,27,,SSE,22,1014.2,29.5,28,8,NNE,15,1010.6
,2023-12-30,17.9,31.7,2.2,,,SSW,46,13:39,19.9,74,,S,15,1011.2,30.6,18,,SSW,20,1009.5
,2023-12-31,17.0,33.6,0,,,E,30,22:44,21.5,35,,SE,15,1015.3,32.4,14,,S,11,1012.4
