"Daily Weather Observations for Cobar, New South Wales for October 2024"
"Prepared at 13:00 UTC on Sunday 10 August 2025   IDCJDW2029.202410"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Cobar MO {station 048027}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-10-1,7.8,24.4,0,,,SSE,37,09:37,18.1,38,,SSE,20,1024.3,23.3,24,,SSW,15,1020.7
,2024-10-2,9.4,27.5,0,,,ESE,33,09:38,20.3,38,,ESE,20,1025.0,24.8,23,6,ENE,17,1021.3
,2024-10-3,13.3,28.4,0,,,NE,46,07:15,20.7,45,,NNE,28,1025.0,26.2,24,7,NE,20,1020.5
,2024-10-4,17.6,31.7,0,,,W,57,16:29,21.4,36,8,NNE,24,1016.2,30.3,23,2,NNW,26,1008.9
,2024-10-5,14.4,26.3,6.8,,,WNW,39,14:56,14.9,91,,SSW,9,1011.2,24.9,23,1,W,24,1009.2
,2024-10-6,11.5,28.1,0,,,WSW,35,09:54,18.3,47,,S,9,1017.0,25.9,26,,W,11,1015.8
,2024-10-7,13.4,31.4,0,,,WSW,35,14:58,21.6,41,,NE,13,1020.1,29.2,16,,W,19,1018.1
,2024-10-8,15.1,27.2,0,,,SW,37,14:36,18.8,51,,SSE,17,1020.8,25.7,27,,SW,20,1018.0
,2024-10-9,7.2,25.6,0,,,SE,28,16:17,13.0,51,,SE,11,1021.0,24.7,17,,SSE,13,1017.2
,2024-10-10,10.8,29.0,0,,,ENE,26,05:06,22.4,45,,E,7,1021.3,27.6,21,,ESE,7,1018.2
,2024-10-11,15.4,31.0,0,,,S,35,15:06,22.9,32,,NNW,6,1021.9,30.1,16,,SW,19,1018.9
,2024-10-12,13.1,27.6,0,,,S,35,14:50,16.2,42,,SSE,15,1023.4,25.8,11,,SSE,17,1019.9
,2024-10-13,13.0,29.3,0,,,ENE,39,08:45,18.0,51,3,ENE,22,1020.8,27.8,24,1,ENE,15,1016.1
,2024-10-14,16.2,32.3,0,,,NW,31,12:02,23.0,39,2,NNW,17,1016.1,30.7,11,4,WNW,13,1013.3
,2024-10-15,16.4,30.9,0,,,E,44,17:04,24.7,47,,N,19,1018.1,28.4,33,,NNE,17,1015.8
,2024-10-16,16.3,25.1,22.6,,,ENE,35,01:47,18.7,82,,NE,17,1017.1,23.5,59,4,ESE,11,1015.1
,2024-10-17,16.0,,5.4,,,,,,22.0,71,,NE,15,1014.1,24.4,64,7,E,13,1012.6
,2024-10-18,18.5,29.2,,,,WNW,48,12:16,19.5,100,8,N,17,1008.4,26.5,59,8,NW,20,1005.0
,2024-10-19,14.4,23.2,0,,,SW,37,23:38,15.6,71,8,SSW,22,1014.6,21.0,52,,SSW,20,1014.7
,2024-10-20,12.7,29.0,0,,,SW,33,12:37,17.5,55,,SSE,13,1018.9,28.4,24,,S,17,1016.6
,2024-10-21,14.7,30.5,0,,,ENE,28,08:09,21.4,50,,NE,19,1018.3,29.7,18,,SSE,7,1014.3
,2024-10-22,16.0,32.2,0,,,NNE,30,07:10,21.6,41,,NE,17,1015.8,31.2,16,,SE,11,1011.5
,2024-10-23,19.4,29.6,0,,,SSW,37,12:59,23.4,35,8,NW,9,1012.6,27.7,26,7,SSW,19,1010.9
,2024-10-24,15.1,23.6,0,,,S,44,03:22,16.1,47,7,SSE,20,1013.9,21.4,28,7,SW,24,1013.0
,2024-10-25,8.1,23.1,0,,,SW,39,14:01,14.9,38,,S,17,1019.9,21.8,21,,SW,17,1017.2
,2024-10-26,8.7,24.9,0,,,E,26,07:35,17.4,29,,E,15,1020.0,24.1,14,1,N,7,1016.4
,2024-10-27,14.7,29.3,0,,,WNW,28,14:53,21.2,23,8,NNE,13,1018.0,28.7,10,,NW,13,1015.4
,2024-10-28,16.1,32.1,0,,,SW,43,15:36,21.2,22,,N,19,1018.4,31.4,10,,SSW,26,1017.0
,2024-10-29,12.3,29.8,0,,,S,37,12:44,19.5,33,,SSE,11,1022.9,28.3,11,,S,17,1019.7
,2024-10-30,13.0,31.0,0,,,SSW,31,10:48,22.1,26,,SE,7,1019.0,30.2,9,,SSW,17,1014.5
,2024-10-31,17.9,32.1,0,,,SSW,57,12:20,26.7,17,,N,17,1011.7,24.7,21,8,SSW,30,1012.1
