"Daily Weather Observations for Cobar, New South Wales for December 2024"
"Prepared at 13:00 UTC on Friday  8 August 2025   IDCJDW2029.202412"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Cobar MO {station 048027}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-12-1,19.5,33.7,0.2,,,WNW,48,14:13,25.8,52,1,SW,7,1007.6,31.1,23,1,WNW,24,1005.3
,2024-12-2,20.7,38.9,0,,,W,70,18:09,28.6,37,,N,17,1007.2,36.2,17,3,N,17,1003.2
,2024-12-3,21.0,28.7,20.8,,,N,37,12:58,21.7,100,8,NNE,11,1007.5,25.1,82,1,N,11,1005.4
,2024-12-4,21.6,33.9,10.8,,,SW,26,15:37,25.6,77,8,NNE,9,1012.0,32.2,41,2,S,9,1011.0
,2024-12-5,23.2,36.7,0,,,NNW,43,17:52,28.9,63,,NNE,20,1015.4,34.2,35,,SSW,24,1012.9
,2024-12-6,23.7,36.8,0,,,ENE,41,14:38,30.7,55,,N,15,1015.2,32.6,45,,WNW,19,1012.0
,2024-12-7,22.0,33.6,16.4,,,WNW,59,04:01,24.2,88,8,ENE,7,1011.4,32.5,53,,NW,11,1007.1
,2024-12-8,22.2,31.1,12.4,,,S,33,06:15,23.8,62,,S,19,1012.4,30.0,25,,SSW,19,1011.2
,2024-12-9,20.3,28.8,0,,,SSE,22,05:54,21.6,45,8,ESE,9,1013.2,27.4,28,7,ESE,9,1011.9
,2024-12-10,17.4,32.6,0,,,S,31,13:35,22.1,61,,E,9,1011.2,32.1,23,4,SSE,13,1008.7
,2024-12-11,18.0,31.5,0,,,SSW,35,13:35,25.2,34,,SSE,13,1010.0,30.5,18,,SSW,17,1007.8
,2024-12-12,15.7,33.1,0,,,WSW,28,13:13,25.8,22,,E,11,1009.3,31.7,11,,SSW,13,1006.2
,2024-12-13,18.3,36.2,0,,,SW,50,14:35,29.5,22,,N,13,1007.5,34.7,12,,SSE,11,1005.3
,2024-12-14,21.0,39.3,0,,,NW,33,13:03,30.8,30,,N,6,1008.4,38.4,13,,WSW,13,1006.0
,2024-12-15,24.6,40.9,0,,,W,33,13:20,33.0,24,,NE,17,1008.8,40.3,12,1,NNE,11,1006.6
,2024-12-16,25.8,40.7,0,,,NNE,39,09:09,36.2,24,,N,22,1009.3,39.4,15,,NW,11,1006.2
,2024-12-17,24.6,39.3,0,,,S,46,16:18,31.6,39,,N,20,1008.0,34.8,26,2,SSW,24,1005.7
,2024-12-18,20.0,31.9,0,,,ENE,50,22:50,21.9,29,,SSE,15,1012.5,29.9,15,,S,20,1011.2
,2024-12-19,16.4,32.0,0,,,E,57,23:11,21.4,40,,E,26,1014.7,30.6,24,,ENE,17,1010.9
,2024-12-20,18.5,34.8,0,,,ENE,35,07:24,24.3,38,,NE,19,1011.1,34.0,16,,ESE,13,1005.2
,2024-12-21,21.0,38.3,0,,,SSW,35,17:24,31.2,24,,N,13,1007.9,36.3,10,,ESE,9,1005.0
,2024-12-22,19.3,35.6,0,,,WSW,37,14:46,26.9,22,,E,13,1007.0,34.6,10,,WSW,13,1003.6
,2024-12-23,16.3,26.3,0,,,SSW,50,04:45,17.7,38,,SSW,22,1009.2,25.3,12,,S,20,1007.7
,2024-12-24,12.8,30.0,0,,,SSW,35,10:39,19.0,30,,SE,19,1014.4,28.4,17,,SSE,15,1011.6
,2024-12-25,16.9,35.4,0,,,E,31,13:40,22.9,33,,E,17,1014.7,33.4,11,,SSE,13,1011.4
,2024-12-26,23.0,41.5,0,,,N,57,11:47,30.9,22,,NNE,20,1010.1,39.8,13,2,NNW,19,1004.4
,2024-12-27,22.0,32.4,0,,,SSW,50,05:41,23.1,37,7,SSW,24,1006.9,31.2,13,,WSW,20,1005.3
,2024-12-28,15.2,29.5,0,,,SW,59,12:18,21.5,27,,SSE,15,1011.7,28.5,13,,W,11,1010.2
,2024-12-29,15.6,32.4,0,,,SSW,33,14:40,23.5,23,,SSE,13,1015.1,31.0,17,,SE,9,1011.6
,2024-12-30,18.4,35.9,0,,,SW,28,12:32,27.4,26,,ENE,11,1015.1,33.7,13,,SW,11,1011.8
,2024-12-31,21.8,36.6,0,,,SE,33,08:32,28.3,22,,SSE,19,1013.1,34.8,12,,SE,13,1009.9
