"Daily Weather Observations for Cobar, New South Wales for February 2025"
"Prepared at 13:00 UTC on Wednesday 20 August 2025   IDCJDW2029.202502"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Cobar MO {station 048027}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-02-1,24.5,39.8,0,,,ENE,50,11:48,28.1,52,,NE,31,1013.3,38.4,21,,NE,19,1010.5
,2025-02-2,25.0,39.1,0,,,ESE,44,15:57,28.4,45,,NE,28,1014.5,36.8,22,3,N,15,1011.0
,2025-02-3,23.6,38.0,0,,,N,41,08:20,28.8,33,,NNE,24,1012.9,36.8,15,,NNE,15,1009.9
,2025-02-4,26.5,38.2,0,,,E,48,16:19,29.8,39,4,NNE,19,1011.0,36.2,24,5,NNE,17,1007.8
,2025-02-5,20.6,36.2,9.8,,,NNE,31,09:17,25.4,62,,N,13,1011.4,34.0,30,,NNE,15,1008.4
,2025-02-6,20.0,35.6,13.6,,,NE,67,23:12,24.6,76,,N,15,1011.1,32.6,41,,N,7,1009.7
,2025-02-7,23.7,39.2,0,,,SSW,56,18:58,33.3,35,,N,13,1008.9,37.4,20,,N,9,1005.9
,2025-02-8,24.3,33.7,0.4,,,E,39,21:27,26.7,55,8,ESE,7,1006.6,29.1,49,8,ENE,17,1005.2
,2025-02-9,20.8,36.9,0.2,,,SSW,44,16:21,27.1,52,,NE,15,1006.5,35.8,24,6,SW,13,1003.8
,2025-02-10,21.9,33.9,2.8,,,ESE,59,17:27,23.3,79,5,NNE,15,1006.3,32.2,41,,SE,9,1004.4
,2025-02-11,19.5,34.1,12.6,,,E,26,22:27,20.3,100,8,E,17,1008.3,32.5,38,,NE,11,1005.7
,2025-02-12,20.3,35.7,0.2,,,ENE,31,08:17,25.7,61,,ENE,20,1008.3,34.4,27,1,ESE,13,1005.5
,2025-02-13,23.9,37.5,0,,,NE,39,01:34,26.7,58,,NE,24,1005.8,36.3,26,1,ENE,17,1002.3
,2025-02-14,24.1,32.0,4.8,,,SW,43,13:13,24.8,79,6,NE,13,1004.7,28.9,37,3,SSW,24,1003.1
,2025-02-15,16.7,27.1,0,,,SW,48,14:04,19.8,46,,SSW,24,1008.0,26.4,26,,SW,26,1006.5
,2025-02-16,13.3,23.9,0,,,SSE,43,07:14,16.1,31,,S,22,1014.2,21.5,17,,SSE,13,1013.2
,2025-02-17,11.7,28.3,0,,,E,31,09:05,16.6,39,,SSE,9,1017.7,26.3,13,,E,11,1014.3
,2025-02-18,15.5,32.1,0,,,S,31,15:34,21.5,34,,E,11,1014.5,29.9,11,,S,17,1011.3
,2025-02-19,15.5,31.6,0,,,WSW,35,14:06,20.2,27,,S,11,1013.5,29.5,14,,S,15,1011.2
,2025-02-20,15.9,32.8,0,,,S,28,13:40,19.0,40,,SSE,17,1015.5,31.9,13,,SSW,13,1013.6
,2025-02-21,19.0,36.4,0,,,NE,48,08:37,24.0,53,,ENE,31,1017.9,34.0,25,4,ENE,19,1015.1
,2025-02-22,23.5,37.0,0,,,N,44,08:05,24.8,42,,NNE,20,1018.3,35.5,17,,N,17,1015.6
,2025-02-23,23.9,36.1,0,,,N,37,18:18,27.8,34,8,N,13,1016.9,33.0,22,7,ENE,7,1015.1
,2025-02-24,22.7,39.8,0,,,NNW,37,09:36,29.8,26,,NW,15,1016.7,38.9,13,5,NW,15,1015.0
,2025-02-25,23.8,41.2,0,,,WNW,31,11:10,29.9,23,,ENE,17,1017.7,38.7,13,1,WSW,13,1015.2
,2025-02-26,26.2,40.9,0,,,SW,61,16:29,29.2,43,4,NNE,22,1017.2,38.3,14,1,W,13,1013.5
,2025-02-27,24.5,41.0,0.2,,,S,28,14:52,31.9,31,,NE,11,1014.7,39.6,10,,W,11,1011.5
,2025-02-28,24.1,39.1,0,,,S,33,14:48,30.7,19,,ESE,15,1014.1,38.2,12,1,S,15,1012.4
