"Daily Weather Observations for Cobar, New South Wales for March 2025"
"Prepared at 13:00 UTC on Tuesday 19 August 2025   IDCJDW2029.202503"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Cobar MO {station 048027}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-03-1,23.8,40.9,0,,,WSW,67,18:05,30.6,27,,E,13,1013.7,39.2,12,,SSW,17,1010.8
,2025-03-2,22.9,40.1,0,,,SSE,37,22:01,29.2,34,,SSE,15,1012.1,37.5,13,,S,11,1009.8
,2025-03-3,20.8,36.8,0,,,ESE,35,04:14,23.8,32,,S,13,1014.4,35.6,17,,S,11,1011.8
,2025-03-4,22.0,34.5,0,,,NE,35,09:36,24.5,54,,ENE,19,1016.3,33.1,23,,ESE,15,1014.3
,2025-03-5,21.0,33.6,0,,,SE,35,13:49,23.3,51,,E,17,1017.5,32.4,20,,SSE,17,1014.0
,2025-03-6,21.5,34.5,0,,,ESE,54,13:39,25.9,45,,E,20,1016.1,33.5,18,,ESE,17,1012.7
,2025-03-7,20.8,33.0,0,,,ENE,48,23:21,23.1,51,,E,26,1016.3,31.4,25,,ESE,20,1013.3
,2025-03-8,19.9,35.1,0,,,E,43,08:05,22.4,53,,E,26,1016.7,33.6,26,,ENE,19,1013.5
,2025-03-9,22.4,29.2,0,,,WSW,52,20:53,24.6,57,8,NE,24,1016.6,27.4,55,,S,17,1013.0
,2025-03-10,18.9,30.9,59.6,,,NE,31,08:12,24.3,73,1,NE,17,1016.3,29.2,48,8,SE,13,1014.6
,2025-03-11,20.4,31.3,0,,,E,31,16:08,23.5,74,,E,13,1017.0,30.5,52,6,ENE,17,1014.7
,2025-03-12,21.7,32.6,0,,,NE,37,13:06,23.9,69,,ENE,20,1018.2,31.1,44,8,E,13,1015.5
,2025-03-13,21.5,34.3,0,,,N,24,09:00,25.6,58,,NE,17,1018.0,33.6,29,1,E,7,1015.7
,2025-03-14,23.1,36.6,0,,,NNW,24,09:00,27.4,46,,N,13,1018.7,35.7,21,,NNW,6,1016.9
,2025-03-15,23.3,37.4,0,,,NNW,28,08:46,27.6,45,4,NW,11,1018.7,36.4,22,2,S,6,1015.7
,2025-03-16,24.0,36.9,0,,,SSE,48,22:56,30.0,29,,N,17,1013.6,35.8,16,2,W,19,1009.7
,2025-03-17,13.8,25.2,0,,,SSE,50,23:02,14.6,42,,SSE,22,1019.0,23.0,18,,SSE,24,1016.4
,2025-03-18,13.5,32.9,0,,,N,39,10:44,18.4,52,,E,19,1017.6,31.2,21,,N,11,1014.9
,2025-03-19,18.4,33.8,0,,,N,63,16:30,24.0,50,2,NNE,17,1017.1,33.2,34,3,NE,20,1015.0
,2025-03-20,20.4,33.2,18.8,,,NNW,39,12:12,24.8,54,,NNE,17,1017.0,32.5,31,8,NNE,19,1013.5
,2025-03-21,21.8,31.1,0.6,,,SSW,43,00:11,22.9,95,8,SSE,7,1014.7,30.2,44,1,SSW,19,1012.8
,2025-03-22,18.1,,0,,,,,,23.0,58,,E,13,1016.6,29.3,33,,WSW,11,1015.6
,2025-03-23,19.1,30.1,0,,,ESE,20,07:42,21.2,49,7,ESE,13,1016.8,29.0,31,8,SSE,7,1014.7
,2025-03-24,21.2,31.2,0,,,N,28,11:18,23.2,70,1,E,17,1015.5,30.1,38,7,NNE,13,1014.2
,2025-03-25,21.3,28.2,0,,,NNE,35,17:04,23.3,74,,ENE,19,1017.9,27.9,47,8,ENE,20,1016.1
,2025-03-26,20.4,27.4,0,,,NE,22,15:05,21.9,80,8,E,9,1018.3,26.8,55,8,NE,9,1016.4
,2025-03-27,19.2,25.4,0,,,E,37,15:09,20.8,75,8,ESE,15,1018.1,23.7,62,,NE,22,1017.1
,2025-03-28,16.7,19.2,17.6,,,E,46,08:26,16.9,97,8,E,24,1015.5,18.3,99,8,E,22,1012.4
,2025-03-29,16.9,24.0,14.2,,,S,24,22:12,19.2,100,8,ESE,9,1008.3,22.6,85,,S,9,1007.9
,2025-03-30,18.2,26.6,2.2,,,S,37,09:55,19.6,83,3,S,13,1012.1,25.3,53,8,SE,17,1009.7
,2025-03-31,17.3,26.7,0.2,,,ESE,33,14:51,19.6,70,2,ESE,19,1011.7,25.9,46,,ESE,19,1010.1
