"Daily Weather Observations for Cobar, New South Wales for June 2025"
"Prepared at 16:00 UTC on Saturday 16 August 2025   IDCJDW2029.202506"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Cobar MO {station 048027}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-06-1,7.8,22.3,0,,,NNE,24,11:44,14.2,70,,ENE,11,1025.2,21.1,41,1,E,9,1021.5
,2025-06-2,10.3,14.9,0,,,NW,33,11:10,13.2,76,8,ENE,13,1018.1,14.3,100,8,ESE,9,1013.7
,2025-06-3,11.6,19.0,26.6,,,SW,30,13:41,12.5,100,8,SW,9,1014.5,18.2,54,1,SSW,17,1013.2
,2025-06-4,5.0,13.7,0,,,S,41,11:43,7.0,70,,SSW,20,1020.7,13.1,42,,S,20,1020.6
,2025-06-5,-0.1,16.5,0,,,E,17,10:04,6.6,70,,SSE,7,1025.9,15.6,34,1,SSW,2,1023.0
,2025-06-6,6.5,18.7,0,,,N,39,11:10,12.2,54,4,NNE,17,1021.3,17.1,38,1,NW,17,1016.3
,2025-06-7,8.7,16.5,0,,,WSW,37,09:18,11.9,63,,WSW,20,1016.9,16.1,38,,WNW,17,1013.2
,2025-06-8,6.6,14.9,0,,,W,44,16:26,10.4,71,,W,17,1012.3,13.8,35,8,W,24,1009.1
,2025-06-9,3.1,11.5,0,,,WSW,35,13:37,6.6,83,,WSW,20,1012.7,11.2,62,8,SW,19,1011.8
,2025-06-10,3.7,14.1,0,,,W,31,15:00,8.4,77,8,W,7,1015.9,12.6,52,7,W,20,1013.8
,2025-06-11,4.8,13.5,1.2,,,WSW,19,02:45,7.7,100,6,SW,9,1017.8,12.7,60,8,S,7,1016.1
,2025-06-12,6.6,14.8,0,,,E,17,22:24,8.8,81,8,NNW,6,1020.4,14.6,42,8,NNW,7,1019.1
,2025-06-13,5.3,16.8,0,,,SW,20,13:23,10.6,65,,E,7,1024.4,14.9,40,8,S,13,1022.6
,2025-06-14,3.6,17.1,0,,,NNW,20,12:12,10.3,62,,ENE,11,1024.7,16.7,32,,NW,7,1020.8
,2025-06-15,6.2,17.3,0,,,SW,28,13:37,9.5,61,1,N,13,1022.2,16.4,42,1,SW,17,1021.1
,2025-06-16,3.4,17.9,0,,,NW,31,14:02,10.1,71,,NE,15,1024.4,17.7,35,,NNW,20,1022.0
,2025-06-17,4.4,16.9,0,,,SSW,30,13:44,10.4,54,,WSW,6,1025.6,16.4,39,,SSW,13,1023.2
,2025-06-18,4.3,15.4,0,,,ESE,22,13:04,9.0,63,,SE,7,1028.1,14.5,39,,S,7,1025.3
,2025-06-19,2.3,15.3,0,,,SE,20,12:03,5.4,81,2,E,7,1028.5,14.9,43,,ESE,7,1025.1
,2025-06-20,2.3,18.5,0,,,N,19,11:49,7.0,78,2,E,9,1029.4,17.5,37,,ESE,2,1026.9
,2025-06-21,3.4,19.7,0,,,NNW,26,11:54,4.7,85,,E,11,1030.2,18.8,33,,ENE,9,1028.1
,2025-06-22,6.0,20.8,0,,,N,39,11:01,12.7,61,,NE,17,1027.9,19.7,53,2,N,17,1023.5
,2025-06-23,9.7,20.9,0,,,,,,14.2,75,7,NNE,17,1021.4,20.4,54,8,N,13,1016.0
,2025-06-24,12.0,17.7,5.0,,,WNW,46,14:25,14.5,59,,W,11,1013.7,17.0,33,,WNW,28,1011.2
,2025-06-25,6.8,15.9,0,,,WSW,50,11:31,9.9,64,,W,22,1017.1,15.4,50,8,W,24,1016.9
,2025-06-26,2.4,13.1,0,,,SSW,31,00:03,8.1,66,,SSE,15,1029.7,12.8,38,,S,15,1028.2
,2025-06-27,1.5,15.5,0,,,E,20,11:00,6.2,70,,ESE,13,1030.1,14.7,33,,SE,11,1027.2
,2025-06-28,2.6,18.5,0,,,ENE,20,09:43,12.7,61,,NE,11,1028.2,17.9,34,,WNW,7,1024.9
,2025-06-29,2.6,18.7,0,,,SSW,17,14:30,7.9,74,,SE,6,1026.0,17.0,44,2, ,Calm,1023.4
,2025-06-30,5.5,16.2,0,,,SW,24,14:50,8.5,79,8,SE,9,1026.2,15.7,47,2,SSW,15,1023.6
