"Daily Weather Observations for Coffs Harbour, New South Wales for October 2023"
"Prepared at 13:00 UTC on Wednesday 13 November 2024   IDCJDW2030.202310"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day. Prior to February 2015, observations were recorded against Coffs Harbour MO (site number 059040)."
"Observations were drawn from Coffs Harbour Airport {station 059151}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-10-1,17.8,28.9,0,,,NE,57,13:18,23.5,40,,NE,19,1020.1,24.7,57,,NNE,41,1015.5
,2023-10-2,13.5,24.0,0,,,SSW,41,08:16,22.2,73,4,SSW,26,1022.5,22.6,72,7,SSE,13,1021.2
,2023-10-3,11.9,27.1,0,,,NNE,65,16:00,22.5,70,,N,26,1022.4,25.0,60,,NE,41,1018.7
,2023-10-4,18.7,25.9,0,,,NNE,76,18:58,22.3,60,,N,24,1019.4,23.2,66,,NNE,44,1014.4
,2023-10-5,16.2,22.9,9.2,,,NNE,48,23:34,18.7,59,8,W,7,1018.7,22.0,33,,E,15,1016.7
,2023-10-6,9.9,21.3,0,,,S,35,15:59,18.1,44,4,SSW,17,1024.3,20.8,48,,SSE,22,1023.0
,2023-10-7,15.2,22.1,0,,,S,54,11:57,17.7,63,8,SW,28,1028.1,21.4,51,1,S,39,1026.7
,2023-10-8,12.3,21.6,0.4,,,SW,33,23:22,15.0,79,8,WSW,15,1031.9,20.0,57,,SSE,17,1028.5
,2023-10-9,10.3,24.1,0,,,NE,41,12:38,19.8,66,,ENE,11,1027.8,22.0,58,4,NE,31,1023.7
,2023-10-10,13.7,24.8,0,,,NNE,44,13:17,21.1,58,5,NW,9,1021.8,22.2,63,5,NE,30,1019.1
,2023-10-11,11.7,24.9,0,,,NE,33,15:49,21.4,63,,SSW,13,1024.7,24.0,59,,E,22,1022.3
,2023-10-12,16.7,28.4,0,,,NNE,69,15:49,22.8,59,,N,17,1021.7,24.8,64,,NNE,41,1016.1
,2023-10-13,18.3,24.9,0,,,S,48,03:43,21.0,63,,S,20,1016.7,22.9,42,,ESE,20,1015.6
,2023-10-14,11.5,25.5,0,,,NNE,56,13:30,20.2,58,,SSE,9,1020.2,23.0,52,,NE,35,1014.4
,2023-10-15,9.5,26.8,0,,,NE,33,14:39,23.6,43,,W,11,1018.9,25.4,66,,NE,19,1014.8
,2023-10-16,11.3,34.9,0,,,S,78,19:36,26.8,33,,N,11,1012.7,26.5,57,7,NE,28,1006.8
,2023-10-17,13.9,23.6,0,,,S,65,13:42,18.6,37,2,SW,24,1022.3,21.8,56,,S,48,1022.4
,2023-10-18,14.2,22.8,0,,,S,52,12:11,16.7,72,8,SW,24,1028.1,21.3,55,6,S,31,1026.2
,2023-10-19,14.3,23.1,3.0,,,SSW,33,08:47,18.9,74,7,SW,19,1025.1,22.0,51,,SE,17,1021.5
,2023-10-20,13.9,24.8,0.1,,,ENE,33,12:42,21.0,67,8,NW,13,1021.1,23.3,57,,ENE,20,1017.8
,2023-10-21,17.3,26.1,0,,,NE,56,13:56,23.5,57,,N,24,1018.8,23.9,62,,NE,41,1015.0
,2023-10-22,19.2,29.3,0,,,NE,63,13:11,24.5,60,4,N,26,1013.7,27.8,57,,NE,39,1007.1
,2023-10-23,14.4,25.9,0,,,SW,28,07:31,24.0,55,,S,17,1014.2,24.9,63,,SE,13,1011.3
,2023-10-24,17.9,28.5,0,,,NE,57,14:18,24.6,66,,SSE,11,1015.2,25.0,74,,NE,41,1011.4
,2023-10-25,19.6,33.5,0,,,NNE,61,12:14,28.1,54,,NNW,13,1011.6,29.5,52,,NE,39,1006.0
,2023-10-26,19.5,21.6,0,,,SSW,54,23:35,20.7,79,8,SSW,26,1016.1,16.4,93,8,SW,20,1017.8
,2023-10-27,13.3,19.4,98.0,,,S,63,12:50,14.2,93,8,SW,30,1023.6,19.0,62,8,S,43,1024.1
,2023-10-28,12.4,22.2,25.2,,,S,43,10:21,16.0,79,8,SW,24,1027.9,20.1,51,1,S,30,1025.3
,2023-10-29,13.1,22.7,2.0,,,NNE,37,14:55,18.8,66,3,WNW,4,1023.2,21.9,63,1,NE,24,1019.8
,2023-10-30,15.0,27.6,0,,,NE,56,15:07,22.2,53,,NNW,17,1018.0,23.7,65,,NE,35,1013.2
,2023-10-31,15.9,31.3,0,,,SSW,57,18:44,26.6,53,,ENE,13,1010.9,24.2,70,5,NE,31,1007.0
