"Daily Weather Observations for Coffs Harbour, New South Wales for March 2024"
"Prepared at 13:00 UTC on Friday  8 November 2024   IDCJDW2030.202403"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day. Prior to February 2015, observations were recorded against Coffs Harbour MO (site number 059040)."
"Observations were drawn from Coffs Harbour Airport {station 059151}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-03-1,22.6,30.0,0,,,NE,48,13:20,27.2,70,,NW,7,1016.6,28.3,70,,NE,31,1013.9
,2024-03-2,22.5,31.8,0,,,SSW,61,16:14,27.7,70,,NNW,13,1012.0,25.6,81,8,NE,24,1009.7
,2024-03-3,21.2,27.2,18.4,,,SW,30,23:44,24.4,81,3,SW,15,1014.5,24.7,79,3,ESE,9,1012.6
,2024-03-4,20.5,25.6,0,,,SSW,48,11:20,24.9,83,,SW,17,1018.0,21.9,87,,SSW,30,1020.3
,2024-03-5,19.1,25.7,0.8,,,SW,28,23:19,21.0,80,,SW,13,1023.3,25.4,56,8,S,17,1021.8
,2024-03-6,16.9,27.4,0,,,E,24,13:14,23.6,79,5,SW,7,1022.0,27.1,64,,E,17,1019.9
,2024-03-7,17.4,28.9,0,,,ENE,31,12:31,24.2,65,,NW,9,1021.4,27.8,62,,NE,22,1020.1
,2024-03-8,18.8,28.0,0,,,SW,26,08:32,23.5,81,8,SW,13,1024.1,27.2,62,1,ESE,17,1023.3
,2024-03-9,18.9,27.9,6.0,,,E,28,22:00,20.4,91,8,WSW,17,1025.3,27.3,66,5,ESE,19,1024.1
,2024-03-10,19.4,28.4,6.4,,,E,39,20:44,22.6,83,8,SW,19,1026.8,27.8,59,3,ESE,15,1025.4
,2024-03-11,20.2,27.7,3.2,,,ESE,28,05:43,25.6,63,,ESE,15,1025.7,26.6,58,,SE,15,1023.6
,2024-03-12,17.1,28.0,0,,,,,,22.2,79,7,SW,11,1020.6,26.5,62,,ESE,17,1017.6
,2024-03-13,16.6,27.0,0,,,SE,22,11:47,22.6,81,,NNE,11,1017.2,26.0,65,2,SSE,15,1015.3
,2024-03-14,16.0,29.5,0,,,NNE,50,13:45,24.1,69,,NE,13,1013.0,27.2,64,,NNE,35,1009.6
,2024-03-15,21.0,26.6,0,,,SSW,54,12:48,23.3,73,8,SW,26,1015.3,20.7,93,8,SSW,24,1016.8
,2024-03-16,18.3,26.6,13.9,,,SE,46,23:13,21.0,82,,SW,26,1020.3,26.2,52,,SSE,17,1018.5
,2024-03-17,18.8,24.6,1.0,,,ENE,24,13:16,20.2,90,8,SW,9,1016.9,22.4,88,8,ENE,15,1014.1
,2024-03-18,20.1,24.1,2.6,,,NE,41,08:41,22.0,89,8,NNW,6,1015.9,22.2,84,8,N,11,1014.5
,2024-03-19,18.7,27.5,20.2,,,N,39,21:46,24.1,79,,NNW,7,1017.9,26.6,74,2,NE,22,1016.6
,2024-03-20,20.5,29.7,4.8,,,NE,48,13:59,25.5,71,,NNW,15,1018.0,27.1,70,,NNE,33,1015.1
,2024-03-21,16.7,23.7,23.8,,,SSW,56,01:30,16.9,90,8,SW,26,1025.2,21.2,67,8,SW,22,1024.4
,2024-03-22,16.6,24.5,8.6,,,SW,35,00:02,17.8,92,7,WSW,15,1024.9,23.6,60,8,S,13,1022.9
,2024-03-23,15.5,24.7,,,,SE,17,10:17,21.4,78,7,S,7,1023.0,24.5,61,8,SSE,11,1021.0
,2024-03-24,18.4,23.2,0.4,,,S,15,09:46,19.4,91,8,S,7,1021.1,22.8,68,7, ,Calm,1019.4
,2024-03-25,15.5,26.1,0.1,,,NE,31,17:09,21.1,85,,WSW,6,1020.6,25.1,65,8,E,13,1018.7
,2024-03-26,17.7,25.2,0,,,ENE,37,18:10,20.9,89,8, ,Calm,1020.5,24.4,78,8,NW,11,1018.6
,2024-03-27,17.0,26.9,1.4,,,NE,30,14:26,21.6,88,8,SW,13,1022.0,26.2,71,1,SSE,15,1020.7
,2024-03-28,17.6,26.7,,,,ESE,28,12:38,22.5,87,, ,Calm,1023.1,25.6,65,,ESE,15,1022.1
,2024-03-29,18.1,26.2,8.2,,,ESE,35,16:08,20.8,91,8,SSW,13,1026.6,25.3,70,,SSE,20,1024.5
,2024-03-30,18.4,26.3,0,,,ESE,22,12:46,21.0,93,8,W,6,1026.1,25.7,68,,E,13,1023.8
,2024-03-31,17.1,25.2,0,,,SSW,30,09:10,20.5,85,7,WSW,13,1022.7,23.6,67,8,SSE,22,1020.9
