"Daily Weather Observations for Coffs Harbour, New South Wales for May 2024"
"Prepared at 13:00 UTC on Wednesday  6 November 2024   IDCJDW2030.202405"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day. Prior to February 2015, observations were recorded against Coffs Harbour MO (site number 059040)."
"Observations were drawn from Coffs Harbour Airport {station 059151}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-05-1,16.7,23.1,0.2,,,SSE,56,12:34,20.3,66,3,SW,28,1025.8,17.8,89,8,SW,24,1024.9
,2024-05-2,15.2,22.3,8.4,,,SSW,41,10:30,18.5,81,1,SW,28,1028.3,20.7,58,7,SSE,22,1026.6
,2024-05-3,15.1,20.4,2.2,,,ESE,35,11:58,19.0,76,5,WSW,19,1027.7,18.6,84,,WSW,9,1024.3
,2024-05-4,14.3,21.3,11.2,,,SW,30,08:49,18.7,81,8,SW,20,1023.9,20.1,75,8,SSE,15,1020.4
,2024-05-5,13.3,21.8,0.2,,,SW,28,09:39,19.1,83,8,WSW,15,1020.7,20.2,70,7,S,15,1017.7
,2024-05-6,15.0,22.6,0,,,SSE,65,18:23,19.5,66,,SW,24,1022.5,17.6,89,8,SW,28,1021.6
,2024-05-7,15.8,19.4,48.4,,,SSE,54,03:25,16.1,94,8,WSW,20,1027.5,19.1,80,8,SE,31,1026.0
,2024-05-8,14.4,21.1,24.8,,,S,39,13:15,17.7,82,2,WSW,20,1029.2,18.4,88,8,SW,17,1026.5
,2024-05-9,15.9,20.3,16.4,,,SW,30,01:43,18.0,92,7,SW,17,1029.8,19.8,82,8,SW,9,1027.6
,2024-05-10,14.5,22.3,15.4,,,SW,31,12:11,17.5,87,8,WSW,13,1028.9,20.5,72,8,SW,13,1025.8
,2024-05-11,14.8,20.1,14.2,,,SE,30,15:50,16.4,94,8,W,6,1026.1,17.4,94,8,WSW,9,1023.1
,2024-05-12,15.2,21.8,26.2,,,NNE,30,00:50,20.0,80,,NW,11,1019.9,20.9,72,8,WNW,7,1016.3
,2024-05-13,10.6,23.1,0.2,,,S,24,12:29,18.5,78,,WSW,7,1018.8,21.9,58,3,SSE,13,1017.1
,2024-05-14,13.8,23.8,0,,,SSW,31,11:02,20.9,64,,SW,17,1024.8,22.6,62,,SSE,19,1023.5
,2024-05-15,11.8,22.2,0,,,SSW,37,09:19,19.3,74,,SW,22,1028.4,20.6,76,8,S,19,1026.4
,2024-05-16,14.0,22.5,0,,,SE,35,14:11,18.9,79,8,WSW,17,1028.9,18.6,85,7,ESE,11,1026.6
,2024-05-17,14.7,20.6,5.2,,,WSW,19,05:43,17.5,94,8,SW,2,1025.0,19.6,80,8,S,11,1021.4
,2024-05-18,9.9,20.4,2.2,,,SSW,56,14:36,17.6,76,,SW,17,1018.4,17.5,65,8,SSW,35,1016.3
,2024-05-19,13.0,20.4,0.4,,,SW,54,11:59,16.5,61,,SW,31,1018.7,19.5,54,7,SSW,28,1017.5
,2024-05-20,6.2,21.1,0,,,SW,37,11:20,16.4,51,,WSW,15,1021.3,20.4,43,,SW,20,1019.3
,2024-05-21,14.4,22.0,0,,,SW,43,10:26,18.2,68,,SW,24,1024.2,21.0,54,,S,28,1022.4
,2024-05-22,13.0,21.6,0,,,SW,39,10:12,18.4,63,,SW,24,1025.5,19.5,63,8,S,15,1022.7
,2024-05-23,8.4,21.4,0,,,S,33,12:26,17.6,63,,WSW,17,1026.3,20.5,55,,S,17,1024.7
,2024-05-24,9.5,21.8,0,,,SW,20,10:20,17.0,77,,WSW,7,1026.7,21.3,62,,S,13,1024.5
,2024-05-25,12.4,21.3,0,,,WSW,20,06:12,18.0,73,8,SW,13,1027.6,20.0,69,8,SSE,11,1024.7
,2024-05-26,12.1,21.9,0,,,SW,19,09:26,19.4,70,,WSW,11,1025.7,19.9,68,1,SSE,7,1022.8
,2024-05-27,10.0,21.8,0,,,SSE,17,11:24,18.4,84,,SSE,4,1024.9,20.4,70,7,SE,7,1023.0
,2024-05-28,10.9,22.1,0,,,SSW,30,10:56,17.9,80,,SW,9,1027.8,21.6,54,,SSE,15,1026.3
,2024-05-29,9.3,22.4,0,,,S,17,10:48,17.7,87,,WSW,7,1030.1,21.3,66,,E,13,1027.4
,2024-05-30,10.1,24.2,0,,,NNE,35,14:45,19.7,73,,NNE,6,1029.0,21.7,63,2,NNE,26,1025.4
,2024-05-31,13.7,22.4,1.2,,,NNW,44,05:22,20.5,72,7,N,11,1023.2,21.0,74,8,NE,9,1020.2
