"Daily Weather Observations for Coffs Harbour, New South Wales for July 2024"
"Prepared at 13:00 UTC on Monday  4 November 2024   IDCJDW2030.202407"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day. Prior to February 2015, observations were recorded against Coffs Harbour MO (site number 059040)."
"Observations were drawn from Coffs Harbour Airport {station 059151}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-07-1,13.3,17.7,1.6,,,SW,39,10:28,14.8,79,8,SW,17,1021.9,16.0,69,6,SW,26,1020.9
,2024-07-2,12.1,16.3,1.8,,,SSE,48,15:42,15.0,74,,SW,24,1026.0,14.0,91,8,SSW,15,1025.2
,2024-07-3,11.9,16.0,48.2,,,SSW,44,12:10,13.2,86,8,SW,24,1029.9,14.5,83,8,SW,28,1028.3
,2024-07-4,11.7,17.9,6.1,,,S,56,14:13,13.9,79,8,SW,22,1031.3,16.8,61,3,SSW,33,1029.4
,2024-07-5,11.8,18.5,6.3,,,SSW,39,16:17,14.8,82,7,SW,22,1033.6,17.5,66,8,S,26,1031.9
,2024-07-6,12.8,17.7,8.0,,,S,43,16:18,13.7,88,6,SW,26,1035.5,15.1,92,8,SSW,20,1033.3
,2024-07-7,12.0,18.9,25.0,,,SSW,35,13:46,13.8,87,8,WSW,13,1033.3,18.2,68,8,SSE,17,1029.1
,2024-07-8,11.7,17.6,8.6,,,WSW,19,05:26,13.9,95,8,W,4,1028.7,16.6,83,8, ,Calm,1024.5
,2024-07-9,13.5,19.2,0.8,,,N,28,13:04,17.5,82,8,N,13,1022.8,18.4,80,7,N,19,1019.4
,2024-07-10,10.5,19.3,0.4,,,SSE,24,12:49,14.4,94,4,WNW,9,1022.8,18.6,62,,S,13,1020.3
,2024-07-11,8.3,19.8,0,,,SSW,28,10:55,15.4,82,,WSW,9,1022.8,18.6,68,,SSE,17,1018.8
,2024-07-12,9.3,20.2,0,,,SSE,17,12:02,14.7,88,,WSW,6,1014.3,19.1,60,2,SE,13,1009.4
,2024-07-13,6.5,20.0,0,,,WSW,31,11:27,15.0,76,8,WSW,9,1010.4,19.3,48,4,SW,20,1008.5
,2024-07-14,3.2,17.7,0,,,SW,22,20:21,12.3,80,,WSW,6,1013.0,16.9,43,1,ESE,9,1009.5
,2024-07-15,2.4,18.0,0,,,WNW,22,21:31,12.8,64,,WSW,9,1010.8,17.4,43,,ENE,11,1007.2
,2024-07-16,1.3,18.4,0,,,NW,46,11:45,13.0,50,,NW,15,1007.4,17.5,32,,W,20,1004.0
,2024-07-17,5.0,19.7,0,,,W,37,11:42,14.2,54,,NNW,11,1007.9,19.2,43,2,SW,19,1005.7
,2024-07-18,5.8,18.9,0,,,WSW,30,04:13,13.9,58,4,WSW,13,1012.9,17.8,49,8,SSW,11,1011.6
,2024-07-19,2.1,18.0,0,,,NE,28,13:06,12.7,70,,SSW,7,1018.3,17.7,46,,NE,15,1014.3
,2024-07-20,2.9,24.3,0,,,W,70,13:49,16.6,45,,NNW,17,1012.1,23.0,27,,WNW,28,1006.5
,2024-07-21,2.2,20.7,0,,,W,37,10:33,13.8,52,,NNE,15,1016.9,20.1,24,,SSW,19,1017.0
,2024-07-22,3.9,18.1,0,,,SSW,30,10:16,13.9,55,,WSW,9,1027.2,17.6,46,,SE,11,1025.1
,2024-07-23,3.9,19.0,0,,,SSE,19,13:23,13.9,79,,SW,2,1029.0,18.1,53,,ESE,13,1025.9
,2024-07-24,7.4,21.9,0,,,NE,37,15:18,16.3,66,,WSW,7,1026.9,20.2,63,,NE,24,1022.5
,2024-07-25,8.6,23.3,0,,,N,43,11:56,18.7,61,,NNW,9,1023.3,22.4,45,,NNE,22,1019.9
,2024-07-26,15.6,21.9,0,,,S,35,13:26,18.8,62,8, ,Calm,1022.2,16.7,86,8,N,20,1020.6
,2024-07-27,9.0,19.9,2.0,,,WNW,20,22:51,16.3,85,7,NE,4,1021.3,17.5,84,8,N,11,1017.9
,2024-07-28,10.0,20.3,5.2,,,W,46,14:54,16.5,67,,WNW,6,1017.7,18.7,26,,WSW,31,1016.5
,2024-07-29,2.6,17.8,0,,,SW,46,14:12,13.1,43,,W,7,1022.4,17.2,33,1,SW,22,1021.7
,2024-07-30,9.1,18.0,0,,,SW,54,05:12,14.2,50,,SW,28,1029.5,16.9,48,1,SSW,31,1028.1
,2024-07-31,11.3,19.0,0,,,SW,52,10:09,14.8,55,,SW,30,1030.7,18.0,43,2,SSW,33,1028.6
