"Daily Weather Observations for Coffs Harbour, New South Wales for August 2024"
"Prepared at 13:00 UTC on Sunday  3 November 2024   IDCJDW2030.202408"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day. Prior to February 2015, observations were recorded against Coffs Harbour MO (site number 059040)."
"Observations were drawn from Coffs Harbour Airport {station 059151}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-08-1,11.6,19.3,0,,,SSW,48,13:11,15.4,57,,SW,26,1029.6,18.8,44,1,SSW,31,1026.6
,2024-08-2,10.9,18.9,0,,,SSW,48,10:51,15.5,53,,SW,26,1027.7,17.7,60,1,WSW,17,1025.8
,2024-08-3,9.5,19.2,0,,,SW,31,10:19,15.3,58,,WSW,19,1029.7,18.1,51,,SSE,15,1026.9
,2024-08-4,5.7,19.3,0,,,E,22,12:56,15.2,74,,WSW,4,1029.1,17.5,60,8,E,11,1026.2
,2024-08-5,10.5,20.3,0,,,NNE,33,14:58,18.1,66,,ENE,11,1026.9,18.8,68,7,NNE,24,1022.3
,2024-08-6,13.7,19.7,1.6,,,SSW,35,12:26,15.1,92,8,W,11,1022.1,18.4,57,,SSE,22,1020.5
,2024-08-7,7.6,19.7,0,,,SSE,24,12:10,16.8,64,,SW,13,1026.6,18.7,62,,ESE,15,1024.9
,2024-08-8,10.2,19.7,0.4,,,SW,20,09:07,17.0,77,,SW,15,1029.6,17.8,57,,ESE,11,1026.7
,2024-08-9,6.5,20.8,0,,,NE,28,13:55,15.5,79,6, ,Calm,1028.3,18.6,68,2,NE,15,1025.2
,2024-08-10,6.3,20.3,0,,,SSE,22,14:10,16.0,79,,SSE,4,1028.3,19.5,73,,SE,17,1026.4
,2024-08-11,8.7,19.3,0.3,,,S,37,12:59,17.4,76,3,SW,20,1029.7,16.2,92,8,SW,13,1027.4
,2024-08-12,14.1,17.3,41.8,,,E,37,17:06,15.2,93,8,SW,11,1030.7,17.0,90,8,ESE,15,1028.6
,2024-08-13,14.9,19.5,67.6,,,NE,44,20:01,17.2,94,7,N,4,1029.5,18.6,87,8,NE,15,1025.3
,2024-08-14,15.3,20.0,,,,NE,50,05:35,17.6,93,8, ,Calm,1022.0,18.1,91,8,NNE,9,1018.0
,2024-08-15,14.8,20.3,24.8,,,SW,26,23:04,18.1,88,4,NW,9,1017.9,19.1,85,8,S,11,1015.2
,2024-08-16,16.5,21.7,1.6,,,W,26,04:35,19.9,78,1,SW,17,1014.2,20.3,80,8,ENE,2,1010.2
,2024-08-17,10.2,27.0,1.4,,,W,43,14:02,20.0,64,1, ,Calm,1009.2,23.4,52,,S,24,1004.8
,2024-08-18,7.9,23.0,0,,,SW,39,10:03,18.7,45,,WSW,13,1013.7,21.0,52,,SSE,20,1013.3
,2024-08-19,12.0,20.7,0,,,SSW,37,09:45,18.0,64,7,SW,24,1024.6,19.1,62,8,S,17,1023.5
,2024-08-20,10.0,22.5,0,,,,,,17.7,75,6,NW,19,1027.2,21.6,67,2,NE,30,1022.1
,2024-08-21,16.1,27.2,0,,,N,43,04:21,18.6,75,7,NNE,26,1020.0,26.8,50,,N,26,1015.5
,2024-08-22,17.4,23.9,0,,,N,33,02:47,23.8,56,7,WNW,17,1019.0,21.3,73,4,S,13,1017.5
,2024-08-23,15.5,22.5,0,,,SSW,28,09:25,19.7,73,3,SW,15,1025.1,20.7,68,,SE,13,1024.0
,2024-08-24,11.2,24.9,0,,,NW,35,21:01,20.5,60,,N,15,1023.4,22.3,68,8,NE,19,1018.9
,2024-08-25,13.8,24.2,0.2,,,NNW,26,00:03,17.8,79,8,W,7,1018.5,22.5,69,6,NW,7,1016.5
,2024-08-26,14.8,26.8,0.6,,,SSW,33,13:41,23.9,56,1,ENE,13,1014.9,24.2,60,,SSW,17,1014.5
,2024-08-27,12.1,25.5,0,,,NNE,30,12:55,21.7,72,4,SW,4,1022.9,22.7,76,,E,19,1017.8
,2024-08-28,15.8,32.6,0,,,NNE,43,11:53,25.5,51,,NNW,20,1016.1,31.0,32,,NW,11,1009.2
,2024-08-29,9.8,24.5,0,,,S,26,07:18,23.2,53,,WSW,9,1015.1,23.1,67,,SSE,11,1012.1
,2024-08-30,8.9,30.5,0,,,NNW,39,22:53,21.3,50,,NNW,17,1011.1,25.7,57,,NE,19,1005.2
,2024-08-31,21.0,35.1,0,,,NW,46,07:01,30.4,26,,NW,26,1007.6,26.9,53,,E,15,1007.7
