"Daily Weather Observations for Coffs Harbour, New South Wales for September 2024"
"Prepared at 16:00 UTC on Saturday 16 November 2024   IDCJDW2030.202409"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day. Prior to February 2015, observations were recorded against Coffs Harbour MO (site number 059040)."
"Observations were drawn from Coffs Harbour Airport {station 059151}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-09-1,10.9,29.2,0,,,NNE,54,13:06,23.2,51,,NNW,9,1015.9,24.4,62,,NNE,31,1011.2
,2024-09-2,16.2,32.5,0,,,WNW,41,14:55,29.1,29,,NW,20,1012.8,29.8,24,,W,17,1010.9
,2024-09-3,9.1,19.6,0,,,SSW,50,02:40,17.1,31,,SSW,20,1029.0,18.3,42,,S,24,1027.7
,2024-09-4,7.0,20.9,0,,,NE,33,15:13,17.2,51,4,WSW,9,1031.3,19.8,59,,NE,20,1026.7
,2024-09-5,13.6,25.1,0,,,NNE,50,15:23,19.7,54,,NNW,22,1027.7,22.1,57,,NNE,35,1024.1
,2024-09-6,8.8,25.5,0,,,NE,48,15:06,20.9,49,,NW,13,1025.9,22.6,66,,NE,33,1022.1
,2024-09-7,8.3,28.1,0,,,NNE,31,15:28,24.1,45,,NNW,15,1024.0,24.8,56,,NE,19,1020.4
,2024-09-8,11.4,25.1,0,,,SSE,26,12:34,22.6,62,,SSE,9,1019.2,23.7,73,3,SSW,13,1017.0
,2024-09-9,17.1,23.3,0,,,SSW,28,08:19,21.1,75,8,SSW,17,1019.6,22.2,44,8,SE,13,1017.2
,2024-09-10,9.9,22.9,0,,,S,35,09:57,20.8,43,5,SW,19,1025.0,21.1,66,,SSE,15,1024.1
,2024-09-11,11.6,24.2,,,,NNE,48,15:07,22.8,62,1,NNW,13,1027.1,22.4,66,,NE,35,1022.7
,2024-09-12,16.7,16.7,2.6,,,SW,39,23:14,16.7,91,8,SW,15,1021.0,16.2,90,8,SW,13,1018.7
,2024-09-13,12.4,21.0,22.0,,,SSW,61,13:23,16.3,68,8,SW,30,1024.4,19.1,60,4,S,37,1022.8
,2024-09-14,11.1,21.2,0.2,,,SW,33,01:49,17.1,59,8,SW,17,1024.2,20.0,50,,SE,13,1020.6
,2024-09-15,8.8,19.4,0,,,S,59,17:05,16.7,64,2,SSW,24,1022.3,18.1,48,5,S,35,1021.5
,2024-09-16,11.4,20.4,0,,,SW,44,08:08,16.5,51,,WSW,28,1026.2,19.5,51,,ESE,13,1021.5
,2024-09-17,9.7,20.7,0,,,SW,39,08:46,17.6,57,,SW,28,1025.5,18.5,65,5,SE,20,1022.6
,2024-09-18,10.4,26.1,0,,,NNE,44,16:06,19.6,56,,NW,28,1020.8,23.5,52,,NE,28,1015.0
,2024-09-19,7.8,24.7,0,,,NE,30,13:59,21.5,49,8,NW,6,1013.7,22.8,53,,NE,20,1008.7
,2024-09-20,6.4,26.1,0,,,E,30,13:11,23.0,34,,SW,4,1011.8,23.4,39,,E,15,1008.2
,2024-09-21,6.2,23.4,0,,,S,28,09:20,20.4,38,,SSE,15,1012.7,22.2,44,,E,13,1010.2
,2024-09-22,6.5,23.6,0,,,E,26,12:36,20.1,49,,SSE,7,1018.1,23.0,39,,E,17,1016.1
,2024-09-23,7.2,25.1,0,,,NE,33,15:29,22.6,40,,W,2,1022.0,22.9,53,,NE,22,1018.3
,2024-09-24,8.6,25.5,,,,NE,46,14:27,22.0,57,,SSE,9,1021.8,21.8,72,,NE,33,1017.7
,2024-09-25,14.9,28.3,0,,,NNE,54,13:08,24.8,54,1,N,17,1018.3,24.0,61,7,NNE,39,1013.1
,2024-09-26,18.3,21.1,0.3,,,WSW,52,23:00,21.1,61,8,NW,13,1013.1,18.8,90,8,SSW,26,1013.4
,2024-09-27,13.9,16.5,52.8,,,S,78,09:19,16.2,91,8,S,48,1018.9,15.5,89,8,S,48,1019.5
,2024-09-28,12.9,22.3,141.0,,,S,72,03:11,14.1,95,8,S,35,1023.2,16.0,90,8,S,46,1019.8
,2024-09-29,13.9,23.2,24.0,,,ESE,41,00:14,21.7,80,4,ESE,17,1020.6,22.3,77,8,S,15,1017.3
,2024-09-30,14.0,23.0,1.4,,,S,65,12:16,22.1,77,5,NNW,7,1016.5,20.5,70,,S,35,1016.9
