"Daily Weather Observations for Coffs Harbour, New South Wales for February 2025"
"Prepared at 13:00 UTC on Wednesday 20 August 2025   IDCJDW2030.202502"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day. Prior to February 2015, observations were recorded against Coffs Harbour MO (site number 059040)."
"Observations were drawn from Coffs Harbour Airport {station 059151}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-02-1,21.9,28.5,24.5,,,S,31,15:57,25.3,91,8,ESE,19,1019.0,27.1,68,3,SE,20,1019.3
,2025-02-2,20.5,28.5,0.8,,,S,33,13:00,23.0,72,8,SW,19,1019.6,27.3,64,,SSE,22,1017.9
,2025-02-3,20.6,28.6,5.6,,,E,28,12:19,24.4,84,1,SW,11,1018.3,27.3,66,,E,17,1016.7
,2025-02-4,20.2,28.5,0.4,,,NNE,30,12:29,23.4,82,8, ,Calm,1016.0,27.0,68,8,NE,20,1013.7
,2025-02-5,22.2,29.4,0.4,,,NNE,43,14:28,25.5,70,7,NNW,7,1013.0,27.4,69,,NE,30,1010.8
,2025-02-6,18.8,28.8,0,,,NE,26,09:54,23.4,86,8,S,7,1014.0,28.2,67,,E,15,1013.1
,2025-02-7,18.7,28.2,0,,,ESE,24,13:11,24.7,75,,SW,9,1013.1,27.2,60,,ESE,17,1011.5
,2025-02-8,17.0,28.3,0,,,NNE,39,15:48,25.2,64,,WNW,4,1011.3,27.4,62,,NE,24,1009.1
,2025-02-9,19.1,29.1,0,,,NE,43,13:11,26.0,65,,N,17,1011.0,27.9,58,,NE,28,1009.3
,2025-02-10,22.2,30.2,0,,,NNE,46,12:46,25.7,72,8,NW,17,1011.8,27.1,69,2,NE,31,1009.5
,2025-02-11,21.0,31.3,2.2,,,WSW,63,16:15,25.7,74,6,N,15,1011.5,25.9,80,8,NE,28,1009.6
,2025-02-12,19.7,29.1,16.6,,,ENE,46,19:18,25.4,81,8,NE,13,1012.4,26.4,75,8,NNE,26,1010.8
,2025-02-13,21.1,28.3,45.0,,,NNE,33,23:11,23.8,89,8,WNW,2,1014.4,27.4,65,3,NE,17,1011.6
,2025-02-14,19.8,28.5,0.1,,,NE,41,13:53,25.8,72,,S,9,1010.1,27.0,69,1,NE,30,1006.7
,2025-02-15,23.8,30.0,0.2,,,N,37,23:03,26.4,74,5,N,9,1002.4,29.3,63,8,NNE,13,1000.3
,2025-02-16,20.1,26.2,1.2,,,SSW,54,17:24,22.7,69,1,SSW,33,1007.1,25.9,59,1,S,31,1007.5
,2025-02-17,16.3,25.9,0,,,SW,37,08:28,21.8,51,,SW,22,1017.7,24.1,56,4,SSE,24,1016.0
,2025-02-18,16.7,26.1,,,,SSE,22,11:36,21.7,68,8,SW,11,1016.3,24.4,56,7,SE,13,1012.8
,2025-02-19,18.9,27.7,0.8,,,ENE,28,12:23,22.8,81,8, ,Calm,1014.8,26.1,58,1,E,17,1013.7
,2025-02-20,20.6,28.4,0,,,NNE,35,14:05,23.1,73,8,NW,11,1017.4,26.3,61,8,NE,24,1016.6
,2025-02-21,18.0,27.7,3.2,,,E,30,14:58,23.3,79,,WSW,13,1023.3,27.1,57,,E,17,1022.2
,2025-02-22,20.0,26.9,6.4,,,E,28,04:18,21.5,91,1,WSW,6,1024.3,26.0,59,7,SE,13,1022.4
,2025-02-23,16.0,27.8,0,,,NE,30,14:45,22.9,77,4,WSW,9,1021.6,27.2,58,1,NE,19,1019.3
,2025-02-24,19.3,29.9,0,,,NNE,41,14:34,25.1,69,,NNW,22,1019.7,27.8,59,,NE,31,1018.3
,2025-02-25,18.8,28.3,0,,,SE,24,15:10,24.9,77,1,SW,15,1022.6,27.4,64,,SE,15,1021.7
,2025-02-26,19.7,28.0,0,,,SSE,28,11:13,24.7,76,8,WSW,17,1022.1,27.3,66,2,E,15,1020.1
,2025-02-27,17.5,,0,,,,,,24.9,69,,NNW,11,1019.0,27.3,62,,NE,26,1017.7
,2025-02-28,18.9,28.7,0,,,NNE,48,14:21,25.5,69,,NNW,15,1017.7,27.8,59,,NE,33,1014.5
