"Daily Weather Observations for Coffs Harbour, New South Wales for March 2025"
"Prepared at 13:00 UTC on Tuesday 19 August 2025   IDCJDW2030.202503"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day. Prior to February 2015, observations were recorded against Coffs Harbour MO (site number 059040)."
"Observations were drawn from Coffs Harbour Airport {station 059151}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-03-1,20.5,29.0,0,,,NE,35,12:20,25.8,69,,NNW,17,1016.2,28.1,62,,NE,24,1015.1
,2025-03-2,19.0,28.7,0,,,E,28,15:20,25.0,73,1, ,Calm,1015.1,27.7,62,,E,19,1012.8
,2025-03-3,20.8,28.2,,,,SSE,50,13:03,25.2,77,,SW,28,1014.0,26.5,73,8,SSE,28,1013.1
,2025-03-4,21.1,25.7,,,,SSW,57,10:55,23.2,82,8,SW,28,1015.2,24.4,85,7,SSW,37,1014.9
,2025-03-5,21.0,24.9,53.2,,,S,70,14:51,22.9,86,8,S,37,1014.1,23.7,86,8,SSE,41,1012.3
,2025-03-6,21.9,25.9,,,,SSE,63,22:32,24.2,89,8,SSE,31,1013.6,24.9,82,8,SSE,37,1012.6
,2025-03-7,21.5,24.4,,,,SSE,70,23:01,22.5,92,8,S,46,1013.4,22.6,94,8,SSE,48,1012.4
,2025-03-8,21.2,25.3,114.2,,,SSE,59,23:51,23.8,91,8,ESE,31,1016.9,23.1,94,8,E,20,1017.5
,2025-03-9,21.5,24.0,94.1,,,ENE,56,08:44,23.9,87,8,ENE,24,1021.2,22.4,91,8,ENE,22,1020.2
,2025-03-10,20.1,26.0,30.8,,,NNE,39,15:08,21.2,92,8,NNW,4,1021.2,24.5,79,8,NE,22,1018.7
,2025-03-11,19.7,26.4,21.0,,,N,28,01:06,22.5,92,7,NW,7,1020.7,24.1,84,8,NE,13,1019.1
,2025-03-12,20.3,26.0,15.0,,,SSE,20,12:25,21.1,95,8,WSW,7,1021.3,25.2,78,2,SSE,15,1019.3
,2025-03-13,18.1,27.3,0.2,,,NE,30,12:52,22.0,90,1, ,Calm,1020.6,26.9,69,,NE,19,1018.8
,2025-03-14,19.2,29.1,0,,,NE,41,14:17,24.5,10,,NNW,11,1021.4,27.0,9,,NNE,30,1019.2
,2025-03-15,18.4,29.7,0,,,NE,48,13:48,23.6,,,NNW,9,1021.9,27.2,,,NNE,35,1018.8
,2025-03-16,21.2,30.8,0,,,NE,50,14:14,24.5,,,N,15,1016.7,28.5,,,NNE,35,1011.6
,2025-03-17,17.6,26.7,0,,,S,63,10:52,25.4,,7,SSW,35,1013.7,21.4,,8,SSW,41,1017.7
,2025-03-18,17.4,23.8,1.6,,,WSW,33,01:45,19.9,,7,WSW,13,1023.5,22.8,,8,S,11,1022.5
,2025-03-19,17.5,25.8,0,,,ENE,24,11:22,21.3,,8,W,2,1024.4,24.8,,8,NE,13,1022.4
,2025-03-20,17.3,27.1,0,,,NNE,41,16:50,21.8,,2, ,Calm,1022.6,26.0,,,NE,30,1019.0
,2025-03-21,21.3,31.1,6.0,,,NNE,48,14:42,25.7,,,N,9,1017.1,27.3,,5,NE,31,1012.9
,2025-03-22,18.5,27.9,0,,,SSE,26,11:49,23.0,,7,SW,11,1016.5,26.8,,,SE,15,1014.4
,2025-03-23,19.9,27.8,0,,,SSW,26,08:35,24.2,,,SW,15,1019.2,27.0,,,SE,17,1017.0
,2025-03-24,21.8,23.0,5.8,,,W,26,10:45,22.3,,8,WSW,17,1018.6,22.3,,8,SW,7,1018.0
,2025-03-25,19.6,26.0,33.8,,,E,33,15:33,22.1,,8,WSW,15,1021.2,24.8,,8,ESE,9,1019.2
,2025-03-26,20.3,23.7,24.6,,,SE,37,23:32,21.1,,7,SW,19,1020.8,22.7,,8,WNW,11,1019.6
,2025-03-27,19.8,25.5,20.8,,,SE,33,14:00,21.0,,8,WSW,9,1021.0,23.9,,8,SE,24,1019.6
,2025-03-28,19.9,24.3,,,,NE,46,18:10,21.6,,8,ESE,24,1020.3,23.3,,8,SW,7,1016.9
,2025-03-29,19.8,25.6,89.2,,,NNE,56,08:15,24.2,,8,NNE,26,1011.2,23.2,,8,NNE,28,1007.7
,2025-03-30,18.8,28.4,25.2,,,SW,33,10:36,22.9,,,N,9,1006.6,27.2,,,ENE,17,1003.9
,2025-03-31,17.6,27.8,2.0,,,S,44,18:15,22.8,,,WNW,9,1009.0,26.9,,,S,26,1008.2
