"Daily Weather Observations for Coffs Harbour, New South Wales for August 2025"
"Prepared at 13:00 UTC on Monday  1 September 2025   IDCJDW2030.202508"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day. Prior to February 2015, observations were recorded against Coffs Harbour MO (site number 059040)."
"Observations were drawn from Coffs Harbour Airport {station 059151}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-08-1,11.5,18.8,0,,,SW,37,21:34,15.9,64,,SW,20,1020.9,18.3,61,8,SSW,15,1017.4
,2025-08-2,11.3,15.0,25.4,,,NW,52,13:26,11.8,100,8,SW,24,1011.8,14.8,60,6,NW,24,1006.8
,2025-08-3,5.4,19.6,12.0,,,S,67,15:00,13.0,84,8,SW,31,1010.1,18.8,77,8,S,46,1012.0
,2025-08-4,12.7,20.4,20.6,,,S,56,13:48,16.3,90,8,SW,31,1019.5,18.9,80,8,SW,22,1017.6
,2025-08-5,9.6,21.9,0.2,,,SSW,33,12:06,17.0,79,,W,9,1018.9,19.7,63,,SE,17,1016.4
,2025-08-6,6.8,20.9,0,,,SW,33,22:57,17.1,71,6,W,13,1020.4,20.4,58,,SE,13,1018.2
,2025-08-7,11.4,20.6,0,,,SSE,48,23:43,17.0,50,,WSW,20,1024.9,14.5,96,8,SW,22,1024.6
,2025-08-8,14.1,18.7,3.6,,,SE,44,00:01,15.6,76,8,SW,17,1030.3,18.3,63,8,SSE,24,1028.2
,2025-08-9,12.0,18.6,9.0,,,SE,43,16:00,14.8,87,7,SW,24,1029.6,16.8,88,8,SW,17,1025.4
,2025-08-10,11.6,18.2,12.4,,,S,48,14:46,13.6,87,8,SW,20,1026.3,14.0,93,8,SSE,19,1024.1
,2025-08-11,11.2,18.9,5.0,,,SW,35,10:18,14.9,76,1,WSW,24,1026.1,16.1,77,8,SW,17,1024.2
,2025-08-12,7.4,18.4,2.2,,,S,28,11:01,14.4,77,,SW,13,1025.9,18.2,61,1,SE,13,1022.9
,2025-08-13,8.1,19.1,0,,,SE,19,10:40,15.2,84,1, ,Calm,1025.8,18.3,65,8,SE,7,1022.6
,2025-08-14,8.2,19.7,0,,,S,52,16:51,14.8,77,,WSW,15,1024.0,17.8,,6,SSE,26,1021.5
,2025-08-15,11.1,18.9,5.8,,,SW,33,09:22,16.4,,,SW,19,1021.5,18.4,,,SE,13,1017.5
,2025-08-16,6.3,21.9,0,,,SSW,28,11:08,16.8,,,NW,6,1016.1,19.5,58,5,ENE,13,1012.2
,2025-08-17,9.0,17.4,0,,,SW,33,09:36,14.1,38,,WSW,13,1018.8,16.7,41,,SE,17,1016.8
,2025-08-18,3.7,18.1,0,,,S,37,16:41,14.2,55,,SW,13,1023.8,17.1,53,3,S,26,1023.5
,2025-08-19,10.3,16.0,1.2,,,WSW,35,05:15,11.7,88,8,SW,20,1030.1,15.1,66,7,SW,15,1027.6
,2025-08-20,10.4,18.9,1.6,,,NNE,39,18:37,13.5,89,8,SW,13,1029.4,15.1,95,8,ENE,28,1025.8
,2025-08-21,13.5,19.1,33.6,,,NE,59,04:22,18.3,83,7,N,17,1025.3,16.0,99,8,NW,4,1022.9
,2025-08-22,13.7,20.0,67.4,,,WSW,28,08:33,14.7,99,8,WSW,17,1021.9,19.0,83,,ENE,17,1017.7
,2025-08-23,7.6,21.7,1.2,,,SW,20,09:42,16.2,72,,WSW,2,1018.8,19.7,57,8,ESE,11,1016.4
,2025-08-24,13.5,20.0,0,,,S,37,09:58,18.0,68,,SSW,24,1020.9,19.1,61,,SE,15,1016.9
,2025-08-25,7.9,21.6,0,,,SW,39,10:16,17.9,55,,SW,26,1018.4,20.1,68,8,S,22,1016.8
,2025-08-26,14.5,21.9,4.2,,,N,41,22:22,18.0,86,8,WNW,9,1019.9,20.9,72,1,NNE,22,1014.9
,2025-08-27,15.1,30.1,0,,,N,52,06:32,19.8,69,,N,33,1008.0,29.8,30,,NW,20,1002.3
,2025-08-28,14.1,22.7,0,,,W,35,03:50,20.0,37,,W,11,1010.5,21.7,42,,E,13,1007.6
,2025-08-29,5.2,21.5,0,,,E,22,12:47,18.5,42,,NW,6,1013.4,20.8,43,,ESE,13,1009.2
,2025-08-30,7.8,20.4,0,,,SW,61,12:59,16.6,35,,W,15,1012.0,18.6,32,,W,33,1013.3
,2025-08-31,5.4,20.1,0,,,WSW,28,00:47,16.5,44,,WSW,11,1026.1,18.9,48,,SE,13,1023.6
