"Daily Weather Observations for Moree, New South Wales for October 2023"
"Prepared at 13:00 UTC on Wednesday 13 November 2024   IDCJDW2084.202310"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Moree Aero {station 053115}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-10-1,17.6,32.7,0,,,NNE,52,08:03,21.0,41,,NNE,35,1021.7,31.6,19,,NNW,26,1016.2
,2023-10-2,17.2,33.8,0,,,NE,39,07:39,22.9,42,8,NNE,30,1022.1,33.2,18,,NNW,11,1018.4
,2023-10-3,17.4,32.7,0,,,NE,50,14:06,21.2,56,,NNE,35,1022.0,31.6,14,,NNE,30,1016.6
,2023-10-4,17.8,29.7,0,,,WSW,74,16:52,21.3,58,,NNE,41,1016.4,27.0,38,4,NNE,28,1010.2
,2023-10-5,8.2,21.7,13.0,,,SW,50,14:17,13.9,63,,WSW,15,1022.1,21.1,31,4,SSW,26,1020.2
,2023-10-6,6.0,25.3,0,,,SSW,41,14:13,13.8,50,,S,17,1025.0,24.1,22,,S,19,1020.9
,2023-10-7,10.5,27.2,0,,,E,30,08:21,18.0,45,,E,19,1026.6,25.5,22,,SE,13,1023.0
,2023-10-8,11.5,27.5,0,,,ENE,37,22:06,17.6,44,,E,24,1029.4,26.7,23,,S,17,1024.2
,2023-10-9,12.2,27.6,0,,,NE,37,23:45,18.3,52,,NNE,26,1027.2,26.8,25,4,W,17,1022.0
,2023-10-10,14.6,29.8,0,,,N,31,08:18,20.4,48,7,NNE,20,1022.4,28.3,19,,SSW,11,1018.4
,2023-10-11,14.0,31.5,0,,,ENE,33,07:27,22.4,39,,ENE,22,1022.8,30.9,17,5,SW,13,1019.6
,2023-10-12,15.2,33.7,0,,,SW,59,22:02,21.9,49,,NNE,30,1022.0,32.4,17,,NW,19,1015.9
,2023-10-13,12.7,25.9,0,,,SW,54,23:03,17.5,33,,S,30,1020.6,23.9,17,,WSW,28,1017.7
,2023-10-14,9.9,29.0,0,,,WSW,44,13:37,19.2,30,,ENE,2,1021.1,28.4,20,,SW,30,1016.6
,2023-10-15,11.3,32.1,0,,,WSW,39,13:42,22.1,33,,ENE,7,1019.1,31.0,15,,WNW,20,1014.8
,2023-10-16,14.5,32.9,0,,,WSW,63,14:01,23.3,28,,N,11,1014.8,31.6,14,,WSW,43,1012.4
,2023-10-17,9.1,28.1,0,,,SE,46,10:44,17.9,28,,SE,31,1021.8,26.3,11,,ESE,20,1019.0
,2023-10-18,12.3,28.4,0,,,ESE,35,23:01,17.9,39,,E,24,1026.2,26.9,19,,SW,9,1021.7
,2023-10-19,13.2,29.3,0,,,E,39,23:25,18.8,47,,ENE,17,1023.4,27.6,24,,SSW,13,1017.6
,2023-10-20,14.7,31.5,0,,,NNE,39,07:42,20.2,48,,NNE,26,1019.9,30.0,19,,NNE,11,1014.8
,2023-10-21,16.4,34.9,0,,,NNE,48,07:35,22.1,56,,NNE,31,1017.9,33.6,17,,NNE,22,1012.6
,2023-10-22,21.2,35.0,0,,,N,46,07:39,25.5,45,,N,31,1013.1,34.3,12,,WNW,26,1010.1
,2023-10-23,11.7,31.5,0,,,SW,52,12:51,22.4,18,,SW,7,1015.2,30.3,11,,WSW,19,1012.3
,2023-10-24,12.7,36.1,0,,,WNW,54,11:59,23.3,21,,NNE,15,1014.7,34.5,8,,W,19,1011.0
,2023-10-25,16.5,38.5,0,,,WSW,54,13:38,26.8,48,,NNE,30,1012.8,36.0,11,2,WSW,39,1009.2
,2023-10-26,14.1,25.3,0,,,WSW,56,17:45,17.8,24,,SW,31,1017.9,24.2,11,,WSW,33,1015.4
,2023-10-27,8.3,25.7,0,,,SE,67,07:50,17.6,45,3,SE,52,1022.7,24.6,28,6,SE,30,1021.3
,2023-10-28,9.3,27.0,0,,,ESE,35,07:26,18.0,40,,E,19,1026.3,25.3,17,,SSW,9,1021.6
,2023-10-29,11.2,28.2,0,,,NNW,35,11:51,18.3,51,,NNE,22,1022.4,26.7,19,,ENE,13,1017.0
,2023-10-30,14.4,33.4,0,,,NNE,44,07:48,20.9,48,,NNE,30,1018.1,31.5,16,,ENE,20,1011.9
,2023-10-31,20.5,35.8,0,,,WSW,57,13:18,26.8,27,,NNW,24,1012.4,34.7,11,,WSW,39,1010.4
