"Daily Weather Observations for Moree, New South Wales for December 2023"
"Prepared at 13:00 UTC on Monday 11 November 2024   IDCJDW2084.202312"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Moree Aero {station 053115}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-12-1,16.9,32.1,0,,,NW,57,15:26,26.1,42,,ENE,9,1008.0,30.3,27,,NW,28,1005.3
,2023-12-2,17.2,29.0,0.6,,,W,31,15:03,20.4,75,8,WSW,13,1010.6,26.2,46,7,W,11,1009.4
,2023-12-3,16.4,34.6,0.2,,,WSW,43,13:59,25.3,50,2,NW,9,1013.5,33.9,16,2,WSW,33,1010.4
,2023-12-4,15.5,34.5,0,,,WSW,46,15:23,25.9,42,,NE,13,1014.9,33.5,16,,WSW,17,1012.1
,2023-12-5,19.1,35.8,0,,,NE,37,09:34,25.8,56,,NNE,26,1018.1,33.8,27,,E,6,1014.0
,2023-12-6,20.1,39.4,0,,,ENE,31,03:25,27.6,59,,NNE,20,1017.6,38.0,21,,NE,9,1013.6
,2023-12-7,25.2,40.7,0,,,SE,39,17:28,31.1,37,,NNE,26,1016.3,39.7,19,,NNW,11,1013.0
,2023-12-8,22.1,39.4,2.2,,,SE,46,23:26,29.2,47,,E,19,1018.0,38.0,18,,W,11,1013.0
,2023-12-9,23.7,39.0,0,,,NNE,37,23:22,27.5,54,,N,26,1016.2,37.9,24,,WNW,11,1011.4
,2023-12-10,23.2,36.9,0,,,NE,50,13:25,26.3,47,,NNE,26,1015.5,36.0,14,1,NE,28,1011.2
,2023-12-11,19.5,35.8,0,,,ENE,48,07:32,25.2,44,,NE,33,1016.2,34.1,21,7,NNE,20,1012.3
,2023-12-12,20.8,35.9,0,,,NNE,46,07:10,24.5,52,,NNE,33,1017.0,33.0,21,8,NNE,17,1012.2
,2023-12-13,23.0,32.1,0,,,NNE,48,06:39,25.0,54,4,NNE,30,1016.6,30.2,34,8,N,17,1012.0
,2023-12-14,23.2,38.7,0,,,NW,104,18:26,28.8,44,8,N,24,1011.5,35.9,24,4,W,19,1006.7
,2023-12-15,22.6,37.2,7.8,,,SW,41,16:02,26.7,60,5,NNE,19,1009.6,36.3,28,,NW,15,1005.6
,2023-12-16,22.5,38.8,0.2,,,W,56,13:36,28.2,61,1,N,17,1007.8,37.5,12,,WSW,31,1004.7
,2023-12-17,18.2,40.5,0,,,W,35,12:47,29.3,31,,NE,15,1010.4,39.1,9,,WSW,20,1007.5
,2023-12-18,23.7,40.7,0,,,NE,78,18:54,30.3,47,,NNE,24,1012.3,39.6,16,1,NW,17,1008.6
,2023-12-19,24.7,38.0,0,,,E,57,18:39,28.7,55,,N,31,1013.9,36.7,23,,N,17,1008.8
,2023-12-20,19.9,30.9,26.4,,,W,54,23:41,22.3,89,8,NE,19,1010.7,28.6,53,4,SW,9,1009.0
,2023-12-21,19.0,32.3,7.0,,,NE,44,17:45,23.5,72,,E,9,1011.4,31.2,43,1,SSW,19,1008.0
,2023-12-22,19.2,31.6,0.2,,,SSE,30,15:31,23.8,60,,ESE,15,1013.3,29.5,35,2,S,13,1009.6
,2023-12-23,18.8,31.5,0,,,W,61,16:27,23.8,63,4,NNE,26,1011.7,29.5,39,6,N,17,1005.6
,2023-12-24,17.9,34.5,7.6,,,E,54,17:52,23.4,78,8,NNE,28,1005.0,29.5,47,8,ENE,19,1001.9
,2023-12-25,21.3,35.0,0.8,,,N,54,18:14,25.2,63,,NNE,28,1005.1,34.5,34,2,N,30,1002.1
,2023-12-26,19.4,33.1,0,,,N,44,14:59,24.0,69,,WNW,13,1007.3,32.1,15,,NNW,22,1006.5
,2023-12-27,15.1,33.8,0.2,,,W,48,15:51,25.7,32,,S,7,1011.3,32.9,18,,NW,19,1008.4
,2023-12-28,16.4,36.0,0,,,WNW,56,14:36,27.2,37,,NNE,6,1012.2,34.7,16,,W,28,1009.9
,2023-12-29,18.4,38.4,0,,,SSW,91,17:13,29.4,34,,E,9,1012.2,36.7,14,,SW,19,1009.3
,2023-12-30,18.7,35.4,5.8,,,SSW,61,01:13,22.5,73,5,ENE,20,1009.5,34.4,28,3,SW,13,1005.9
,2023-12-31,19.7,37.2,0,,,S,57,15:45,27.0,50,,NE,24,1013.2,35.5,22,1,E,11,1010.1
