"Daily Weather Observations for Moree, New South Wales for March 2024"
"Prepared at 13:00 UTC on Friday  8 November 2024   IDCJDW2084.202403"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Moree Aero {station 053115}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-03-1,25.5,40.5,0,,,SE,44,16:06,30.7,49,7,NNE,17,1014.8,39.8,22,,W,19,1011.4
,2024-03-2,25.4,38.4,0,,,S,59,16:56,27.9,53,,NNE,30,1014.1,35.2,32,1,WSW,17,1010.6
,2024-03-3,21.6,34.6,0.4,,,WNW,39,18:07,25.3,67,8,ENE,11,1014.2,33.6,32,1,SW,20,1012.2
,2024-03-4,16.9,37.0,0.2,,,NNE,43,22:26,25.3,67,,E,13,1016.1,36.5,14,,WSW,17,1013.9
,2024-03-5,20.6,35.4,0,,,NE,39,22:56,24.9,53,,ENE,26,1019.6,33.6,28,,N,15,1016.7
,2024-03-6,19.8,34.0,0,,,NE,43,23:17,23.6,63,,N,20,1021.1,31.2,33,1,E,11,1017.8
,2024-03-7,21.5,35.1,0,,,NE,50,19:13,23.5,58,,NNE,17,1021.1,33.8,29,1,SSE,19,1017.0
,2024-03-8,19.8,33.8,0,,,E,43,08:52,25.1,47,,E,26,1021.8,32.6,24,,ENE,22,1018.5
,2024-03-9,17.2,34.8,0,,,ENE,50,21:51,24.3,46,,ESE,19,1023.2,31.5,27,4,ESE,20,1018.7
,2024-03-10,18.2,34.4,0,,,ESE,50,12:35,24.4,44,,ESE,28,1024.0,34.0,20,,ESE,26,1020.2
,2024-03-11,19.1,34.4,0,,,NE,48,10:24,25.6,46,,SE,19,1023.4,33.4,24,,ESE,17,1018.3
,2024-03-12,16.6,,0,,,,,,22.7,50,,E,24,1019.8,34.2,18,,SSE,20,1014.3
,2024-03-13,17.8,35.0,,,,NNE,37,21:13,23.6,53,,E,19,1015.6,33.6,13,,SE,19,1011.2
,2024-03-14,17.7,35.2,0,,,SSE,31,14:37,23.7,52,,ENE,17,1012.9,33.4,22,,SSW,17,1009.1
,2024-03-15,20.8,37.2,0,,,ESE,50,21:44,26.2,56,,E,24,1012.5,34.8,26,1,N,13,1009.7
,2024-03-16,19.1,29.3,0.2,,,SSW,41,16:43,22.8,50,8,ESE,17,1018.0,27.9,35,8,NNW,9,1014.4
,2024-03-17,17.3,31.8,1.0,,,NW,35,12:46,21.1,64,7,ENE,15,1014.6,29.6,34,5,NW,11,1011.2
,2024-03-18,21.1,31.8,0.2,,,ENE,44,14:23,22.7,79,8,ENE,15,1013.5,27.9,53,8,SE,31,1010.3
,2024-03-19,18.7,33.3,4.4,,,NE,37,08:30,23.3,73,,NE,20,1015.8,32.4,36,2,N,11,1013.2
,2024-03-20,21.8,32.0,0.2,,,NNE,41,08:41,24.1,68,4,NNE,20,1017.7,31.4,38,8,W,20,1014.9
,2024-03-21,21.3,29.8,0.4,,,SE,39,13:51,23.3,66,8,ESE,20,1020.3,28.9,38,7,ESE,24,1018.5
,2024-03-22,16.0,30.7,0.2,,,E,35,08:56,20.7,51,,ESE,17,1022.3,29.6,23,2,SE,17,1018.9
,2024-03-23,18.5,27.3,0,,,ENE,31,01:00,21.4,55,8,NE,20,1021.1,26.4,39,8,NNW,13,1019.0
,2024-03-24,17.0,21.1,5.8,,,NNE,19,13:27,17.5,90,7,ESE,4,1020.9,19.8,81,8,NE,11,1018.8
,2024-03-25,16.8,29.6,2.6,,,NE,26,15:55,20.1,75,,ESE,9,1019.4,28.4,36,1,E,9,1016.5
,2024-03-26,19.8,29.8,0.2,,,NNE,30,18:40,21.9,75,8,ESE,11,1018.7,28.8,40,8,E,13,1015.8
,2024-03-27,17.3,29.0,0,,,NNE,31,14:25,23.1,57,,SE,15,1019.0,28.1,47,8,NE,19,1017.4
,2024-03-28,20.4,32.8,0,,,ENE,31,15:20,23.4,58,8,E,15,1021.3,31.3,22,,ENE,19,1018.4
,2024-03-29,17.8,33.2,0,,,NNE,31,10:49,24.0,54,,ENE,15,1024.9,31.5,27,4,NE,7,1021.1
,2024-03-30,18.1,32.4,0,,,NNE,31,23:57,22.7,65,,NNE,15,1025.2,31.4,31,8,SW,11,1020.9
,2024-03-31,20.6,32.5,0,,,NE,33,10:02,22.0,68,7,NE,17,1021.2,29.9,31,8,ESE,11,1017.0
