"Daily Weather Observations for Moree, New South Wales for December 2024"
"Prepared at 13:00 UTC on Friday  8 August 2025   IDCJDW2084.202412"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Moree Aero {station 053115}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-12-1,20.1,32.3,29.4,,,WSW,41,16:15,24.6,86,6,N,17,1010.1,31.6,45,1,SW,9,1006.5
,2024-12-2,19.7,34.8,0,,,NNW,48,14:26,27.1,76,,NNE,24,1010.6,34.6,36,6,NNE,13,1007.2
,2024-12-3,23.5,28.4,0,,,NNE,48,07:46,25.3,81,2,NNE,31,1010.8,27.1,75,5,NNW,11,1009.6
,2024-12-4,22.0,32.8,0,,,NNE,35,09:34,28.0,71,8,N,20,1013.5,30.7,56,5,NNW,19,1011.5
,2024-12-5,21.7,34.7,0,,,NE,35,08:19,28.1,66,,NNE,28,1018.0,32.6,44,6,NNE,15,1014.5
,2024-12-6,23.1,34.6,0,,,NNE,35,07:00,26.9,71,,NNE,20,1018.8,33.8,48,1,S,9,1014.4
,2024-12-7,23.2,36.3,0,,,N,43,07:53,27.4,70,,N,28,1014.4,35.1,39,,NNW,17,1010.1
,2024-12-8,23.3,36.8,0,,,SSW,52,02:22,27.1,80,8,NE,17,1010.6,35.4,43,1,WSW,26,1007.9
,2024-12-9,17.1,37.8,0.2,,,SW,44,16:13,29.3,63,,NNE,22,1010.7,36.9,20,3,W,13,1007.5
,2024-12-10,19.8,34.1,3.2,,,S,35,14:20,22.1,90,8,S,13,1011.3,32.7,33,1,SW,19,1007.0
,2024-12-11,20.1,34.1,0,,,SSW,52,12:13,26.8,72,,E,17,1007.5,33.5,24,,SSW,31,1005.2
,2024-12-12,19.6,34.9,0,,,NNE,33,07:55,25.6,66,,NNE,22,1009.3,33.3,32,2,WSW,13,1005.5
,2024-12-13,21.4,36.8,0,,,SW,50,17:03,26.0,63,,NNE,24,1009.2,35.8,27,,WSW,15,1005.0
,2024-12-14,19.7,37.8,0,,,N,33,21:28,28.3,59,,NNE,15,1009.3,36.6,26,,E,11,1006.2
,2024-12-15,20.9,38.1,0,,,S,39,14:03,27.6,62,,NE,13,1010.7,37.0,30,1,ESE,17,1006.9
,2024-12-16,21.5,38.5,0,,,E,43,07:06,28.5,48,,E,26,1011.6,37.3,27,1,ENE,19,1007.0
,2024-12-17,21.6,35.6,0,,,ESE,44,17:15,28.3,53,,E,22,1010.0,32.8,45,8,NE,20,1005.9
,2024-12-18,21.8,37.2,0,,,ESE,56,21:36,28.5,68,5,WSW,6,1009.3,35.8,39,1,WSW,15,1005.4
,2024-12-19,18.0,33.6,0,,,ESE,43,00:28,23.0,43,,E,20,1013.5,32.2,27,,SSW,13,1009.8
,2024-12-20,17.6,33.8,0,,,NNE,37,00:21,22.4,58,1,NNE,13,1012.3,31.5,30,,WSW,15,1007.3
,2024-12-21,19.5,37.4,0,,,ENE,35,02:33,26.3,61,,NNE,26,1009.7,35.1,26,,W,15,1005.5
,2024-12-22,22.8,39.4,0,,,NW,54,21:32,28.4,53,,N,22,1007.7,38.2,19,1,SW,17,1002.6
,2024-12-23,24.5,34.6,1.6,,,NNW,56,03:38,28.5,50,,N,22,1003.8,33.8,18,,SW,35,1002.7
,2024-12-24,12.1,33.0,0,,,S,50,12:17,23.2,24,,S,28,1010.2,31.5,15,,SSW,28,1007.7
,2024-12-25,17.0,35.5,0,,,ENE,30,10:00,25.1,48,,NE,17,1015.3,33.5,18,,NW,9,1012.1
,2024-12-26,20.2,36.6,0,,,NNE,50,16:23,25.5,55,,NNE,26,1016.0,35.4,22,,N,24,1010.5
,2024-12-27,23.4,39.3,0,,,WNW,56,15:59,27.8,51,,N,35,1008.7,37.2,31,,NW,26,1004.1
,2024-12-28,21.6,36.2,1.6,,,WSW,56,13:46,26.8,65,,WNW,7,1008.4,35.2,17,,SSW,30,1006.9
,2024-12-29,16.1,35.6,0.2,,,SSW,48,13:29,27.6,24,,E,11,1012.6,34.3,13,,SSW,28,1010.5
,2024-12-30,18.0,35.9,0,,,NNW,44,12:51,28.3,53,,NNE,31,1015.0,31.5,51,2,NNE,26,1011.1
,2024-12-31,19.0,35.3,4.2,,,SE,48,19:30,25.2,61,,NNE,24,1013.9,34.0,34,8,NNW,13,1009.3
