"Daily Weather Observations for Moree, New South Wales for February 2025"
"Prepared at 13:00 UTC on Wednesday 20 August 2025   IDCJDW2084.202502"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Moree Aero {station 053115}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-02-1,22.9,37.5,0,,,ENE,48,21:12,28.0,58,,ENE,20,1015.8,34.4,37,8,ENE,13,1012.3
,2025-02-2,19.5,35.2,0,,,NE,46,18:36,24.9,49,,ENE,28,1017.0,33.0,26,,SSE,9,1012.8
,2025-02-3,20.1,36.3,0,,,ENE,48,20:27,27.1,53,,E,24,1015.2,34.2,36,8,E,9,1011.0
,2025-02-4,23.6,32.1,0,,,NE,43,23:04,24.6,59,8,ENE,15,1014.2,30.7,42,8,NNW,13,1011.2
,2025-02-5,23.0,34.9,0,,,SSE,56,21:16,25.0,72,8,NE,17,1012.0,33.0,41,8,NW,13,1009.1
,2025-02-6,20.7,34.9,0,,,SSE,48,15:32,25.9,67,5,NE,13,1012.8,32.5,38,8,NNE,7,1009.3
,2025-02-7,21.2,34.9,0,,,NE,39,00:36,24.6,68,8,NNE,17,1011.8,32.2,36,8,SSE,9,1008.0
,2025-02-8,21.4,35.9,0,,,NNE,37,10:15,24.9,61,,NNE,26,1010.0,33.1,35,3,ENE,7,1005.4
,2025-02-9,22.1,36.4,0,,,ENE,44,20:50,25.7,63,1,NNE,28,1009.9,34.3,33,,NNW,13,1006.2
,2025-02-10,23.7,32.8,0,,,NE,37,05:43,25.4,63,8,N,26,1010.4,31.3,40,8,NE,9,1007.4
,2025-02-11,22.1,37.4,0.8,,,WSW,80,17:22,26.4,59,,NE,30,1009.7,36.5,32,1,NW,17,1005.4
,2025-02-12,20.6,32.1,33.0,,,N,43,11:05,24.4,78,1,NE,24,1009.7,30.2,56,1,N,24,1007.5
,2025-02-13,22.3,32.0,0,,,N,52,12:10,26.1,63,4,NE,31,1010.0,29.6,59,7,N,30,1006.6
,2025-02-14,21.5,35.2,0,,,WNW,59,21:34,25.4,60,3,NE,35,1007.6,33.3,43,8,NE,20,1003.2
,2025-02-15,21.0,29.9,20.8,,,WSW,39,14:55,22.1,100,8, ,Calm,1004.3,27.6,59,,SW,28,1002.8
,2025-02-16,13.2,27.5,1.6,,,SW,52,13:47,20.1,49,,SSW,28,1008.8,26.2,26,,SW,37,1008.8
,2025-02-17,10.5,31.3,0,,,ENE,35,07:55,20.9,60,,E,28,1015.0,30.1,22,,NW,15,1012.3
,2025-02-18,17.5,32.5,0,,,ENE,39,01:03,22.0,75,6,NNE,26,1014.3,31.6,26,,W,15,1010.0
,2025-02-19,17.5,33.9,0,,,NE,41,07:33,24.2,73,1,NE,30,1012.0,32.3,29,3,N,9,1009.4
,2025-02-20,21.2,33.8,0,,,ENE,44,20:16,23.5,69,8,NNE,30,1014.9,32.6,39,,NW,11,1012.5
,2025-02-21,20.0,33.7,0,,,NE,37,14:13,24.5,59,1,ENE,17,1020.8,32.1,34,,NE,22,1017.3
,2025-02-22,18.6,34.1,0,,,NE,41,22:44,24.3,56,,ENE,19,1021.9,32.4,33,1,S,24,1017.3
,2025-02-23,18.2,33.7,0,,,ENE,35,22:26,23.5,59,,NE,19,1019.9,31.7,33,1,S,17,1016.2
,2025-02-24,19.4,36.1,0,,,NE,31,08:19,24.4,62,,NNE,22,1019.2,34.6,29,,ESE,9,1015.7
,2025-02-25,21.8,37.2,0,,,S,74,16:52,25.1,63,,N,20,1020.4,35.4,33,,SW,11,1016.5
,2025-02-26,20.9,36.5,2.8,,,ENE,35,21:17,24.5,64,,N,9,1020.7,33.7,36,,SSW,13,1015.9
,2025-02-27,20.5,36.6,0,,,NNE,46,21:58,24.4,61,,NNE,20,1017.4,34.7,30,,SW,13,1013.7
,2025-02-28,20.8,36.5,0,,,SSW,35,15:16,24.5,66,,NNE,15,1017.0,34.9,32,,SW,20,1012.7
