"Daily Weather Observations for Moree, New South Wales for April 2025"
"Prepared at 13:00 UTC on Monday 18 August 2025   IDCJDW2084.202504"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Moree Aero {station 053115}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-04-1,18.9,25.9,0,,,N,33,10:01,21.7,70,7,E,20,1010.4,25.4,64,8,ENE,11,1008.5
,2025-04-2,17.4,20.1,51.2,,,E,39,10:27,17.6,100,8,E,24,1007.3,19.8,96,8,ESE,13,1004.8
,2025-04-3,17.5,26.0,8.6,,,SSW,46,13:01,18.1,99,7,SW,15,1010.6,25.5,53,,SSW,30,1009.9
,2025-04-4,12.6,28.1,0.2,,,S,31,14:05,18.1,77,,E,11,1015.6,27.8,33,,SSW,11,1014.1
,2025-04-5,13.2,25.4,0,,,SW,39,13:30,18.4,78,,S,7,1017.6,24.1,40,,SW,24,1016.2
,2025-04-6,10.0,27.3,0,,,WSW,28,13:39,20.0,61,,E,15,1020.7,26.6,30,,W,19,1017.1
,2025-04-7,10.7,27.4,0,,,SW,33,13:00,20.7,52,,W,6,1020.8,26.8,28,,SSW,20,1017.9
,2025-04-8,10.4,27.6,0,,,S,30,13:00,21.5,49,,ESE,17,1022.3,27.2,29,,SW,13,1018.8
,2025-04-9,14.3,28.1,0,,,NE,31,10:22,22.0,67,,ENE,17,1023.1,27.0,46,,NE,11,1018.4
,2025-04-10,14.9,28.9,0,,,ENE,26,08:19,20.7,66,1,E,13,1022.7,28.2,38,,NW,13,1018.1
,2025-04-11,15.4,29.2,0,,,SW,43,13:44,22.3,64,,ENE,11,1023.5,28.7,42,3,SSW,17,1020.4
,2025-04-12,14.3,30.2,0,,,E,37,10:40,23.7,58,,E,20,1026.6,28.1,47,8,ESE,28,1023.1
,2025-04-13,15.2,28.9,0,,,ENE,35,10:28,22.9,60,,ESE,19,1027.1,27.8,43,5,ESE,6,1022.1
,2025-04-14,13.3,28.5,0,,,ESE,37,15:45,21.8,59,,ESE,15,1025.1,28.3,34,,SSE,17,1020.2
,2025-04-15,11.0,28.3,0,,,SSE,39,14:06,21.8,58,,SE,24,1023.0,27.8,42,4,SSE,20,1018.3
,2025-04-16,10.6,26.0,0,,,SSW,31,15:28,19.5,55,,ESE,11,1019.3,25.3,39,,SSW,17,1014.5
,2025-04-17,10.5,27.0,0,,,SSW,39,13:13,21.8,55,,SE,24,1015.1,26.3,40,1,SSW,24,1011.1
,2025-04-18,11.6,27.8,0,,,ENE,28,10:01,20.9,58,,E,19,1014.3,27.5,29,,S,15,1010.8
,2025-04-19,12.6,29.0,0,,,ENE,31,05:16,20.0,66,5,NNE,22,1014.5,27.6,32,,NW,13,1011.1
,2025-04-20,14.8,30.3,0,,,N,33,09:32,22.3,57,7,NNE,22,1014.9,29.9,37,,NNW,17,1011.7
,2025-04-21,17.6,25.2,3.6,,,W,43,04:09,21.0,90,1,N,6,1015.1,24.5,56,,W,26,1011.7
,2025-04-22,9.7,23.8,1.6,,,SSW,39,11:59,16.3,70,,SSW,24,1016.4,23.4,38,1,SSW,24,1012.9
,2025-04-23,11.8,26.9,0,,,ESE,37,18:17,19.9,64,,ESE,20,1017.2,26.0,45,3,SE,19,1014.0
,2025-04-24,14.4,27.0,0,,,E,39,10:41,20.4,58,7,ESE,24,1019.7,26.6,30,,E,22,1015.6
,2025-04-25,12.4,28.2,0,,,E,31,10:15,20.5,61,,ESE,19,1016.9,26.7,39,2,SSE,9,1012.6
,2025-04-26,14.8,25.8,0,,,WNW,48,23:40,22.4,63,7,ENE,19,1014.7,24.7,61,8,ENE,13,1010.3
,2025-04-27,14.8,22.5,39.8,,,WSW,37,16:32,16.9,95,8,WNW,19,1012.3,22.4,66,3,SW,20,1009.9
,2025-04-28,12.9,24.1,0,,,SSW,37,13:17,16.5,94,1,SW,15,1014.9,23.5,58,,S,22,1012.1
,2025-04-29,11.4,26.2,0,,,SSW,33,14:14,19.3,76,,SSE,7,1017.1,25.8,43,,SSW,22,1014.5
,2025-04-30,11.8,25.2,0,,,SW,33,14:03,19.0,76,,WSW,2,1019.2,23.7,47,,WSW,19,1016.5
