"Daily Weather Observations for Moree, New South Wales for May 2025"
"Prepared at 13:00 UTC on Sunday 17 August 2025   IDCJDW2084.202505"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Moree Aero {station 053115}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-05-1,10.1,22.8,0,,,SSE,35,10:03,17.4,63,,SE,19,1023.5,21.3,38,,SE,22,1021.6
,2025-05-2,8.6,24.0,0,,,ESE,39,09:58,17.9,57,,ESE,22,1028.0,23.5,37,3,ESE,19,1025.5
,2025-05-3,8.5,24.7,0,,,ESE,28,10:59,17.6,63,,SE,13,1031.4,24.3,42,,SE,15,1027.7
,2025-05-4,10.3,25.7,0,,,E,33,12:21,18.4,63,,SE,17,1031.6,25.3,44,3,ENE,20,1026.8
,2025-05-5,12.6,25.5,0,,,ESE,31,13:27,19.3,72,,E,13,1028.7,25.0,45,,ENE,15,1023.7
,2025-05-6,13.9,26.7,0,,,E,26,22:21,20.2,68,,E,15,1024.9,26.3,43,,NNE,9,1020.7
,2025-05-7,11.8,25.6,0,,,WNW,26,12:37,19.2,71,,NE,13,1023.0,24.4,55,4,SSW,13,1019.0
,2025-05-8,11.6,26.1,0,,,SSW,44,13:49,19.6,70,,S,7,1023.7,25.1,36,,SSW,26,1020.9
,2025-05-9,8.6,24.8,0,,,ESE,41,20:23,18.2,63,,SE,11,1028.1,24.6,38,,S,13,1024.6
,2025-05-10,8.5,24.6,0,,,ESE,33,09:55,17.8,64,,ESE,15,1027.9,24.2,44,,E,19,1023.0
,2025-05-11,9.6,25.4,0,,,ENE,31,10:44,17.9,67,,ESE,13,1026.2,24.8,47,8,SE,22,1021.7
,2025-05-12,11.2,26.0,0,,,ENE,31,11:52,18.7,69,,ESE,11,1024.8,25.0,44,6,SSE,13,1020.6
,2025-05-13,11.9,26.3,0,,,S,30,16:15,19.3,67,,ESE,11,1024.4,25.6,43,1,SE,9,1019.6
,2025-05-14,14.0,25.3,0.2,,,E,30,01:58,19.8,77,,E,20,1021.3,24.2,53,8,S,11,1017.1
,2025-05-15,15.3,20.3,47.4,,,SE,26,15:02,16.3,99,8,S,9,1019.1,19.1,85,8,SE,13,1016.5
,2025-05-16,15.5,19.9,1.2,,,ESE,15,01:16,17.5,94,8,NE,9,1018.0,19.4,80,8, ,Calm,1015.1
,2025-05-17,14.7,22.1,1.8,,,SW,33,13:54,16.5,100,8,SW,13,1016.5,20.7,67,3,SSW,22,1014.2
,2025-05-18,8.3,20.9,0,,,SW,33,13:37,14.5,68,,S,13,1019.4,20.7,43,,SW,24,1017.4
,2025-05-19,7.6,21.4,0,,,SSW,39,16:46,15.4,69,,SE,19,1021.8,21.1,47,2,S,19,1020.3
,2025-05-20,7.6,23.2,0,,,SSW,33,15:54,14.0,88,,SSE,9,1023.0,22.1,50,1,NW,2,1019.8
,2025-05-21,8.7,21.9,0,,,SSW,26,15:54,13.0,97,8,SSW,9,1022.1,20.7,53,1,SSW,17,1018.0
,2025-05-22,9.5,19.6,0,,,WSW,20,12:29,12.4,100,8, ,Calm,1017.1,18.9,75,,W,9,1013.6
,2025-05-23,8.4,20.5,0.2,,,SW,24,14:06,12.4,100,8,S,6,1018.0,19.0,60,4,W,13,1014.5
,2025-05-24,7.5,22.7,0,,,ENE,22,03:42,13.9,82,,ENE,9,1020.3,21.9,50,,ESE,7,1016.9
,2025-05-25,9.6,23.8,0,,,E,26,03:23,15.2,77,2,E,13,1020.9,23.5,45,,NNE,4,1018.2
,2025-05-26,13.4,28.0,0,,,N,33,13:57,18.7,68,8,E,20,1020.2,27.8,53,8,N,17,1014.1
,2025-05-27,17.0,18.8,6.4,,,WSW,39,11:40,17.1,95,8,W,26,1015.5,18.7,53,,W,28,1014.8
,2025-05-28,5.0,17.7,0.2,,,SW,31,14:03,10.6,82,,SW,13,1021.6,17.7,58,1,WSW,20,1018.3
,2025-05-29,8.8,15.7,0,,,WSW,17,18:05,11.2,90,8,WSW,2,1020.2,15.1,65,8,WSW,2,1017.8
,2025-05-30,7.8,20.1,0,,,NNE,20,14:20,12.3,94,8,SSE,11,1022.8,18.1,64,8,N,15,1021.5
,2025-05-31,12.2,21.8,6.4,,,ESE,28,13:25,15.8,85,7,SE,13,1024.8,21.4,61,8,E,9,1023.1
