"Daily Weather Observations for Moree, New South Wales for August 2025"
"Prepared at 13:00 UTC on Monday  1 September 2025   IDCJDW2084.202508"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Moree Aero {station 053115}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-08-1,6.7,18.0,0,,,E,37,22:40,11.4,84,7,ENE,15,1020.7,17.6,66,6,SW,13,1015.9
,2025-08-2,8.3,11.8,1.8,,,SW,72,19:48,10.1,87,4,N,15,1015.5,9.7,96,8,SSW,20,1011.8
,2025-08-3,3.9,20.0,9.6,,,SSW,56,12:11,11.8,93,1,SW,24,1015.6,19.7,68,1,SSW,30,1014.9
,2025-08-4,5.8,20.7,0,,,SE,22,12:42,13.8,84,,NE,9,1021.2,20.4,53,,SE,6,1018.0
,2025-08-5,7.9,21.8,0.2,,,SSW,26,14:35,12.7,84,,ENE,13,1020.5,20.9,56,2,SSW,13,1017.8
,2025-08-6,5.9,20.6,0,,,SW,31,13:36,13.3,86,,E,7,1021.9,19.8,47,,SW,17,1019.8
,2025-08-7,3.4,20.1,0,,,ESE,28,10:18,11.7,72,,ESE,15,1024.2,19.5,49,,SSE,11,1022.6
,2025-08-8,11.7,16.7,0,,,ESE,39,07:45,14.8,81,8,E,20,1027.7,16.2,70,8,ESE,28,1025.5
,2025-08-9,7.4,21.2,0.8,,,E,39,12:06,13.0,79,6,SSE,13,1026.8,20.3,47,7,ESE,20,1022.4
,2025-08-10,5.2,19.7,0.2,,,SSW,28,16:29,13.2,73,,SE,15,1025.9,19.4,46,,SSE,15,1021.8
,2025-08-11,5.7,19.7,0.2,,,E,24,00:10,12.9,75,,ESE,9,1025.8,19.3,45,,SSE,9,1022.5
,2025-08-12,6.2,19.9,0,,,ENE,28,04:31,13.1,78,,ENE,11,1026.0,19.6,47,,W,13,1022.6
,2025-08-13,5.6,19.8,0,,,WSW,30,15:08,13.3,74,,ENE,11,1026.2,19.6,41,,SW,13,1022.8
,2025-08-14,6.9,19.8,0,,,S,31,15:50,13.4,74,,E,6,1023.8,18.9,50,7,SSW,17,1020.7
,2025-08-15,5.5,19.4,0,,,E,20,05:32,13.2,80,,E,9,1021.7,18.8,56,,SW,11,1018.0
,2025-08-16,4.2,21.4,0,,,W,35,12:50,12.1,80,,NNE,15,1017.8,19.5,43,7,W,22,1014.2
,2025-08-17,1.8,15.1,0,,,SW,39,12:58,9.8,70,,SSW,15,1021.6,14.6,39,,SW,19,1019.3
,2025-08-18,0.3,16.8,0,,,SE,26,12:41,9.9,63,,ESE,9,1024.4,16.5,37,,SSE,13,1021.9
,2025-08-19,1.7,19.4,0,,,NE,39,14:51,12.9,62,4,ENE,17,1027.5,15.9,43,8,NE,28,1024.8
,2025-08-20,9.0,15.1,17.2,,,ENE,46,13:16,9.7,100,7,NW,9,1027.9,15.0,85,1,ENE,30,1021.9
,2025-08-21,9.6,16.9,7.2,,,NNW,26,00:28,10.8,100,8,SSW,9,1025.1,16.4,58,2,SW,11,1022.0
,2025-08-22,2.6,17.7,0.2,,,W,26,12:35,11.6,84,,NE,7,1023.5,17.1,56,,W,11,1020.2
,2025-08-23,4.6,20.2,0,,,WSW,31,11:50,11.8,83,,WSW,6,1022.3,19.9,50,,SW,22,1018.8
,2025-08-24,4.3,20.2,0,,,SSW,31,13:40,13.8,78,,SW,7,1022.9,20.1,40,,SW,20,1019.2
,2025-08-25,3.0,20.9,0,,,W,20,14:42,12.4,78,,ENE,7,1020.2,20.3,47,,W,15,1016.7
,2025-08-26,7.5,23.3,0,,,NNE,39,13:40,16.9,75,,NE,17,1018.5,22.7,58,,NNE,24,1013.2
,2025-08-27,14.1,24.7,0,,,NNE,48,07:23,17.8,82,1,N,22,1010.9,23.9,41,,W,24,1007.4
,2025-08-28,6.2,19.2,0,,,W,37,13:25,13.4,72,,WSW,11,1014.6,18.7,45,1,SW,26,1012.4
,2025-08-29,3.7,20.3,0,,,WNW,39,14:31,13.3,68,2,NNW,6,1017.1,19.9,31,,WNW,20,1012.5
,2025-08-30,6.6,15.1,0,,,SW,52,11:19,11.1,60,,SW,30,1019.0,14.0,52,8,SW,30,1020.8
,2025-08-31,-0.6,18.3,0,,,NE,20,11:16,9.5,62,,E,6,1027.6,18.1,39,,ENE,7,1023.1
