"Daily Weather Observations for Newcastle, New South Wales for February 2024"
"Prepared at 13:00 UTC on Saturday  9 November 2024   IDCJDW2097.202402"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Nobbys Head, but cloud from Newcastle University."
"Temperature, humidity, wind and rainfall observations are from Newcastle Nobbys Signal Station AWS {station 061055}"
"Cloud observations are from Newcastle University {station 061390}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-02-1,20.9,25.3,27.6,,,,,,22.8,86,,,,,24.9,78,,,,
,2024-02-2,22.3,26.4,0,,,,,,24.7,84,,,,,25.4,82,,,,
,2024-02-3,21.9,24.5,0,,,,,,23.3,66,,,,,24.0,67,,,,
,2024-02-4,21.1,27.3,0,,,,,,22.2,82,,,,,25.5,78,,,,
,2024-02-5,22.1,25.8,0,,,,,,23.4,88,,,,,23.1,84,,,,
,2024-02-6,20.9,24.0,0.6,,,,,,22.3,91,,,,,20.2,92,,,,
,2024-02-7,17.9,22.0,10.6,,,,,,18.3,87,,,,,19.4,92,,SW,31,
,2024-02-8,17.8,23.5,6.0,,,SSE,52,23:47,21.9,72,,S,30,,22.7,68,,SSE,31,
,2024-02-9,19.0,22.6,0,,,SW,44,19:36,21.3,66,,SW,13,,22.0,77,,SSW,26,
,2024-02-10,19.7,23.3,5.4,,,S,70,04:26,22.0,74,,S,50,,22.6,72,,S,41,
,2024-02-11,21.2,23.8,0,,,SSE,48,23:19,22.8,71,,SSE,31,,23.0,65,,ESE,19,
,2024-02-12,21.3,25.5,0,,,E,39,15:23,23.4,71,,NNE,9,,24.5,77,,ESE,28,
,2024-02-13,21.3,30.3,0,,,E,48,15:08,24.5,68,,N,20,,25.2,74,,E,37,
,2024-02-14,21.4,32.9,0,,,WNW,87,15:26,27.1,55,,NW,26,,31.2,44,,WSW,4,
,2024-02-15,20.6,23.1,17.4,,,SW,37,13:34,21.3,86,,SW,20,,21.5,87,,SW,24,
,2024-02-16,21.0,25.1,45.0,,,NNE,33,14:33,21.7,91,,SSW,13,,24.5,87,,SSE,15,
,2024-02-17,21.6,28.3,4.4,,,E,35,14:51,23.4,84,,N,11,,24.9,78,,E,26,
,2024-02-18,22.0,25.6,0,,,E,30,15:33,24.5,84,,E,7,,24.8,81,,SE,11,
,2024-02-19,22.0,23.2,0,,,E,54,12:23,23.2,90,,SW,26,,20.6,82,,E,26,
,2024-02-20,19.3,24.2,11.8,,,SW,39,17:38,22.1,91,,SW,9,,23.0,77,,SSW,17,
,2024-02-21,20.4,24.4,11.8,,,S,28,11:28,22.4,86,,SW,9,,23.7,83,,S,20,
,2024-02-22,21.9,26.7,0,,,E,30,17:35,23.4,90,,W,6,,24.7,82,,SE,15,
,2024-02-23,22.7,37.3,0,,,NNE,67,18:33,26.6,68,,NNW,15,,37.1,32,,NW,17,
,2024-02-24,21.3,22.5,15.6,,,S,56,14:58,21.6,93,,SSW,39,,20.8,91,,S,39,
,2024-02-25,19.5,24.9,1.8,,,S,39,23:10,21.5,75,,SW,15,,23.8,71,,SE,13,
,2024-02-26,18.7,29.4,0,,,SSE,46,22:49,21.7,83,,NNW,15,,24.8,80,,S,31,
,2024-02-27,21.6,24.8,4.8,,,SSE,52,23:14,22.2,89,,SE,26,,22.9,84,,ESE,28,
,2024-02-28,21.9,26.3,0,,,E,48,13:36,24.6,82,,ENE,9,,25.0,79,,E,41,
,2024-02-29,22.5,38.8,0,,,NNW,46,11:09,24.8,83,,NE,17,,37.3,37,,NW,24,
