"Daily Weather Observations for Newcastle, New South Wales for September 2024"
"Prepared at 13:00 UTC on Monday 11 August 2025   IDCJDW2097.202409"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Nobbys Head, but cloud from Williamtown RAAF (Station No. 061078)."
"Temperature, humidity, wind and rainfall observations are from Newcastle Nobbys Signal Station AWS {station 061055}"
"Pressure and cloud observations are from Williamtown RAAF {station 061078}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-09-1,15.1,26.4,0,,,NW,72,13:54,20.0,41,,NW,33,1013.8,26.2,28,,NW,46,1010.3
,2024-09-2,16.4,26.3,0,,,NW,81,13:25,21.6,30,,NW,44,1011.3,25.7,20,,NW,44,1010.7
,2024-09-3,10.3,17.2,0,,,S,35,14:15,15.0,33,,SW,20,1029.4,16.1,41,,S,20,1028.9
,2024-09-4,7.2,20.8,0,,,E,37,14:39,13.3,62,,NW,17,1030.6,18.2,67,,E,31,1024.6
,2024-09-5,11.2,25.4,0,,,NW,59,13:53,18.6,42,,NW,33,1026.2,25.1,32,,NNW,35,1021.1
,2024-09-6,14.1,26.2,0,,,NW,72,12:10,19.8,57,,NNW,11,1024.4,26.0,32,,NNW,43,1019.3
,2024-09-7,18.8,28.6,0,,,NW,61,03:06,23.8,41,,NW,37,1021.4,20.6,77,4,S,13,1020.1
,2024-09-8,17.0,20.9,0,,,NNW,31,18:19,18.2,87,8,WNW,9,1020.7,17.5,82,7,WSW,11,1016.6
,2024-09-9,13.6,22.6,0,,,NW,46,15:46,17.4,48,2,WNW,26,1019.5,21.0,38,,NW,33,1015.7
,2024-09-10,12.4,19.6,0.2,,,S,22,11:42,17.8,50,,SW,15,1025.3,19.2,70,,SSE,15,1023.9
,2024-09-11,12.6,24.7,0,,,N,37,13:31,15.6,76,,NNW,19,1025.1,20.4,72,,E,26,1020.2
,2024-09-12,15.5,19.1,0.6,,,S,78,22:33,17.0,76,8,WNW,15,1020.2,17.4,79,8,SSW,41,1019.8
,2024-09-13,12.2,16.2,6.6,,,S,69,03:26,13.9,69,8,SW,22,1027.0,13.6,89,8,S,20,1025.6
,2024-09-14,9.6,22.3,1.6,,,SSW,80,21:27,14.3,77,,NW,20,1024.5,21.9,40,,NNW,20,1018.6
,2024-09-15,10.5,15.3,0.2,,,,,,12.4,58,2,SW,30,1025.9,13.8,66,2,SW,35,1025.1
,2024-09-16,9.7,21.0,6.8,,,S,48,17:57,14.2,57,,NW,13,1027.7,16.6,42,,SSE,31,1021.9
,2024-09-17,10.5,17.9,4.6,,,SSW,43,00:40,15.8,63,1,SW,11,1026.1,17.5,57,,E,13,1021.9
,2024-09-18,11.5,24.2,0,,,NW,61,11:10,16.1,48,,NW,33,1019.2,23.9,20,,NW,35,1013.1
,2024-09-19,13.2,26.9,0,,,NW,63,14:32,20.1,33,,NW,22,1011.3,26.7,12,,WNW,37,1005.6
,2024-09-20,12.7,24.3,0,,,NW,54,15:35,18.5,38,,NW,20,1011.5,23.9,26,,NW,26,1006.7
,2024-09-21,12.1,23.8,0,,,NW,52,15:06,17.8,42,,NW,28,1011.8,23.3,28,,NNW,31,1008.8
,2024-09-22,12.9,24.5,0,,,NNW,43,15:38,18.2,41,,NNW,24,1016.9,24.1,33,,NNW,26,1013.5
,2024-09-23,13.2,26.7,0,,,NW,48,15:41,20.0,44,,NW,26,1020.3,26.2,24,,NNW,30,1015.5
,2024-09-24,15.4,21.2,0,,,SSW,26,03:59,19.3,74,,S,9,1021.8,19.8,80,2,E,13,1017.0
,2024-09-25,16.6,22.8,0,,,NW,31,09:24,18.7,58,8,NW,20,1016.1,22.6,65,7,ENE,15,1010.4
,2024-09-26,14.6,16.5,14.2,,,SSW,72,10:04,15.0,87,8,SSW,54,1016.1,13.7,90,8,S,48,1017.8
,2024-09-27,13.1,17.3,17.4,,,SSE,72,02:02,15.7,55,8,SSE,44,1025.5,16.2,56,8,SSE,41,1024.8
,2024-09-28,13.0,18.4,1.6,,,SSE,57,03:48,16.7,73,4,SSE,26,1027.4,16.7,73,7,SE,37,1024.1
,2024-09-29,15.3,19.6,1.4,,,SE,41,03:53,17.6,89,8,E,19,1022.6,19.1,86,8,E,11,1018.0
,2024-09-30,15.3,20.1,3.8,,,SSW,57,12:17,17.1,82,8,NW,9,1019.0,17.8,81,8,SSW,41,1018.8
