"Daily Weather Observations for Newcastle, New South Wales for January 2025"
"Prepared at 16:00 UTC on Thursday  7 August 2025   IDCJDW2097.202501"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Nobbys Head, but cloud from Williamtown RAAF (Station No. 061078)."
"Temperature, humidity, wind and rainfall observations are from Newcastle Nobbys Signal Station AWS {station 061055}"
"Pressure and cloud observations are from Williamtown RAAF {station 061078}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-01-1,21.4,28.2,0,,,E,52,15:04,24.3,73,,ENE,13,1013.8,24.9,68,,E,35,1010.0
,2025-01-2,21.9,23.5,0,,,SSW,59,06:10,22.2,78,8,S,43,1017.1,20.7,83,8,SSW,31,1018.2
,2025-01-3,20.4,24.4,0,,,E,37,17:19,22.2,68,8,ESE,20,1021.3,23.4,62,8,E,28,1019.7
,2025-01-4,20.9,25.3,0,,,E,50,15:58,23.9,63,,ENE,11,1019.9,24.1,63,,E,37,1016.6
,2025-01-5,19.3,26.5,0,,,E,41,14:19,22.9,69,,NE,9,1017.6,24.9,70,,E,33,1014.5
,2025-01-6,19.7,27.4,0,,,SW,69,22:37,24.3,74,,NNE,7,1016.1,25.4,68,,E,33,1012.2
,2025-01-7,21.5,21.9,7.0,,,S,70,20:53,21.6,91,8,SW,15,1017.8,20.9,89,8,SSW,35,1018.1
,2025-01-8,19.0,21.0,20.8,,,SSW,76,18:29,19.3,91,8,SSW,46,1016.9,18.8,90,8,SW,39,1014.5
,2025-01-9,17.2,24.0,63.6,,,SW,56,10:09,19.4,93,8,SW,28,1012.9,21.3,83,8,SSE,30,1012.4
,2025-01-10,19.4,23.9,0.8,,,ESE,37,13:04,23.1,85,1,ESE,11,1015.5,23.6,79,6,E,30,1013.3
,2025-01-11,20.6,25.7,0,,,E,46,13:55,22.3,82,8,ENE,11,1014.0,23.6,75,1,E,37,1011.1
,2025-01-12,21.1,24.8,0,,,E,57,15:37,23.4,77,,ENE,17,1010.8,24.2,73,,E,41,1007.7
,2025-01-13,21.3,25.7,0,,,E,35,13:37,23.3,79,,N,11,1008.0,25.0,78,,E,30,1005.7
,2025-01-14,21.8,26.4,0,,,E,35,15:55,23.5,83,6,NNE,4,1007.9,25.4,77,3,E,19,1005.3
,2025-01-15,22.5,27.4,0,,,NW,109,20:26,24.7,82,,NNE,6,1003.9,25.8,77,,E,33,998.0
,2025-01-16,19.3,22.2,17.6,,,SSW,87,11:35,20.6,85,8,N,15,999.9,19.6,83,8,S,56,1003.6
,2025-01-17,15.8,21.3,9.6,,,S,94,19:46,15.9,91,8,SW,30,1009.2,18.4,94,7,SW,61,1008.6
,2025-01-18,15.8,23.7,40.8,,,S,94,00:19,21.3,89,8,S,56,1012.6,23.3,81,8,S,33,1015.3
,2025-01-19,19.8,21.9,22.8,,,SSE,63,23:55,20.9,65,8,S,39,1017.2,21.3,60,1,S,41,1016.6
,2025-01-20,16.2,22.7,0,,,S,39,23:01,19.8,63,8,SW,17,1013.7,21.9,58,,SSE,24,1011.2
,2025-01-21,16.9,23.8,0,,,E,37,17:27,21.3,74,,SSW,2,1012.1,23.1,64,,ESE,24,1009.3
,2025-01-22,20.0,34.7,0,,,,,,22.1,79,7,NNW,13,1006.0,30.8,43,7,ENE,17,1001.8
,2025-01-23,20.8,23.0,,,,S,54,02:01,21.5,79,8,S,33,1011.4,22.4,77,8,S,26,1008.0
,2025-01-24,20.2,22.7,0,,,S,61,15:00,21.9,74,7,SSW,19,1003.6,22.1,71,,SSW,44,1006.9
,2025-01-25,19.1,24.2,0,,,S,31,23:19,21.8,73,8,SSW,9,1015.5,24.1,57,,SE,19,1012.7
,2025-01-26,21.0,26.4,0,,,E,41,17:38,23.4,80,2,SSW,17,1014.2,25.2,78,,ESE,26,1012.3
,2025-01-27,23.0,28.8,0,,,ENE,41,15:38,24.5,72,7,NE,19,1013.7,26.4,75,,E,30,1009.8
,2025-01-28,23.7,38.0,0,,,SW,80,19:50,28.8,61,,NNW,24,1010.4,36.3,36,1,N,20,1007.7
,2025-01-29,20.7,22.9,3.4,,,SSW,52,01:54,22.1,76,7,SW,20,1015.6,22.1,75,8,S,22,1012.8
,2025-01-30,20.7,24.4,0.6,,,SW,41,17:06,22.2,89,8,SW,19,1012.1,23.4,86,8,SW,22,1010.4
,2025-01-31,22.0,25.6,2.6,,,ESE,44,22:09,22.6,91,8,SW,26,1014.8,22.9,88,8,SE,28,1015.5
