"Daily Weather Observations for Newcastle, New South Wales for April 2025"
"Prepared at 13:00 UTC on Monday 18 August 2025   IDCJDW2097.202504"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Nobbys Head, but cloud from Williamtown RAAF (Station No. 061078)."
"Temperature, humidity, wind and rainfall observations are from Newcastle Nobbys Signal Station AWS {station 061055}"
"Pressure and cloud observations are from Williamtown RAAF {station 061078}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-04-1,17.7,21.5,0.8,,,SSW,61,14:24,19.0,75,8,WSW,22,1014.3,18.8,87,8,SSW,43,1012.7
,2025-04-2,16.7,20.6,3.0,,,SW,31,23:27,17.2,72,8,WSW,9,1011.3,20.3,61,8,SSW,13,1008.5
,2025-04-3,16.8,26.9,0.2,,,ENE,26,15:28,17.7,77,6,NW,11,1011.2,25.0,46,,NE,11,1009.7
,2025-04-4,16.4,25.4,0,,,ENE,35,18:12,18.8,76,,NW,13,1015.7,23.3,67,1,ESE,19,1014.1
,2025-04-5,16.7,27.1,0,,,SSE,44,19:07,18.9,55,,NW,20,1015.3,24.5,35,,S,22,1013.6
,2025-04-6,15.6,26.6,0,,,NW,44,13:15,19.2,70,,NNW,17,1019.2,26.3,30,,NW,22,1014.1
,2025-04-7,16.5,27.3,0,,,SE,41,22:41,21.5,37,,NW,24,1018.6,24.6,40,,SSE,13,1016.1
,2025-04-8,17.8,22.4,1.2,,,SE,39,00:11,18.7,87,8,SSW,17,1024.3,19.6,76,8,ESE,24,1022.7
,2025-04-9,16.6,22.9,0,,,ENE,37,16:42,20.4,71,,N,4,1024.9,22.0,71,1,E,24,1021.2
,2025-04-10,16.8,24.2,0,,,NNE,26,00:24,19.2,79,1,NNW,9,1023.2,23.0,70,7,E,15,1020.1
,2025-04-11,15.9,27.1,0,,,NNW,22,08:09,20.2,80,,NW,13,1023.8,24.3,69,,E,13,1022.6
,2025-04-12,19.9,24.8,0,,,SE,28,16:44,21.4,83,8,SW,17,1029.8,23.6,69,8,SE,20,1028.1
,2025-04-13,18.4,23.8,0.4,,,ESE,31,17:12,21.3,83,2,SSW,9,1029.2,22.9,76,6,SE,15,1025.7
,2025-04-14,16.6,26.4,0.2,,,S,57,23:57,19.6,84,,NNW,19,1025.7,23.4,69,,E,17,1022.2
,2025-04-15,18.9,22.3,1.0,,,SSE,63,16:38,21.5,58,8,S,43,1025.5,20.7,60,8,S,37,1023.5
,2025-04-16,17.4,21.6,0.2,,,S,69,18:47,19.8,60,1,WSW,13,1021.1,20.5,62,8,SW,26,1017.3
,2025-04-17,17.1,22.2,12.6,,,S,48,18:23,17.9,87,8,SW,17,1015.7,21.8,66,8,S,35,1013.2
,2025-04-18,16.7,23.7,1.8,,,WSW,30,03:02,21.1,66,,W,13,1014.4,22.6,58,,S,20,1012.0
,2025-04-19,14.4,27.4,0,,,NNW,33,08:24,18.4,66,,NNW,24,1013.6,27.1,44,,N,13,1010.4
,2025-04-20,15.8,29.3,0,,,ENE,31,17:03,20.5,63,,NW,19,1014.1,28.7,39,,NNE,13,1010.6
,2025-04-21,18.7,27.4,0,,,N,63,22:50,21.4,63,6,NW,19,1011.9,27.3,39,5,W,15,1008.4
,2025-04-22,14.6,22.8,15.6,,,S,41,03:05,15.5,80,8,NW,17,1014.8,19.7,81,8,W,13,1012.3
,2025-04-23,15.4,23.4,4.6,,,SE,80,08:50,18.8,89,8,ESE,56,1021.0,22.2,75,8,SE,33,1019.7
,2025-04-24,18.4,23.9,1.0,,,ESE,41,01:42,23.0,64,1,ESE,22,1022.8,22.6,66,1,SE,20,1019.8
,2025-04-25,18.6,23.9,0.8,,,E,37,00:29,21.9,74,1,ENE,7,1019.9,22.0,71,1,ESE,22,1016.0
,2025-04-26,18.1,25.2,0.2,,,ENE,44,22:36,20.3,83,,NNW,6,1016.6,22.6,76,8,E,24,1013.1
,2025-04-27,16.9,21.6,46.4,,,S,98,13:44,17.6,91,8,SW,24,1009.4,19.2,83,8,S,31,1004.2
,2025-04-28,16.7,22.1,76.8,,,SSW,69,01:52,21.3,76,8,S,44,1012.9,20.5,79,7,SW,28,1013.0
,2025-04-29,15.1,23.3,1.2,,,S,46,17:49,19.6,83,,NNW,9,1017.5,22.4,74,3,SSE,13,1015.4
,2025-04-30,16.1,19.9,23.0,,,S,72,21:40,17.4,93,8,SSW,33,1020.0,16.7,88,8,SSW,41,1019.9
