"Daily Weather Observations for Norah Head, New South Wales for December 2023"
"Prepared at 13:00 UTC on Monday 11 November 2024   IDCJDW2099.202312"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Norah Head AWS {station 061366}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-12-1,18.2,26.2,,,,SSE,30,11:41,22.9,84,,SSW,7,1006.0,25.0,74,,SE,20,1004.0
,2023-12-2,19.4,25.1,6.6,,,S,44,22:31,20.6,100,,SW,9,1008.9,22.4,98,,SE,13,1007.9
,2023-12-3,17.2,25.7,0.4,,,SSE,43,19:52,21.7,89,,SW,9,1013.1,24.6,73,,SSE,26,1011.9
,2023-12-4,18.0,25.5,1.8,,,S,35,23:26,21.9,70,,S,11,1019.3,23.6,60,,SE,15,1017.6
,2023-12-5,17.8,28.4,0.2,,,NNE,39,16:10,23.8,78,,NNE,17,1017.8,26.2,73,,NE,26,1013.4
,2023-12-6,21.1,25.7,0,,,SSW,52,03:53,22.6,85,,SSW,26,1017.5,23.9,78,,S,28,1017.0
,2023-12-7,19.0,28.0,0,,,NE,31,10:52,25.6,76,,ENE,6,1018.6,24.0,80,,ESE,20,1016.8
,2023-12-8,20.5,27.8,0,,,NE,48,14:37,25.1,93,,NE,24,1017.9,27.2,79,,NE,39,1013.1
,2023-12-9,21.4,30.2,0,,,S,70,22:25,25.9,93,,N,9,1012.1,25.4,78,,NE,37,1008.9
,2023-12-10,19.9,23.9,28.0,,,SSW,67,00:50,21.8,100,,SSW,24,1018.2,22.8,100,,SSW,28,1016.3
,2023-12-11,19.1,25.5,0.2,,,SE,22,21:00,23.1,100,,ESE,2,1017.1,24.9,85,,E,11,1015.7
,2023-12-12,21.0,26.5,0.2,,,E,22,14:49,23.9,100,,S,4,1020.2,25.5,84,,E,17,1017.4
,2023-12-13,21.1,29.3,0,,,,,,25.9,91,,NE,17,1016.1,27.6,74,,NE,26,1011.9
,2023-12-14,21.5,38.8,,,,SSW,52,22:35,25.5,83,,NNW,13,1007.2,31.6,40,,SSW,7,1002.5
,2023-12-15,20.6,27.8,0,,,SSW,46,23:06,23.6,85,,SSW,15,1010.8,24.6,75,,ESE,17,1008.6
,2023-12-16,19.9,28.6,0,,,S,31,22:57,25.7,86,,NNE,9,1006.1,28.0,67,,SSE,24,1003.3
,2023-12-17,21.1,25.6,0,,,SSE,41,02:53,22.5,85,,SE,26,1014.4,24.8,75,,ESE,13,1014.2
,2023-12-18,21.0,28.6,0,,,ENE,20,15:25,22.6,100,,S,9,1014.9,26.5,85,,SE,7,1011.8
,2023-12-19,22.3,27.1,0.2,,,N,69,20:30,24.5,100,,NNE,11,1011.5,23.3,100,,ESE,22,1008.8
,2023-12-20,19.5,21.1,6.0,,,SSW,65,14:28,20.2,100,,SSW,30,1012.4,18.9,100,,SSW,41,1012.5
,2023-12-21,16.8,21.0,27.0,,,S,69,15:38,20.9,89,,SW,24,1014.6,20.2,100,,SSW,39,1014.9
,2023-12-22,18.1,22.5,4.4,,,S,54,00:51,20.2,71,,SSW,19,1017.2,21.6,71,,S,31,1014.6
,2023-12-23,17.4,25.9,0.2,,,S,33,01:05,21.9,79,,SSW,11,1013.8,23.3,71,,ESE,19,1010.0
,2023-12-24,20.0,26.4,0,,,ENE,31,11:51,25.6,73,,NE,9,1007.6,22.8,89,,NNE,24,1005.9
,2023-12-25,18.0,27.4,3.0,,,NE,56,20:37,22.3,92,, ,Calm,1007.1,26.4,75,,SSE,15,1004.7
,2023-12-26,21.1,28.1,1.0,,,NE,43,23:34,25.1,97,,SSE,11,1007.0,25.4,93,,S,13,1005.3
,2023-12-27,19.9,26.0,0.8,,,SSW,48,15:15,22.0,100,,SSW,20,1009.3,25.0,84,,SSE,26,1007.5
,2023-12-28,17.7,29.6,0.8,,,S,26,16:38,25.9,60,,W,7,1010.2,26.1,77,,SE,13,1008.5
,2023-12-29,21.0,27.1,0,,,N,22,18:32,24.6,96,,SSW,13,1011.6,24.7,92,,E,11,1011.4
,2023-12-30,21.3,26.8,0,,,SE,48,20:48,23.4,73,,SSW,20,1011.0,25.6,68,,SE,22,1009.1
,2023-12-31,19.2,24.4,0.4,,,SE,46,23:58,21.0,72,,SE,24,1020.0,22.3,65,,SE,19,1020.8
