"Daily Weather Observations for Norah Head, New South Wales for March 2024"
"Prepared at 13:00 UTC on Friday  8 November 2024   IDCJDW2099.202403"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Norah Head AWS {station 061366}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-03-1,22.8,27.8,0,,,SSW,48,23:04,24.8,88,,S,6,1015.5,26.0,81,,ESE,7,1013.5
,2024-03-2,23.6,27.4,0,,,S,56,13:26,25.9,89,,SSW,7,1010.4,24.2,83,,S,37,1013.4
,2024-03-3,19.8,29.7,0.2,,,,,,22.0,86,,W,4,1014.5,27.9,71,,ENE,20,1010.8
,2024-03-4,20.9,23.6,,,,SSE,57,00:25,21.2,73,,S,43,1020.9,22.3,73,,S,39,1021.7
,2024-03-5,17.9,26.0,0,,,NE,41,21:35,21.3,69,,WSW,4,1023.6,25.0,52,,E,13,1021.6
,2024-03-6,18.9,29.5,0,,,NE,41,16:48,22.6,75,,NW,2,1021.2,27.8,73,,NE,26,1018.2
,2024-03-7,20.6,29.3,0,,,,,,24.7,80,, ,Calm,1020.4,28.9,71,,SSE,19,1021.2
,2024-03-8,21.3,29.0,,,,NE,33,19:00,23.0,94,,SSW,7,1025.0,27.3,68,,ENE,13,1024.0
,2024-03-9,20.9,29.4,0,,,NNE,26,23:16,24.3,79,, ,Calm,1026.1,28.2,66,,ENE,13,1025.0
,2024-03-10,20.9,29.7,0.2,,,NE,31,19:49,24.3,81,,SSW,4,1027.7,27.4,72,,ENE,19,1026.3
,2024-03-11,20.7,30.5,0,,,NNE,35,19:45,24.9,80,, ,Calm,1027.1,27.8,64,,ENE,22,1023.6
,2024-03-12,19.6,30.4,0.2,,,NNE,37,04:42,23.3,72,,N,9,1019.8,29.9,59,,NE,22,1015.5
,2024-03-13,20.3,28.9,0,,,ENE,26,16:24,24.5,76,,ESE,9,1017.3,25.4,,,E,15,1014.8
,2024-03-14,20.0,29.5,0.2,,,S,59,22:42,23.3,89,,N,9,1011.4,28.2,71,,NE,17,1007.8
,2024-03-15,19.3,26.7,3.8,,,S,69,23:18,22.2,70,,SSE,44,1018.5,20.7,78,,S,26,1019.4
,2024-03-16,19.9,25.4,0.6,,,NE,48,20:26,22.4,69,,ESE,17,1021.8,22.3,70,,NE,19,1020.0
,2024-03-17,18.1,23.9,7.6,,,NE,41,02:37,19.4,95,,NW,4,1017.3,21.4,83,,ESE,11,1014.7
,2024-03-18,19.1,26.1,1.2,,,ENE,33,18:49,19.5,91,,SW,7,1015.1,25.0,77,,SSE,15,1014.3
,2024-03-19,19.5,27.4,0,,,NE,43,18:40,21.7,87,,WNW,2,1017.4,25.8,73,,ENE,22,1015.3
,2024-03-20,21.6,26.3,0.2,,,S,74,21:37,22.9,93,,N,11,1014.5,23.4,91,,SSE,2,1015.8
,2024-03-21,16.7,21.9,1.6,,,S,72,00:53,17.1,70,,SW,11,1028.3,21.1,67,,S,28,1026.7
,2024-03-22,16.9,24.7,0.2,,,SSE,35,01:27,18.7,82,,WSW,6,1025.5,23.6,69,,NE,9,1023.5
,2024-03-23,16.9,25.4,0,,,S,15,11:27,18.6,82,,WSW,9,1023.4,23.7,71,,SSE,11,1021.4
,2024-03-24,18.6,25.6,0.2,,,NNE,26,20:50,20.2,,,WSW,6,1020.7,23.6,71,,ESE,13,1018.5
,2024-03-25,17.8,27.8,0,,,ENE,24,14:55,21.4,84,,W,2,1019.3,25.8,71,,ENE,17,1016.4
,2024-03-26,19.1,25.9,0.2,,,SSE,26,13:53,22.3,89,,SSW,17,1019.8,24.9,79,,SSE,22,1018.1
,2024-03-27,20.7,23.9,0.2,,,S,39,14:02,22.5,88,,S,28,1023.0,23.5,81,,SSW,28,1022.2
,2024-03-28,19.3,24.9,0,,,SE,35,09:03,21.8,89,,SW,4,1024.3,24.0,77,,ESE,9,1023.9
,2024-03-29,20.0,26.0,0.4,,,SSE,24,08:00,21.9,76,,SSE,20,1027.2,24.9,60,,SE,11,1026.2
,2024-03-30,17.8,25.7,0,,,NNE,24,20:37,22.1,79,, ,Calm,1026.2,24.3,76,,ENE,20,1023.2
,2024-03-31,17.9,27.4,0.2,,,SSE,20,12:40,20.1,96,,SW,9,1023.8,25.2,74,,SE,17,1020.6
