"Daily Weather Observations for Norah Head, New South Wales for July 2024"
"Prepared at 13:00 UTC on Monday  4 November 2024   IDCJDW2099.202407"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Norah Head AWS {station 061366}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-07-1,8.9,15.1,0.6,,,SSE,57,15:51,10.9,75,,SW,13,1023.7,14.4,80,,S,33,1023.1
,2024-07-2,10.0,16.2,12.0,,,SE,52,09:20,13.7,80,,S,30,1028.7,13.6,84,,S,31,1028.4
,2024-07-3,10.8,16.9,12.4,,,SSE,59,10:24,16.1,60,,SSE,37,1032.5,15.0,79,,SSW,35,1031.4
,2024-07-4,11.3,18.4,6.6,,,SSE,54,05:52,15.7,70,,SSE,37,1033.8,16.6,61,,SSE,30,1032.6
,2024-07-5,13.1,17.8,2.6,,,SSE,54,18:06,14.1,91,,SE,28,1036.6,16.7,68,,SSE,33,1035.5
,2024-07-6,13.4,19.1,2.8,,,SSE,54,09:05,15.3,74,,SSE,44,1038.0,15.9,65,,SSE,30,1035.6
,2024-07-7,10.5,17.4,1.0,,,ESE,31,17:38,12.8,90,,SW,9,1034.3,16.0,79,,S,15,1030.6
,2024-07-8,12.7,16.6,2.4,,,N,28,20:28,13.2,97,,WNW,4,1027.9,15.4,86,,NNE,11,1023.3
,2024-07-9,13.2,18.0,5.4,,,NNE,35,03:00,14.4,97,,N,9,1020.6,17.5,86,,N,11,1018.4
,2024-07-10,10.4,19.6,1.8,,,NW,20,16:37,13.6,75,,NNW,7,1021.7,18.3,61,,NNW,4,1019.8
,2024-07-11,10.3,17.9,0.2,,,W,20,03:52,13.2,75,,W,6,1022.9,16.4,73,,NE,13,1018.9
,2024-07-12,11.0,18.6,0,,,SSW,26,19:33,12.6,81,,W,9,1014.5,16.3,66,,S,11,1010.3
,2024-07-13,11.5,16.7,0,,,SSW,41,12:37,13.9,68,,SW,15,1010.8,16.4,63,,SSW,19,1009.5
,2024-07-14,8.6,16.8,0,,,WNW,20,02:09,11.6,64,,WNW,7,1012.0,15.8,52,,NW,4,1008.8
,2024-07-15,7.0,15.6,0,,,W,33,10:19,10.5,56,,W,11,1007.9,14.9,40,,W,15,1005.6
,2024-07-16,9.1,14.2,0,,,NW,37,10:25,10.9,63,,NW,11,1002.2,13.7,55,,W,13,1000.7
,2024-07-17,10.2,18.2,0,,,WSW,33,11:17,13.7,63,,WNW,9,1005.6,17.4,55,,SW,9,1005.0
,2024-07-18,10.0,17.5,0.8,,,SSW,35,01:51,12.7,73,,WNW,6,1013.0,15.6,61,,SSE,13,1010.8
,2024-07-19,6.7,16.7,0,,,WNW,30,17:32,10.7,55,,NW,9,1016.2,16.1,39,,WNW,9,1011.9
,2024-07-20,10.7,18.1,0,,,WNW,50,12:45,14.9,57,,NNW,13,1006.7,16.1,34,,W,19,1005.4
,2024-07-21,10.5,17.9,0,,,WNW,33,03:47,12.9,51,,W,9,1016.5,17.2,41,,SW,9,1017.5
,2024-07-22,8.4,19.7,0,,,W,22,22:51,12.7,64,,W,6,1026.3,16.3,60,,ENE,6,1024.4
,2024-07-23,9.3,17.9,0,,,W,20,00:24,13.8,64,,NNW,6,1027.7,16.2,65,,ENE,13,1024.9
,2024-07-24,8.9,18.6,0,,,N,35,12:59,13.2,70,,NNW,11,1024.5,18.1,54,,N,24,1020.0
,2024-07-25,13.2,21.5,0,,,N,37,16:44,17.3,71,,NNE,22,1020.2,20.6,58,,NNW,19,1016.2
,2024-07-26,12.8,20.0,4.2,,,W,28,04:30,13.3,91,,NW,6,1019.8,18.9,67,,SSE,13,1018.6
,2024-07-27,11.5,15.9,4.8,,,N,28,11:13,12.5,96,,NNW,13,1020.5,14.8,94,,NNW,15,1015.5
,2024-07-28,9.6,14.9,5.4,,,W,43,16:14,12.0,61,,W,9,1017.4,14.6,39,,W,17,1016.2
,2024-07-29,7.4,14.1,0,,,S,78,20:38,10.1,49,,WSW,17,1023.7,13.8,60,,SSW,41,1024.4
,2024-07-30,8.7,14.6,3.2,,,SSW,72,14:49,11.2,68,,SW,19,1031.7,13.2,80,,SSW,44,1030.8
,2024-07-31,9.4,14.9,2.2,,,S,69,16:00,12.0,71,,SW,20,1033.2,14.2,73,,SSW,31,1031.7
