"Daily Weather Observations for Norah Head, New South Wales for September 2024"
"Prepared at 16:00 UTC on Saturday 16 November 2024   IDCJDW2099.202409"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Norah Head AWS {station 061366}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-09-1,13.1,27.4,0,,,WNW,44,12:02,19.5,59,,N,17,1013.2,27.0,23,,W,17,1009.0
,2024-09-2,14.4,26.4,0,,,W,54,14:15,22.5,28,,WNW,13,1009.7,24.3,31,,W,13,1011.3
,2024-09-3,10.6,16.9,0,,,SSE,33,13:41,14.3,38,,WSW,17,1029.1,16.4,46,,S,20,1028.7
,2024-09-4,10.8,22.4,0,,,NNE,46,19:07,15.9,62,,N,17,1029.8,19.2,64,,NE,30,1024.7
,2024-09-5,12.6,26.7,0,,,N,41,13:27,20.9,60,,ENE,7,1025.0,25.8,40,,NW,11,1020.3
,2024-09-6,14.1,27.8,0,,,NW,37,12:20,22.0,55,,N,24,1023.4,27.2,38,,NW,9,1018.5
,2024-09-7,18.8,24.2,0,,,S,30,12:09,22.6,53,,SSW,6,1021.7,20.0,83,,SSW,15,1020.5
,2024-09-8,16.3,18.4,0,,,SSW,26,11:47,16.9,92,,WSW,4,1020.3,17.6,74,, ,Calm,1017.2
,2024-09-9,12.3,23.6,0.4,,,NW,24,14:54,18.4,47,,NW,6,1018.7,22.8,37,,NNW,7,1015.1
,2024-09-10,12.6,20.8,0,,,SSW,20,10:20,17.4,53,,SW,15,1025.0,20.6,72,,SSE,15,1024.0
,2024-09-11,13.7,24.2,0.2,,,NE,41,15:44,18.3,71,,NNW,7,1024.6,23.1,69,,NE,22,1019.6
,2024-09-12,16.7,19.1,0,,,SSE,80,19:26,17.6,84,,SSW,28,1020.8,16.2,87,,S,43,1020.7
,2024-09-13,12.4,18.8,21.4,,,S,74,01:40,14.2,65,,SW,20,1027.0,16.4,69,,S,30,1025.0
,2024-09-14,11.5,22.2,0,,,SSW,74,20:43,18.3,61,,NNW,9,1023.7,20.7,52,,N,30,1017.6
,2024-09-15,9.8,15.3,0,,,S,91,15:17,12.4,57,,SSW,33,1025.6,13.5,71,,SSW,52,1025.0
,2024-09-16,8.6,20.8,7.6,,,SSE,46,17:16,13.6,49,,WNW,9,1026.6,16.5,54,,SSE,26,1022.5
,2024-09-17,10.4,20.6,3.6,,,NNE,28,19:25,15.8,63,,SW,7,1026.0,18.1,60,,ENE,15,1021.6
,2024-09-18,10.9,26.5,0,,,WNW,28,14:37,18.0,39,,NNW,9,1018.5,26.0,16,,WNW,7,1012.3
,2024-09-19,13.6,27.4,0,,,WNW,37,14:41,22.5,30,,W,7,1010.5,26.9,16,,W,13,1004.9
,2024-09-20,14.2,21.5,0,,,ENE,22,14:29,18.7,38,,SSW,4,1011.1,19.8,54,,ENE,17,1006.9
,2024-09-21,12.1,24.6,0,,,W,33,13:53,19.6,43,,NW,7,1010.9,24.1,27,,W,9,1008.4
,2024-09-22,13.0,25.8,0,,,ENE,33,14:55,20.5,45,,WNW,4,1016.6,21.3,59,,ENE,28,1013.2
,2024-09-23,14.0,27.1,0,,,N,33,14:21,21.7,43,,W,4,1019.6,24.8,46,,NNW,20,1014.7
,2024-09-24,15.2,22.8,0,,,SSW,33,03:45,19.0,73,,SSW,9,1021.6,20.0,77,,NE,17,1016.9
,2024-09-25,17.0,23.3,0,,,NNE,46,14:18,19.6,77,,NNW,9,1015.4,20.8,74,,NE,39,1009.5
,2024-09-26,14.1,17.0,11.8,,,SSW,74,07:34,14.6,91,,S,54,1016.6,13.6,93,,SSE,56,1018.0
,2024-09-27,13.3,18.6,18.2,,,SSE,80,02:11,16.0,64,,S,35,1025.7,14.3,86,,SSE,41,1025.6
,2024-09-28,13.3,20.9,0.8,,,SE,50,00:06,17.8,71,,SSE,35,1028.0,19.4,65,,SE,26,1024.5
,2024-09-29,15.8,22.6,0.4,,,ESE,41,01:33,20.8,78,,NE,17,1023.1,21.2,80,,NE,9,1018.9
,2024-09-30,14.8,19.2,7.8,,,SSW,56,11:44,17.4,86,,SW,11,1019.0,18.2,80,,S,39,1018.8
