"Daily Weather Observations for Norah Head, New South Wales for June 2025"
"Prepared at 16:00 UTC on Saturday 16 August 2025   IDCJDW2099.202506"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Norah Head AWS {station 061366}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-06-1,11.7,20.7,0,,,,,,15.1,85,,WSW,7,1026.8,18.6,72,,SE,6,1024.2
,2025-06-2,12.7,19.9,0.2,,,NNE,24,16:14,14.8,93,,NNW,4,1020.8,18.7,78,,NNE,7,1014.9
,2025-06-3,12.4,18.1,0.2,,,SSW,44,16:01,14.6,88,,W,13,1009.0,18.0,65,,SSW,28,1007.4
,2025-06-4,11.3,13.8,0.8,,,SSW,74,18:28,11.5,85,,SW,24,1014.2,12.3,90,,SSW,37,1015.5
,2025-06-5,9.9,16.8,32.2,,,SSW,33,14:34,11.3,67,,W,7,1023.2,16.6,64,,SSW,19,1022.3
,2025-06-6,9.1,18.2,0,,,N,28,11:26,14.2,72,,NNW,6,1021.8,16.4,67,,N,17,1016.7
,2025-06-7,11.5,19.7,0,,,NW,37,14:09,16.9,62,,NNW,15,1011.8,19.1,43,,WNW,11,1006.9
,2025-06-8,11.0,16.8,0,,,WNW,43,12:20,13.7,59,,NW,13,1006.8,15.9,40,,WNW,13,1003.7
,2025-06-9,7.7,14.4,0,,,W,43,13:41,10.9,63,,NNW,13,1004.4,13.1,52,,W,15,1000.7
,2025-06-10,10.5,18.7,0,,,W,28,12:53,14.4,63,,W,13,1007.6,17.4,47,,WSW,9,1006.8
,2025-06-11,8.9,16.6,0,,,WSW,28,10:03,12.5,64,,W,9,1013.0,16.4,47,,WSW,11,1012.0
,2025-06-12,8.0,15.8,0,,,WSW,26,22:10,11.5,67,,W,9,1018.3,15.1,62,,SSW,13,1017.6
,2025-06-13,9.9,15.4,4.4,,,S,59,16:14,11.2,71,,WSW,11,1022.1,14.9,66,,SW,17,1020.2
,2025-06-14,10.1,17.0,3.8,,,SSW,35,12:59,12.4,82,,SW,15,1022.7,16.5,77,,SSW,22,1021.1
,2025-06-15,10.6,19.7,0.6,,,W,22,07:05,13.2,85,,W,13,1022.7,16.8,74,,ENE,6,1020.0
,2025-06-16,8.7,17.4,0,,,W,22,08:04,10.9,73,,W,9,1024.6,15.6,57,,NE,7,1022.1
,2025-06-17,7.8,18.4,0.2,,,N,31,14:43,12.2,70,,WNW,9,1022.9,16.1,59,,N,26,1019.3
,2025-06-18,8.3,17.1,0,,,W,22,07:04,10.9,63,,W,13,1025.6,16.2,58,,E,6,1024.6
,2025-06-19,9.2,17.8,0,,,W,24,05:17,11.2,72,,W,17,1027.6,16.3,72,,SE,6,1025.3
,2025-06-20,8.1,18.4,0,,,W,28,05:11,11.3,73,,W,9,1029.3,17.4,60,,SSE,6,1028.0
,2025-06-21,10.1,19.4,0,,,,,,13.4,73,,W,7,1031.7,17.7,73,,NE,19,1028.7
,2025-06-22,9.7,21.5,0,,,,,,14.7,81,,N,6,1029.3,18.4,66,,N,17,1025.2
,2025-06-23,10.6,22.5,0.2,,,NNE,35,18:27,15.3,80,,N,13,1024.0,20.2,65,,N,26,1019.3
,2025-06-24,15.2,20.2,0,,,NNW,52,12:38,18.1,69,,N,33,1011.5,19.5,74,,NNW,28,1008.0
,2025-06-25,13.1,17.5,0.4,,,NW,59,11:37,14.3,51,,NNW,15,1009.3,16.9,45,,W,11,1007.2
,2025-06-26,8.2,15.1,0,,,SSW,43,14:52,10.8,53,,WSW,15,1023.8,14.0,60,,SSW,30,1025.9
,2025-06-27,9.6,15.9,0,,,S,48,19:17,11.9,64,,SW,13,1030.5,14.9,73,,SSW,20,1028.6
,2025-06-28,11.3,16.4,2.4,,,SSW,26,13:53,12.3,81,,W,11,1028.6,15.7,75,,SW,13,1026.5
,2025-06-29,10.7,18.7,0,,,W,22,07:38,13.7,82,,W,4,1025.8,17.1,73,,SE,7,1023.5
,2025-06-30,10.3,16.6,0.2,,,SSW,44,20:28,12.9,82,,SW,13,1026.1,16.1,72,,S,26,1022.9
