"Daily Weather Observations for Norfolk Island for December 2023"
"Prepared at 13:00 UTC on Monday 11 November 2024   IDCJDW2100.202312"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Norfolk Island Aero {station 200288}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-12-1,18.7,24.2,0,7.0,,NE,39,12:58,22.1,74,,NNE,20,1016.9,22.1,73,,NE,17,1016.0
,2023-12-2,20.0,24.5,0,5.2,,NNE,43,09:11,22.6,77,2,NNE,22,1017.7,23.1,77,7,NNE,22,1016.5
,2023-12-3,20.3,25.5,0,6.2,,NW,41,13:41,23.6,78,,NNW,20,1015.6,23.3,83,,NW,26,1013.5
,2023-12-4,20.4,23.0,0.8,7.2,,NW,31,05:36,22.3,87,8,W,7,1015.0,20.5,94,,SE,13,1013.4
,2023-12-5,17.8,24.2,4.2,1.4,,WNW,30,08:15,21.1,89,,WNW,11,1015.5,23.9,75,,WNW,17,1013.9
,2023-12-6,17.4,23.4,1.2,5.2,,SSE,31,13:02,21.3,79,8,SE,15,1016.2,22.3,71,,SSE,22,1015.9
,2023-12-7,16.5,22.6,0,6.4,,SSE,30,09:30,20.2,63,6,SSE,15,1018.9,21.2,65,,SSE,15,1017.5
,2023-12-8,15.9,23.2,0,7.4,,SSE,33,11:41,20.3,66,7,ESE,15,1021.0,22.4,60,3,SE,19,1019.9
,2023-12-9,18.2,23.2,0,7.2,,E,41,16:42,21.2,64,,SE,24,1021.4,21.9,60,,E,26,1020.3
,2023-12-10,17.2,23.9,0,8.8,,SE,41,13:12,22.5,66,,SE,19,1020.4,22.3,64,,SE,24,1018.2
,2023-12-11,17.3,23.3,0,8.0,,,,,21.1,69,,SE,22,1018.9,22.2,66,2,SSE,19,1017.1
,2023-12-12,,24.3,0,7.4,,,,,23.1,78,,SSW,22,1014.7,22.8,80,,SW,30,1012.7
,2023-12-13,18.9,24.0,0,6.8,,S,37,13:59,21.9,65,,S,19,1015.4,22.1,62,,S,24,1015.0
,2023-12-14,17.4,23.1,0,7.6,,SE,31,10:01,21.0,69,,ESE,17,1016.7,21.3,64,,SE,17,1016.1
,2023-12-15,16.5,24.4,0,8.0,,ENE,37,13:53,21.9,59,,NE,15,1016.5,22.5,56,7,E,19,1015.5
,2023-12-16,17.8,25.4,0,7.2,,NE,33,10:39,22.7,72,,NE,22,1016.6,22.9,71,,NE,19,1015.2
,2023-12-17,19.6,25.8,0,6.0,,E,26,14:46,23.5,70,,NNE,11,1018.6,23.3,67,,NNE,11,1017.7
,2023-12-18,18.1,25.9,0.2,5.8,,E,44,13:01,22.9,73,,E,20,1020.1,23.1,74,,E,26,1019.4
,2023-12-19,19.9,24.8,0,5.8,,E,48,14:42,21.6,79,,E,26,1020.3,23.2,71,,E,31,1018.4
,2023-12-20,20.1,21.8,6.0,7.8,,,,,20.5,97,8,E,28,1017.6,20.4,96,,E,26,1015.6
,2023-12-21,19.3,23.9,20.6,4.6,,E,48,04:33,20.2,97,,E,28,1013.7,19.8,98,,ESE,28,1011.5
,2023-12-22,19.6,27.0,13.4,0.8,,,,,23.4,88,8,NW,11,1013.7,25.0,73,8,NNW,13,1013.1
,2023-12-23,21.2,26.8,0,5.8,,,,,26.2,81,,NE,17,1013.8,24.4,83,,NNE,24,1013.7
,2023-12-24,22.8,24.4,0.8,5.4,,NNE,52,12:51,23.4,93,,NNE,26,1013.9,22.3,97,8,N,24,1013.4
,2023-12-25,21.5,27.1,18.0,2.8,,N,48,11:24,24.5,84,,NNE,28,1015.3,25.3,80,,N,15,1014.4
,2023-12-26,22.9,27.8,0.4,5.2,,NNE,37,00:39,23.6,88,,N,11,1018.2,26.5,73,,NW,17,1017.5
,2023-12-27,22.2,27.2,0,5.6,,NNE,30,10:33,24.0,87,,NNW,9,1020.6,25.7,74,,NE,15,1019.8
,2023-12-28,22.3,26.7,0,6.2,,NNE,39,09:41,24.1,81,7,N,15,1018.5,25.2,77,,NNE,24,1017.2
,2023-12-29,22.7,27.2,0,6.4,,NW,39,12:34,24.6,82,,NNW,15,1016.2,25.9,78,2,NW,19,1014.9
,2023-12-30,22.6,27.3,2.6,6.6,,NW,30,10:25,24.5,84,,NNW,11,1016.1,26.7,68,,NW,15,1015.2
,2023-12-31,22.4,27.7,0,5.8,,N,35,11:26,25.2,77,5,NNE,19,1018.0,26.1,79,,N,15,1017.2
