"Daily Weather Observations for Norfolk Island for July 2024"
"Prepared at 13:00 UTC on Monday  4 November 2024   IDCJDW2100.202407"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Norfolk Island Aero {station 200288}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-07-1,15.1,21.2,0,0.8,,NW,50,17:24,19.7,63,1,N,17,1020.3,19.9,65,8,NW,26,1017.3
,2024-07-2,15.9,16.6,8.2,4.4,,WNW,44,03:59,16.5,96,8,SSE,19,1019.9,16.0,81,,SSE,22,1019.2
,2024-07-3,13.3,16.8,3.4,1.4,,SSE,31,15:51,14.4,74,,E,15,1021.1,15.7,75,8,ESE,11,1020.3
,2024-07-4,12.0,18.3,4.6,1.2,,SSW,20,19:24,16.8,73,8,E,9,1021.2,17.9,66,,E,11,1018.6
,2024-07-5,10.5,18.0,2.2,1.0,,SE,56,22:48,15.8,62,,SSW,20,1019.0,15.8,71,,S,28,1018.0
,2024-07-6,13.4,18.2,1.4,4.0,,SE,54,01:18,15.4,63,,SE,24,1024.3,16.4,66,8,SSE,24,1023.7
,2024-07-7,13.7,18.4,0.2,4.4,,SSE,35,00:23,16.4,62,1,SE,17,1026.9,16.1,68,,SSE,19,1025.2
,2024-07-8,14.4,18.3,0,3.8,,E,44,21:13,15.7,62,,ESE,17,1029.1,16.5,67,,SE,20,1028.4
,2024-07-9,13.2,18.8,2.2,1.8,,,,,17.7,69,1,E,20,1030.6,16.6,83,7,E,24,1028.0
,2024-07-10,14.6,19.9,1.4,3.0,,ENE,59,15:35,18.1,82,8,ENE,31,1028.9,17.5,84,,ENE,35,1026.8
,2024-07-11,16.0,19.7,0.4,4.2,,E,72,18:03,18.8,80,,E,37,1026.7,17.6,81,,E,43,1022.6
,2024-07-12,16.1,18.8,1.2,4.4,,E,65,02:18,17.8,81,,E,35,1022.1,17.2,85,,E,31,1019.7
,2024-07-13,15.4,19.6,4.0,2.4,,ENE,69,00:00,18.4,80,7,ENE,39,1017.0,18.4,75,8,NE,37,1013.0
,2024-07-14,16.7,21.4,41.0,9.0,,ENE,70,00:15,18.8,94,8,NNW,11,1008.8,18.2,84,,NW,13,1006.9
,2024-07-15,16.6,19.7,1.2,2.0,,WNW,35,00:45,18.9,76,,WNW,11,1010.8,18.3,78,,W,11,1009.6
,2024-07-16,14.4,21.0,0.2,1.2,,NW,43,13:45,18.8,79,4,N,17,1009.4,18.7,82,8,NW,13,1006.1
,2024-07-17,14.5,20.3,3.0,2.2,,W,63,05:07,19.4,64,,W,26,1010.8,17.7,78,,W,22,1010.0
,2024-07-18,15.4,18.8,0.2,3.8,,NE,50,23:21,18.6,75,,N,9,1014.2,14.8,94,,NNW,9,1013.1
,2024-07-19,14.5,17.7,32.2,1.8,,,,,15.2,92,,N,17,1010.0,13.9,93,8,SSE,11,1006.8
,2024-07-20,13.5,19.8,6.0,2.4,,SW,56,00:04,17.7,69,4,WSW,20,1015.3,19.0,61,,W,19,1013.8
,2024-07-21,15.7,20.9,0.6,3.4,,W,78,15:54,16.7,85,8,NW,22,1012.3,20.2,74,8,WNW,35,1009.3
,2024-07-22,15.5,20.2,1.0,4.0,,W,69,03:34,17.0,78,,W,35,1014.5,18.7,70,2,WSW,31,1015.8
,2024-07-23,15.5,18.4,0,3.2,,S,37,06:12,17.6,50,,S,19,1024.3,16.5,59,,SSE,22,1022.5
,2024-07-24,12.8,17.9,0,5.0,,SSE,35,13:00,16.9,62,,SSE,19,1026.0,17.3,60,,SSE,19,1023.0
,2024-07-25,13.6,18.6,0.6,4.2,,SE,37,07:04,16.8,76,,SE,17,1024.5,16.9,68,,SE,17,1023.4
,2024-07-26,14.7,18.7,0.6,2.2,,ESE,39,12:00,15.4,78,,E,17,1026.3,17.4,70,8,ESE,15,1024.8
,2024-07-27,13.2,18.3,0.6,3.0,,E,30,08:27,17.4,63,,E,15,1026.6,16.7,69,,ESE,13,1024.6
,2024-07-28,12.4,19.4,0,1.8,,NNE,41,23:56,17.6,56,,NE,22,1023.3,18.2,60,,NNE,20,1020.0
,2024-07-29,16.9,19.3,0,4.0,,WSW,50,12:10,18.6,78,,N,24,1016.9,14.2,95,,WSW,17,1016.7
,2024-07-30,13.3,19.7,10.2,3.4,,WNW,61,13:16,18.5,60,2,WNW,31,1016.4,18.9,64,,WNW,35,1014.8
,2024-07-31,14.4,18.7,0.4,3.6,,,,,17.3,64,8,W,24,1018.6,18.0,52,1,W,35,1016.8
