"Daily Weather Observations for Norfolk Island for August 2024"
"Prepared at 13:00 UTC on Sunday  3 November 2024   IDCJDW2100.202408"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Norfolk Island Aero {station 200288}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-08-1,13.9,19.4,1.0,5.0,,WNW,61,03:22,17.0,76,4,WNW,31,1017.5,17.9,70,7,W,24,1015.3
,2024-08-2,13.3,19.7,3.6,6.2,,W,54,03:04,17.3,65,,W,28,1016.6,19.2,63,,WNW,26,1014.5
,2024-08-3,14.7,18.9,1.4,4.0,,SW,41,04:33,17.7,69,,W,20,1016.3,16.6,73,,WSW,22,1014.5
,2024-08-4,14.5,18.0,2.2,2.6,,SSW,57,16:44,15.6,80,,SW,15,1016.4,16.9,77,,SSW,28,1016.1
,2024-08-5,14.1,18.5,2.6,3.0,,S,48,01:25,16.8,66,,S,20,1022.7,16.7,69,4,S,22,1022.0
,2024-08-6,11.9,17.5,0,5.0,,SSE,31,11:38,15.2,67,3,ESE,17,1025.7,16.3,57,,SE,17,1023.6
,2024-08-7,10.7,19.1,0,1.6,,NE,37,10:35,17.3,60,,NE,19,1026.1,17.5,63,8,NNE,20,1024.3
,2024-08-8,16.0,19.4,0,4.6,,N,26,02:26,16.5,73,,NNE,9,1025.0,18.6,70,,E,6,1023.3
,2024-08-9,13.8,19.5,0,1.2,,E,37,22:47,17.9,80,,SE,17,1026.8,18.3,76,,E,20,1025.1
,2024-08-10,15.0,17.8,2.0,2.8,,SE,35,14:33,16.5,68,7,ESE,17,1027.8,17.0,59,,SE,22,1026.7
,2024-08-11,12.4,16.5,0,3.4,,E,35,12:53,14.9,80,5,SE,17,1028.9,14.5,80,8,SE,19,1026.6
,2024-08-12,12.9,18.6,0.6,3.6,,SE,33,12:41,16.9,63,,E,13,1031.1,17.7,56,,ESE,20,1029.4
,2024-08-13,13.2,18.7,0,3.6,,SE,33,09:44,16.7,62,7,SE,19,1032.0,17.4,67,1,SE,22,1028.6
,2024-08-14,13.7,18.2,0,3.2,,E,39,14:38,17.1,69,,ENE,22,1028.5,17.4,68,7,E,22,1025.6
,2024-08-15,15.2,20.0,0,3.6,,NE,39,00:35,17.8,70,8,NE,13,1026.6,18.4,67,,NE,22,1024.7
,2024-08-16,17.1,20.9,0,3.4,,NNE,57,23:41,20.2,78,,NE,24,1022.0,19.1,82,3,NNE,26,1018.2
,2024-08-17,18.2,20.8,7.0,2.4,,NNE,63,01:31,19.1,97,,N,22,1014.0,19.1,94,7,NW,24,1011.5
,2024-08-18,18.6,21.3,1.2,2.0,,WNW,57,15:19,19.9,92,,NW,28,1010.5,20.0,88,8,WNW,35,1007.4
,2024-08-19,15.6,19.3,3.0,3.2,,,,,18.1,74,,SSW,22,1017.0,18.0,66,8,SSW,22,1017.1
,2024-08-20,13.7,18.1,0,5.0,,S,30,09:08,16.0,65,7,S,13,1026.0,17.3,65,,SW,17,1024.7
,2024-08-21,12.0,18.1,1.0,3.6,,E,33,13:23,14.4,89,,E,2,1028.2,16.3,67,,SE,11,1027.0
,2024-08-22,13.2,19.5,0.4,3.2,,ENE,35,11:01,18.1,63,,ENE,19,1028.4,17.9,59,,ENE,22,1026.2
,2024-08-23,14.9,20.4,0,4.0,,ENE,35,12:45,16.9,75,,NNE,15,1026.4,18.5,71,,NE,15,1023.8
,2024-08-24,14.1,19.9,0,3.0,,E,31,15:46,18.3,78,2,ESE,13,1025.3,18.3,79,,ESE,20,1022.7
,2024-08-25,15.0,20.9,0,3.0,,ENE,37,10:23,19.3,80,6,ENE,24,1023.4,20.4,75,,ENE,20,1021.0
,2024-08-26,15.1,21.5,0,3.6,,ENE,24,10:00,19.2,81,3,NE,13,1021.9,19.8,75,,SSW,15,1020.3
,2024-08-27,15.4,21.3,0,3.0,,WNW,28,09:24,18.8,83,,WNW,13,1023.9,19.9,84,8,W,15,1021.9
,2024-08-28,16.3,21.6,0.4,3.0,,WNW,30,13:12,19.7,82,2,WSW,11,1023.5,19.7,81,,WNW,17,1019.6
,2024-08-29,17.5,21.2,0,3.4,,NW,48,08:55,20.1,82,,NW,22,1018.9,20.2,84,7,WNW,22,1016.4
,2024-08-30,15.2,21.6,2.4,1.6,,WSW,48,03:04,17.8,73,,N,11,1017.1,20.3,78,,NW,22,1016.8
,2024-08-31,17.8,21.6,0,3.4,,NNW,48,14:48,19.8,83,1,NNW,17,1020.4,20.8,81,,NNW,24,1018.1
