"Daily Weather Observations for Norfolk Island for April 2025"
"Prepared at 13:00 UTC on Monday 18 August 2025   IDCJDW2100.202504"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Norfolk Island Aero {station 200288}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-04-1,21.6,24.4,0.6,5.6,,NNE,52,11:20,23.1,83,,NNE,28,1012.8,23.5,84,,NNE,26,1011.0
,2025-04-2,22.5,25.7,0.6,2.4,,N,50,12:52,23.5,88,,NNE,33,1014.4,25.1,82,,N,28,1013.7
,2025-04-3,22.8,25.6,0,3.6,,N,50,11:38,23.1,91,,N,26,1013.5,24.1,90,,N,26,1012.9
,2025-04-4,23.3,25.3,0.2,3.0,,N,52,07:16,23.8,95,,N,19,1011.7,23.7,97,,WNW,24,1010.0
,2025-04-5,21.1,25.1,6.8,1.0,,SSE,33,10:55,22.5,86,,SE,17,1013.7,23.9,79,,ESE,17,1012.1
,2025-04-6,19.9,22.7,0,3.0,,SSE,20,,21.2,93,, ,Calm,1012.7,20.3,92,,WSW,13,1012.8
,2025-04-7,18.5,24.1,4.6,1.6,,S,30,10:28,20.7,71,,SSW,9,1016.6,23.7,57,,SW,20,1016.2
,2025-04-8,16.2,25.0,0,3.0,,WSW,28,12:36,18.7,71,, ,Calm,1019.0,23.0,62,,SSW,15,1018.0
,2025-04-9,17.7,24.2,0,5.0,,E,46,19:39,23.3,67,,E,7,1021.5,22.2,74,,E,24,1019.0
,2025-04-10,20.3,24.3,0.2,2.2,,ESE,65,13:47,23.3,75,,ESE,30,1022.0,21.1,84,,ESE,30,1019.5
,2025-04-11,19.7,24.6,5.0,3.6,,E,44,01:27,22.9,82,,SE,19,1021.9,22.4,79,,ESE,19,1019.6
,2025-04-12,20.4,24.5,0.2,4.2,,E,56,21:58,20.8,89,,SE,19,1021.1,22.4,77,,ESE,24,1019.6
,2025-04-13,20.3,24.3,0.4,4.4,,ESE,52,04:01,22.7,66,1,ESE,28,1022.3,21.4,74,,ESE,24,1019.4
,2025-04-14,20.5,22.6,0,8.0,,E,37,01:20,22.0,71,,ESE,19,1018.7,21.6,77,,E,17,1015.5
,2025-04-15,20.2,22.6,28.6,5.6,,NE,57,20:01,20.9,97,,SE,22,1013.7,21.3,98,,E,20,1008.7
,2025-04-16,19.2,23.7,168.4,,,ESE,63,05:27,22.2,97,,NE,41,995.5,22.2,94,8,NW,20,992.4
,2025-04-17,20.2,24.8,5.2,2.0,,,,,23.5,76,,NW,30,998.6,23.2,79,3,NW,33,998.8
,2025-04-18,21.0,24.9,1.4,5.0,,W,52,21:55,23.7,84,8,WNW,22,1004.1,24.1,77,,WNW,30,1003.3
,2025-04-19,20.7,24.1,0.2,6.2,,WNW,48,00:53,21.7,77,,W,33,1006.8,22.3,80,,W,31,1006.8
,2025-04-20,19.6,24.0,2.6,4.0,,SW,41,15:11,21.8,67,8,WSW,22,1012.8,22.9,66,8,SW,24,1011.4
,2025-04-21,19.2,23.3,0,4.0,,S,26,12:53,20.1,78,,S,9,1014.4,22.1,70,8,S,17,1013.0
,2025-04-22,18.1,22.9,0,3.8,,S,20,08:12,18.5,72,,SSE,9,1015.1,21.8,61,5,ESE,9,1013.2
,2025-04-23,16.9,23.3,0,3.6,,SSE,28,14:24,19.1,84,,ENE,7,1015.1,21.3,75,,ESE,13,1014.1
,2025-04-24,17.3,23.0,0,2.2,,SE,26,10:40,21.9,70,1,ESE,15,1017.8,21.0,76,,ESE,13,1015.9
,2025-04-25,17.9,23.7,3.8,3.6,,ENE,33,10:31,21.6,82,,E,9,1017.8,22.2,77,8,E,17,1016.7
,2025-04-26,20.3,23.6,0.6,3.0,,E,31,00:45,21.9,92,8,SE,15,1016.5,22.6,85,,E,17,1013.2
,2025-04-27,19.8,23.8,1.4,1.6,,NE,17,20:39,22.6,90,1,SSE,7,1015.2,22.9,82,8,SE,6,1012.4
,2025-04-28,19.7,24.2,0.8,1.2,,,,,21.9,89,,NNE,15,1010.1,21.9,94,8,NNW,20,1006.7
,2025-04-29,17.8,24.9,11.2,2.2,,WNW,31,13:15,20.3,91,,NNW,7,1006.4,23.1,78,8,W,17,1005.0
,2025-04-30,20.2,24.0,0,2.8,,WSW,48,12:37,22.6,76,3,WSW,22,1009.2,22.1,76,8,WSW,26,1007.5
