"Daily Weather Observations for Norfolk Island for August 2025"
"Prepared at 13:00 UTC on Monday  1 September 2025   IDCJDW2100.202508"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Norfolk Island Aero {station 200288}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-08-1,14.8,19.0,10.4,,,SSW,37,05:41,17.4,68,8,SSW,19,1015.8,17.3,66,8,SSW,15,1015.7
,2025-08-2,14.0,18.7,0,,,E,44,22:33,17.2,67,8,E,2,1022.2,17.4,70,8,E,17,1020.1
,2025-08-3,14.6,18.7,3.6,,,,,,16.7,84,8,ENE,39,1018.6,17.3,91,7,ENE,54,1012.3
,2025-08-4,15.3,20.0,108.4,,,E,69,04:05,18.3,89,8,NE,31,1009.3,18.5,89,8,NNE,20,1007.0
,2025-08-5,15.5,19.8,4.0,,,E,50,20:45,18.5,91,8,WSW,6,1009.0,19.4,82,,SE,13,1008.2
,2025-08-6,16.7,19.7,5.8,,,E,48,00:38,19.1,85,8,E,26,1013.1,18.2,92,7,E,24,1011.8
,2025-08-7,16.9,20.9,1.8,,,ENE,33,08:17,19.2,88,5,ENE,22,1016.3,18.9,88,6,E,17,1015.0
,2025-08-8,16.5,18.6,3.8,,,SSE,48,06:00,17.0,71,6,SSE,28,1021.5,17.3,66,7,SSE,28,1020.3
,2025-08-9,14.4,18.5,0,,,SE,39,17:43,16.3,64,8,ESE,13,1024.3,16.4,65,8,SE,17,1021.3
,2025-08-10,14.2,15.8,0,,,ESE,41,15:20,15.3,82,8,E,19,1019.1,13.4,89,8,ESE,22,1016.8
,2025-08-11,11.6,17.9,13.2,,,E,54,10:25,15.4,72,8,ESE,28,1016.4,16.6,67,8,ESE,22,1015.3
,2025-08-12,12.6,18.5,0.2,,,S,30,12:57,16.8,61,,SSE,15,1018.4,17.4,73,5,S,20,1016.3
,2025-08-13,13.2,18.3,0,,,ESE,28,18:55,17.0,83,3,SSE,7,1020.2,17.1,75,7,SSE,13,1018.6
,2025-08-14,13.8,17.3,0,,,E,50,17:00,15.8,88,8,E,17,1019.4,16.6,82,8,E,28,1017.0
,2025-08-15,13.9,19.0,13.4,,,E,54,04:39,15.4,95,8,NE,13,1014.2,17.5,70,,NNW,13,1011.0
,2025-08-16,13.5,20.2,0,,,WNW,44,12:52,18.4,70,1,WNW,19,1010.9,19.2,71,1,W,28,1008.9
,2025-08-17,15.3,20.5,0.8,,,W,39,01:44,18.2,78,4,WSW,17,1015.0,19.5,68,2,WNW,20,1014.4
,2025-08-18,14.3,20.7,0.2,,,W,33,03:02,19.0,63,1,SW,17,1019.2,19.5,59,,WSW,17,1017.9
,2025-08-19,15.2,18.9,0,,,SSW,52,12:03,17.5,65,1,WSW,26,1021.8,17.1,62,2,SSW,30,1020.6
,2025-08-20,14.3,18.1,0,,,,,,16.2,63,2,SSE,31,1027.6,16.2,59,6,SE,20,1025.9
,2025-08-21,14.0,18.2,0,,,E,43,12:51,15.5,57,8,ESE,24,1030.6,16.4,68,7,ESE,17,1028.8
,2025-08-22,14.0,18.0,0.8,,,E,43,12:47,15.1,85,7,E,26,1030.4,16.3,78,3,ESE,24,1027.5
,2025-08-23,14.5,19.4,0,,,ENE,43,13:39,17.5,65,,E,26,1027.4,18.4,69,5,E,26,1023.3
,2025-08-24,15.6,18.8,0,,,ENE,57,16:13,18.5,73,8,ENE,35,1022.8,18.1,80,7,ENE,33,1019.5
,2025-08-25,14.8,18.2,5.8,,,,,,15.9,86,8,E,46,1011.8,17.1,94,7,E,39,1007.1
,2025-08-26,15.6,18.4,,,,E,74,00:02,17.9,87,7,SE,24,1008.4,17.3,90,8,SE,26,1006.4
,2025-08-27,15.9,19.9,3.0,,,SSE,46,05:10,18.4,88,8,SE,22,1009.9,18.6,80,3,SSE,20,1008.6
,2025-08-28,13.6,20.4,0.4,,,W,52,13:56,18.5,82,8,WNW,20,1011.2,18.7,70,6,WNW,31,1009.2
,2025-08-29,,20.7,,,,,,,18.6,82,7,SW,17,1012.5,19.8,66,,W,20,1011.8
,2025-08-30,12.9,20.9,0.2,,,NNW,48,17:19,18.7,66,,NW,17,1014.8,19.1,73,8,NNW,15,1011.1
,2025-08-31,16.3,20.0,0,,,WSW,69,02:47,18.6,59,8,WSW,35,1014.3,19.2,66,8,SW,28,1015.6
