"Daily Weather Observations for Penrith, New South Wales for January 2024"
"Prepared at 13:00 UTC on Sunday 10 November 2024   IDCJDW2111.202401"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Penrith Lakes AWS {station 067113}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-01-1,17.3,23.8,0.4,,,NNW,13,12:42,21.0,98,,S,4,,22.6,90,,NNW,4,
,2024-01-2,20.0,29.6,0,,,NE,28,17:57,23.7,98,,SSW,4,,29.0,63,,NW,6,
,2024-01-3,19.1,31.9,0,,,WSW,46,14:28,24.4,82,, ,Calm,,29.7,50,,WNW,4,
,2024-01-4,19.8,29.9,0.4,,,ESE,33,12:17,24.0,99,, ,Calm,,22.5,98,,N,4,
,2024-01-5,19.1,24.3,10.6,,,SE,26,11:49,22.0,93,,S,11,,24.1,60,,SE,9,
,2024-01-6,16.1,28.4,0,,,ENE,22,17:51,20.9,78,,SSW,7,,27.4,52,,SE,7,
,2024-01-7,17.0,31.3,0,,,ENE,30,17:21,22.6,79,,N,7,,30.2,50,,NE,11,
,2024-01-8,20.3,26.6,0,,,N,30,15:24,22.9,91,, ,Calm,,24.7,99,,NNE,15,
,2024-01-9,19.1,30.0,5.2,,,S,30,12:53,24.8,98,,SW,4,,25.4,98,,SSE,6,
,2024-01-10,21.1,31.1,1.6,,,N,24,14:39,23.3,98,,NNW,6,,28.9,66,,NE,7,
,2024-01-11,21.0,31.5,0.2,,,SE,35,14:18,23.7,100,,SW,9,,30.5,65,,ESE,19,
,2024-01-12,21.4,31.4,7.2,,,NE,28,15:24,25.4,100,,S,4,,29.4,61,,ENE,13,
,2024-01-13,19.1,34.4,0,,,SE,31,17:20,24.7,98,,SE,2,,33.1,41,,SSW,6,
,2024-01-14,19.8,27.9,0,,,SSE,35,13:08,22.9,85,,SSW,4,,22.9,98,,S,17,
,2024-01-15,17.9,21.3,49.4,,,SSW,37,10:28,17.9,100,,S,15,,20.2,100,,W,6,
,2024-01-16,17.2,25.7,13.8,,,NE,24,13:31,21.2,100,,SW,6,,23.6,90,,ENE,11,
,2024-01-17,20.9,28.2,0.2,,,NNE,19,10:01,23.2,100,,NNW,7,,26.0,98,,N,6,
,2024-01-18,19.9,31.8,17.4,,,NW,37,14:08,24.4,100,,NNE,4,,31.4,48,,WNW,22,
,2024-01-19,15.5,31.7,0,,,W,37,23:08,22.2,65,,NW,4,,30.5,34,,NNW,9,
,2024-01-20,20.5,28.9,0,,,ENE,28,15:10,22.8,98,,NNE,6,,27.8,68,,ENE,17,
,2024-01-21,18.8,38.7,0,,,NW,59,15:31,24.6,100,,SSE,4,,37.6,23,,NW,28,
,2024-01-22,21.1,25.1,0,,,SE,28,15:31,21.3,87,,ESE,11,,23.7,66,,ESE,11,
,2024-01-23,18.4,27.7,0,,,ENE,26,16:49,21.6,98,,S,6,,26.0,60,,NE,9,
,2024-01-24,16.0,31.4,0,,,NE,19,11:11,22.2,98,,NNW,4,,30.8,51,,N,7,
,2024-01-25,22.0,29.1,0,,,SSE,15,15:30,25.2,99,, ,Calm,,28.2,98,,WSW,6,
,2024-01-26,21.0,38.0,0,,,NW,46,13:07,29.1,99,,SW,2,,37.3,29,,WNW,17,
,2024-01-27,18.8,24.3,3.2,,,NE,20,15:49,19.7,100,,NNW,4,,21.5,100,,ENE,9,
,2024-01-28,16.8,29.1,0,,,SE,28,15:05,22.3,100,,S,11,,27.8,61,,ESE,11,
,2024-01-29,19.9,34.8,0.4,,,SSE,28,16:13,24.4,99,,NNE,4,,32.8,62,,WSW,6,
,2024-01-30,23.1,26.8,1.2,,,ESE,17,17:38,23.8,100,,SSW,6,,26.7,100,,WSW,6,
,2024-01-31,21.8,27.8,3.0,,,SE,26,17:16,22.9,100,,SW,4,,26.0,98,,SE,13,
