"Daily Weather Observations for Penrith, New South Wales for July 2024"
"Prepared at 13:00 UTC on Monday  4 November 2024   IDCJDW2111.202407"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Penrith Lakes AWS {station 067113}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-07-1,6.1,15.2,2.6,,,SW,26,10:50,10.5,70,,ESE,4,,14.8,60,,S,9,
,2024-07-2,9.2,16.3,0.4,,,SSE,31,13:19,12.2,75,,SSW,11,,14.3,72,,S,11,
,2024-07-3,9.7,16.9,1.8,,,S,33,11:40,12.3,78,,SSW,7,,14.9,64,,SSW,11,
,2024-07-4,11.0,17.3,0.8,,,SE,31,11:40,13.8,81,,SSW,11,,16.4,54,,SE,15,
,2024-07-5,11.3,16.4,5.8,,,SSE,31,15:19,13.7,84,,SSW,9,,15.1,80,,SSE,11,
,2024-07-6,11.2,17.2,1.2,,,SE,28,17:00,13.2,69,,S,9,,15.9,56,,SE,13,
,2024-07-7,9.2,17.8,0,,,ENE,11,13:12,12.1,87,,NNE,2,,15.9,69,,NW,4,
,2024-07-8,12.0,16.8,0.4,,,ENE,15,13:31,13.0,96,, ,Calm,,15.9,76,,NNE,7,
,2024-07-9,11.2,20.1,2.4,,,W,13,17:59,12.3,99,, ,Calm,,19.2,68,,E,4,
,2024-07-10,5.6,18.5,0.2,,,W,13,20:15,10.8,93,,NNW,2,,18.1,60,,NNW,4,
,2024-07-11,5.2,15.4,0,,,NNW,7,11:23,9.5,88,, ,Calm,,14.7,65,,NW,4,
,2024-07-12,6.3,18.7,0,,,S,19,23:59,8.9,99,,NNE,4,,18.0,41,,NW,6,
,2024-07-13,8.8,16.9,0,,,S,30,11:54,14.2,57,,S,7,,16.3,48,,SSW,6,
,2024-07-14,3.0,17.3,0,,,WNW,31,15:00,7.7,94,, ,Calm,,16.3,41,,WNW,19,
,2024-07-15,3.6,14.9,0,,,W,54,12:08,11.5,48,,SW,9,,14.4,39,,W,20,
,2024-07-16,8.8,16.4,0,,,W,35,15:07,12.6,52,,NNW,15,,15.1,46,,WSW,20,
,2024-07-17,4.9,19.2,0,,,SW,35,11:20,11.4,77,,NNE,6,,18.0,44,,WSW,17,
,2024-07-18,5.9,18.5,0,,,WSW,30,18:04,11.3,78,, ,Calm,,17.8,38,,SW,15,
,2024-07-19,2.0,16.3,0,,,NNW,30,17:02,7.5,75,, ,Calm,,14.6,49,,NNW,6,
,2024-07-20,5.9,17.0,0,,,NW,80,11:41,15.7,50,,NW,22,,14.9,40,,W,26,
,2024-07-21,7.0,18.8,0,,,W,52,00:34,13.6,47,,ESE,2,,17.9,27,,SW,17,
,2024-07-22,2.7,18.1,0,,,N,13,15:46,7.8,86,,NNW,2,,17.4,54,,NW,2,
,2024-07-23,3.0,19.3,0,,,N,15,15:14,8.4,88,,SSE,2,,19.0,40,,NNE,9,
,2024-07-24,3.3,18.9,0,,,SW,9,13:27,6.8,99,, ,Calm,,18.5,51,,SW,4,
,2024-07-25,6.2,24.1,0,,,N,41,14:11,9.7,92,, ,Calm,,21.6,42,,N,24,
,2024-07-26,9.4,21.3,7.2,,,WSW,20,02:39,13.2,93,,SSE,2,,20.3,43,,SE,9,
,2024-07-27,5.7,14.8,5.6,,,WNW,19,20:31,8.2,97,,SSW,2,,14.4,84,,WSW,2,
,2024-07-28,5.8,14.4,0.6,,,W,63,10:03,11.2,56,,W,11,,14.0,36,,WSW,19,
,2024-07-29,5.9,15.9,0,,,SSW,50,11:56,10.6,45,,SW,20,,15.7,37,,SSW,13,
,2024-07-30,5.1,16.9,0,,,SSW,39,09:20,12.2,53,,SSW,17,,16.2,44,,S,17,
,2024-07-31,8.4,16.7,0,,,S,37,10:08,12.8,55,,SSW,17,,16.1,47,,SW,13,
